age,avg_war,n,position
19.0,-0.655,2,C
20.0,0.4699999999999999,10,C
21.0,1.3214285714285714,14,C
22.0,1.7626190476190478,42,C
23.0,1.7109302325581397,86,C
24.0,1.4942196531791907,173,C
25.0,1.5877235772357723,246,C
26.0,1.6450498338870432,301,C
27.0,1.5209915014164306,353,C
28.0,1.6304225352112676,355,C
29.0,1.5614114114114115,333,C
30.0,1.6954777070063694,314,C
31.0,1.6212203389830508,295,C
32.0,1.4210330578512396,242,C
33.0,1.2421596244131454,213,C
34.0,1.3471974522292993,157,C
35.0,1.3464285714285715,112,C
36.0,1.2780263157894736,76,C
37.0,1.2152941176470589,51,C
38.0,0.5427027027027027,37,C
39.0,0.7505263157894738,19,C
40.0,1.0924999999999998,8,C
41.0,2.545,2,C
42.0,2.585,2,C
19.0,0.17,3,1B
20.0,-0.558,5,1B
21.0,0.6563636363636364,11,1B
22.0,1.3290697674418603,43,1B
23.0,1.541046511627907,86,1B
24.0,1.4954666666666667,150,1B
25.0,1.6036866359447004,217,1B
26.0,1.624248120300752,266,1B
27.0,1.9231986531986534,297,1B
28.0,2.043137254901961,306,1B
29.0,1.981638795986622,299,1B
30.0,1.8920955882352941,272,1B
31.0,2.0584313725490193,255,1B
32.0,1.7329999999999999,230,1B
33.0,1.8762019230769231,208,1B
34.0,1.6367231638418078,177,1B
35.0,1.537037037037037,135,1B
36.0,1.3485483870967743,124,1B
37.0,1.4435616438356165,73,1B
38.0,1.0238181818181817,55,1B
39.0,0.8813333333333334,30,1B
40.0,0.46421052631578946,19,1B
41.0,0.03874999999999998,8,1B
42.0,-0.36250000000000004,4,1B
19.0,-0.3466666666666667,3,2B
20.0,0.5066666666666667,12,2B
21.0,0.7725000000000001,28,2B
22.0,0.8145454545454545,66,2B
23.0,0.8790298507462686,134,2B
24.0,1.2042009132420093,219,2B
25.0,1.380383275261324,287,2B
26.0,1.6884210526315788,304,2B
27.0,1.5956156156156156,333,2B
28.0,1.5148305084745763,354,2B
29.0,1.5602215189873416,316,2B
30.0,1.8083848797250859,291,2B
31.0,1.62388,250,2B
32.0,1.6797285067873304,221,2B
33.0,1.7077439024390244,164,2B
34.0,1.7539024390243902,123,2B
35.0,1.4458620689655173,87,2B
36.0,1.2572881355932204,59,2B
37.0,1.700909090909091,44,2B
38.0,0.9715384615384615,26,2B
39.0,1.5615384615384615,13,2B
40.0,1.193,10,2B
41.0,1.325,4,2B
42.0,-0.006666666666666672,3,2B
19.0,-0.57,1,3B
20.0,0.93,10,3B
21.0,1.4592857142857143,28,3B
22.0,1.6546774193548388,62,3B
23.0,1.974076923076923,130,3B
24.0,1.9152941176470586,204,3B
25.0,1.9113754646840146,269,3B
26.0,1.9905555555555554,288,3B
27.0,1.932724358974359,312,3B
28.0,2.1013870967741934,310,3B
29.0,2.1152649006622513,302,3B
30.0,1.8725539568345326,278,3B
31.0,1.868,260,3B
32.0,1.8737004405286344,227,3B
33.0,1.7427368421052631,190,3B
34.0,1.854485294117647,136,3B
35.0,1.4129310344827586,116,3B
36.0,1.5340625,64,3B
37.0,1.6230357142857144,56,3B
38.0,1.2720689655172415,29,3B
39.0,1.03,15,3B
40.0,1.7414285714285713,7,3B
41.0,1.2783333333333333,6,3B
42.0,0.43,1,3B
19.0,-0.17666666666666667,3,SS
20.0,1.24,13,SS
21.0,1.0682608695652174,46,SS
22.0,1.218974358974359,117,SS
23.0,1.5926130653266333,199,SS
24.0,1.546864406779661,236,SS
