age,avg_war,median_war,avg_hitting,n
19.0,0.15058823529411766,-0.12,7.047058823529412,17
20.0,0.9346575342465754,0.57,11.945205479452055,73
21.0,1.3666822429906544,0.665,14.85,214
22.0,1.4646564885496183,1.02,14.995038167938931,524
23.0,1.6584907497565726,1.12,16.29269717624148,1027
24.0,1.5687040498442368,1.08,15.635264797507787,1605
25.0,1.6537247706422018,1.17,16.137752293577982,2180
26.0,1.7703552684699233,1.34,17.129632620104964,2477
27.0,1.8120571852952099,1.33,17.514259190493874,2693
28.0,1.8679955123410623,1.39,17.84046372475692,2674
29.0,1.8100039603960396,1.34,17.861386138613863,2525
30.0,1.8755414847161571,1.46,18.267991266375546,2290
31.0,1.8529369627507164,1.48,18.530802292263612,2094
32.0,1.7424128389596016,1.27,18.046375207526285,1807
33.0,1.710907271514343,1.21,17.90280186791194,1499
34.0,1.64650461022632,1.19,18.110645431684826,1193
35.0,1.543546255506608,1.13,17.748017621145376,908
36.0,1.4955299539170508,1.05,18.017665130568357,651
37.0,1.4864573991031391,0.935,17.84103139013453,446
38.0,1.1796979865771813,0.725,15.853020134228187,298
39.0,1.3543888888888889,0.97,18.252222222222223,180
40.0,1.187377049180328,0.95,17.104918032786887,122
41.0,0.8231147540983607,0.62,15.142622950819673,61
42.0,0.7480645161290324,0.52,14.12258064516129,31
