age,avg_war,median_war,n
19.0,0.6794594594594595,0.44,37
20.0,0.9063440860215053,0.59,93
21.0,0.9697619047619047,0.765,252
22.0,1.0446739130434781,0.815,552
23.0,1.1703603603603605,0.87,999
24.0,1.2160610169491526,0.95,1475
25.0,1.2548775510204082,1.02,1960
26.0,1.351510257529463,1.05,2291
27.0,1.3584125050751117,1.08,2463
28.0,1.4176373147340888,1.15,2294
29.0,1.4492931196983978,1.17,2122
30.0,1.4194580510682648,1.18,1919
31.0,1.4070125974805037,1.15,1667
32.0,1.3761904761904762,1.15,1428
33.0,1.3722053872053872,1.16,1188
34.0,1.4214863498483317,1.13,989
35.0,1.4501162790697675,1.22,774
36.0,1.4494107452339686,1.17,577
37.0,1.4048529411764705,1.105,408
38.0,1.4914137931034483,1.2149999999999999,290
39.0,1.618019801980198,1.2650000000000001,202
40.0,1.5050609756097562,1.27,164
41.0,1.4802777777777778,1.205,108
42.0,1.3388732394366198,1.15,71
