playerID,name,milb_pa,mlb_pa,milb_woba,milb_hr_rate,mlb_hr_rate,milb_sb_rate,mlb_sb_rate,hr_translation,sb_translation,mlb_career_war,milb_war_rate
abercre01,Reggie Abercrombie,3077.0,281,0.344,25.2,10.7,35.5,12.8,0.42,0.36,-0.3,0.96
abernbr01,Brent Abernathy,1134.0,839,0.32,6.9,5.0,21.2,12.9,0.73,0.61,0.1,-1.01
abramcj01,CJ Abrams,490.0,2153,0.389,14.7,16.4,45.3,32.3,1.12,0.71,11.3,3.28
abreubo01,Bobby Abreu,431.0,10057,0.372,5.6,17.2,2.8,23.9,3.09,8.57,74.8,2.28
abreuto01,Tony Abreu,3340.0,526,0.343,9.5,5.7,9.9,2.3,0.6,0.23,-3.0,0.5
abreuwi02,Wilyer Abreu,1855.0,864,0.349,19.1,25.7,23.6,9.7,1.35,0.41,3.9,0.12
ackledu01,Dustin Ackley,2012.0,2277,0.359,9.8,12.1,8.1,8.2,1.23,1.01,3.3,1.15
acunaro01,Ronald Acuña,1407.0,3663,0.383,19.6,30.5,42.6,33.6,1.55,0.79,33.5,1.65
adamecr01,Cristhian Adames,5207.0,256,0.315,6.9,4.7,9.9,4.7,0.68,0.47,0.3,0.97
adamewi01,Willy Adames,2661.0,4293,0.338,8.6,25.2,11.7,8.8,2.94,0.75,24.8,1.3
adamsma01,Matt Adams,2060.0,2432,0.371,30.0,28.1,2.6,1.0,0.94,0.38,4.0,-0.36
adamsri03,Riley Adams,1487.0,849,0.347,16.5,14.8,3.6,1.4,0.9,0.39,-3.5,2.45
adamsru01,Russ Adams,1889.0,825,0.329,14.3,8.0,7.6,8.7,0.56,1.14,1.5,0.0
adducji02,Jim Adduci,4377.0,299,0.333,9.3,8.0,28.5,8.0,0.86,0.28,-3.2,-1.68
adelljo01,Jo Adell,1937.0,1576,0.38,29.7,27.4,16.4,9.9,0.92,0.6,0.1,0.81
adriaeh01,Ehire Adrianza,3468.0,1446,0.313,4.8,7.5,19.9,7.9,1.54,0.4,-2.3,1.11
aguilch01,Chris Aguila,2250.0,104,0.355,22.9,0.0,10.7,11.5,0.0,1.08,-1.5,-1.11
aguilje01,Jesus Aguilar,5321.0,2579,0.355,22.1,26.5,1.7,0.2,1.2,0.14,5.0,-0.53
ahmedni01,Nick Ahmed,2004.0,3262,0.312,6.0,12.5,31.1,7.9,2.09,0.25,6.0,0.9
alberha01,Hanser Alberto,3909.0,1299,0.314,6.8,8.8,16.7,5.1,1.3,0.3,1.2,0.39
albieoz01,Ozzie Albies,1744.0,4469,0.343,5.5,21.1,35.1,13.2,3.83,0.37,25.0,0.92
alcanar01,Arismendy Alcantara,4302.0,408,0.331,14.1,16.2,28.0,14.7,1.15,0.52,-2.2,0.74
alcanse01,Sergio Alcantara,4304.0,479,0.31,4.6,13.8,10.0,5.0,3.0,0.5,-0.3,0.4
alexabl01,Blaze Alexander,2003.0,451,0.355,16.2,13.3,18.0,9.3,0.82,0.52,-0.4,2.07
alexama02,Manny Alexander,1234.0,1227,0.316,10.2,7.3,21.4,16.6,0.72,0.78,-0.5,-0.39
alfarjo01,Jorge Alfaro,3300.0,1641,0.32,16.4,17.2,9.8,6.6,1.05,0.67,4.3,1.81
alfoned01,Edgardo Alfonzo,1063.0,6013,0.331,11.9,14.6,0.6,5.3,1.23,0.0,35.5,1.39
alfonel01,Eliezer Alfonzo,4166.0,426,0.365,32.1,19.7,1.6,1.4,0.61,0.89,-0.6,3.79
allenbr01,Brandon Allen,5251.0,311,0.352,22.7,19.3,9.4,5.8,0.85,0.62,-3.1,-1.16
allench01,Chad Allen,756.0,718,0.37,19.8,11.7,8.7,12.5,0.59,1.44,-0.1,-0.56
allengr01,Greg Allen,2902.0,681,0.345,7.4,7.0,48.6,32.6,0.95,0.67,-2.2,1.3
allenni02,Nick Allen,2187.0,1176,0.329,6.0,4.6,26.1,8.2,0.76,0.31,-3.4,1.15
almonab01,Abraham Almonte,4827.0,1193,0.339,12.6,10.1,28.8,12.1,0.8,0.42,-5.3,0.7
almoral01,Albert Almora,2901.0,1517,0.316,8.3,13.1,12.4,2.8,1.58,0.22,1.6,-1.3
alonspe01,Pete Alonso,1155.0,4316,0.394,32.7,36.7,3.6,2.5,1.12,0.69,26.4,0.65
alonsyo01,Yonder Alonso,1592.0,3646,0.36,16.2,15.6,7.9,3.6,0.96,0.46,4.2,-0.56
altheaa01,Aaron Altherr,3210.0,1085,0.324,13.6,19.9,25.8,11.6,1.46,0.45,-1.4,-0.4
altuvjo01,Jose Altuve,2241.0,8696,0.365,8.8,17.6,37.5,22.4,1.99,0.6,65.8,2.62
alvarfr01,Francisco Alvarez,895.0,1042,0.386,34.2,27.1,5.4,1.7,0.79,0.32,4.6,3.69
alvarpe01,Pedro Alvarez,1741.0,3287,0.353,27.2,29.4,2.4,2.7,1.08,1.13,8.7,0.5
alvaryo01,Yordan Alvarez,1080.0,2858,0.403,31.1,35.5,10.0,1.9,1.14,0.19,22.1,1.52
amarial01,Alexi Amarista,5070.0,1845,0.347,8.0,6.8,20.0,12.7,0.85,0.63,-1.3,2.82
amayami01,Miguel Amaya,1768.0,622,0.324,12.6,16.4,5.4,0.0,1.31,0.0,0.1,2.27
amezaal01,Alfredo Amezaga,3526.0,1388,0.322,6.6,5.2,12.3,19.9,0.78,1.62,1.0,0.01
anderbr03,Brian Anderson,809.0,829,0.34,20.8,14.5,4.4,8.7,0.7,1.95,0.8,-0.4
anderbr06,Brian Anderson,2273.0,2427,0.328,17.4,16.3,1.8,3.5,0.94,1.87,7.6,0.21
anderjo03,Josh Anderson,2402.0,444,0.309,2.5,5.4,45.5,47.3,2.16,1.04,-0.7,-0.24
anderti01,Tim Anderson,1506.0,4049,0.33,7.2,14.5,39.8,17.9,2.03,0.45,14.1,1.66
andinro01,Robert Andino,4233.0,1157,0.299,10.8,7.3,13.7,10.9,0.67,0.79,-0.2,-1.37
andruel01,Elvis Andrus,2138.0,8602,0.309,5.3,7.1,38.7,24.2,1.33,0.62,36.9,1.3
andujmi01,Miguel Andujar,3669.0,1568,0.33,14.7,18.4,6.9,3.8,1.25,0.56,1.3,-0.65
ankieri01,Rick Ankiel,860.0,2019,0.361,39.8,22.0,2.8,6.2,0.55,2.24,2.8,1.02
aquinar01,Aristides Aquino,3443.0,705,0.327,24.2,33.2,12.7,9.4,1.37,0.74,-1.8,-0.65
arandjo01,Jonathan Aranda,2535.0,668,0.376,17.5,19.8,9.2,0.0,1.13,0.0,-0.0,0.46
arciaor01,Orlando Arcia,3393.0,3448,0.33,11.3,15.3,20.9,7.3,1.35,0.35,5.1,1.7
arciaos01,Oswaldo Arcia,4050.0,1010,0.376,25.6,25.0,5.9,1.8,0.97,0.3,-0.0,1.2
ardoida01,Danny Ardoin,593.0,383,0.337,11.1,9.4,4.0,1.6,0.84,0.39,-1.3,1.16
arenano01,Nolan Arenado,1988.0,7512,0.354,16.6,28.2,2.4,2.5,1.7,1.03,64.5,1.56
arencjp01,J. P. Arencibia,2781.0,1577,0.336,29.8,27.4,0.6,0.8,0.92,0.0,3.3,1.56
ariasga01,Gabriel Arias,2639.0,977,0.315,13.9,14.7,9.8,9.8,1.06,1.01,-0.6,-0.96
ariasge01,George Arias,748.0,444,0.386,33.7,17.6,2.4,2.7,0.52,1.12,-1.3,1.4
ariasjo01,Joaquin Arias,2746.0,1038,0.305,5.7,3.5,25.8,6.9,0.61,0.27,-2.6,-0.79
arozara01,Randy Arozarena,1889.0,3260,0.364,16.5,20.2,27.6,23.0,1.23,0.83,15.9,0.91
arraelu01,Luis Arraez,1921.0,3533,0.35,1.9,6.1,10.9,5.3,3.26,0.48,16.7,1.77
arroych01,Christian Arroyo,2230.0,821,0.328,10.5,13.2,6.5,5.8,1.25,0.91,-2.4,0.49
ascheco01,Cody Asche,2368.0,1287,0.338,16.0,14.5,7.6,2.3,0.91,0.31,-0.6,0.49
astudwi01,Willians Astudillo,4197.0,420,0.337,12.0,15.7,8.6,0.0,1.31,0.0,-1.5,1.33
asuajca01,Carlos Asuaje,3065.0,561,0.343,9.0,6.4,8.6,1.1,0.71,0.12,-0.4,0.64
austity01,Tyler Austin,2820.0,447,0.358,18.1,34.9,16.8,4.0,1.93,0.24,-1.0,-0.55
avilaal01,Alex Avila,739.0,3504,0.334,11.4,17.0,1.6,1.4,1.49,0.84,16.7,2.56
avilemi01,Mike Aviles,2415.0,3137,0.335,14.9,11.3,11.2,14.9,0.76,1.33,-0.1,0.79
aybarer01,Erick Aybar,1701.0,5586,0.347,10.9,6.2,31.7,16.5,0.57,0.52,17.7,1.84
aybarwi01,Willy Aybar,1176.0,1390,0.347,12.2,14.2,1.5,3.0,1.16,1.97,-0.2,0.6
azocajo01,Jose Azocar,4111.0,318,0.304,6.3,3.8,23.8,24.5,0.6,1.03,-2.5,-1.38
baddoak01,Akil Baddoo,1578.0,1043,0.34,12.9,15.0,33.1,23.6,1.16,0.71,1.6,-0.55
baderha01,Harrison Bader,1385.0,2954,0.355,24.7,17.3,21.7,20.9,0.7,0.97,12.6,1.04
baeji01,Ji Hwan Bae,1932.0,371,0.354,8.4,3.2,38.5,38.8,0.39,1.01,-0.2,1.49
baezja01,Javier Baez,1764.0,5035,0.37,32.3,22.9,27.6,13.6,0.71,0.49,19.4,2.51
bailepa01,Patrick Bailey,863.0,1253,0.339,18.1,10.1,7.6,2.9,0.56,0.38,3.8,2.43
bakerje03,Jeff Baker,786.0,1777,0.371,22.9,15.2,7.6,4.1,0.66,0.53,-2.8,1.08
bakerjo01,John Baker,1469.0,1078,0.318,11.0,7.8,4.1,1.1,0.71,0.27,1.7,0.47
baldero01,Rocco Baldelli,51.0,1950,0.417,0.0,16.9,0.0,18.2,0.0,0.0,7.6,2.35
baldwbr01,Brooks Baldwin,792.0,449,0.343,15.9,17.4,29.5,12.0,1.09,0.41,-1.8,1.57
balenwl01,Wladimir Balentien,2519.0,555,0.359,28.1,15.1,12.9,2.2,0.54,0.17,-2.2,-0.01
bandyje01,Jett Bandy,2381.0,419,0.328,17.1,20.0,2.5,2.9,1.17,1.14,-0.5,1.69
bardjo01,Josh Bard,500.0,1681,0.338,13.2,11.4,0.0,0.4,0.87,0.0,3.8,1.15
barfijo02,Josh Barfield,2296.0,1022,0.303,9.1,9.4,17.5,20.5,1.03,1.17,2.3,-1.4
bargead01,Addison Barger,1787.0,725,0.351,21.5,23.2,9.1,5.0,1.08,0.55,1.2,0.93
barkeke01,Kevin Barker,3613.0,249,0.377,23.2,12.0,2.2,4.8,0.52,2.23,-2.4,-0.56
barmecl01,Clint Barmes,584.0,4023,0.334,12.3,13.0,8.2,6.4,1.05,0.78,6.4,0.08
barneau01,Austin Barnes,2679.0,1639,0.363,11.6,12.8,13.9,8.1,1.1,0.58,1.8,2.94
