team,start,end,total_war,avg_war,total_wins,avg_wins
LAN,2013,2017,382.7,76.5,473,95
LAN,2014,2018,381.2,76.2,473,95
LAN,2012,2016,374.2,74.8,455,91
ATL,1995,1999,372.7,74.5,496,99
ATL,1996,2000,368.4,73.7,501,100
LAN,2011,2015,365.7,73.1,446,89
LAN,2015,2019,361.5,72.3,485,97
WAS,2012,2016,357.3,71.5,458,92
SLN,2011,2015,351.0,70.2,465,93
ATL,1994,1998,350.5,70.1,461,92
WAS,2013,2017,347.1,69.4,457,91
SLN,2012,2016,347.1,69.4,461,92
SLN,2009,2013,345.1,69.0,452,90
ATL,1997,2001,343.2,68.6,493,99
NYN,1986,1990,340.2,68.0,478,96
ATL,1993,1997,339.8,68.0,459,92
SLN,2010,2014,336.6,67.3,451,90
LAN,2010,2014,331.6,66.3,434,87
WAS,2014,2018,330.6,66.1,453,91
WAS,2011,2015,325.6,65.1,443,89
CHN,2015,2019,325.3,65.1,471,94
ATL,1992,1996,324.1,64.8,456,91
SLN,2013,2017,322.1,64.4,456,91
PHI,2007,2011,321.8,64.4,473,95
LAN,2017,2021,320.8,64.2,451,90
NYN,1985,1989,317.7,63.5,485,97
NYN,1987,1991,317.7,63.5,447,89
SLN,2008,2012,316.5,63.3,441,88
WAS,2015,2019,316.0,63.2,450,90
ATL,1998,2002,313.6,62.7,493,99
LAN,2009,2013,313.2,62.6,435,87
LAN,2018,2022,312.5,62.5,458,92
ATL,1991,1995,306.6,61.3,454,91
PHI,2008,2012,306.6,61.3,465,93
NYN,1984,1988,306.6,61.3,488,98
CHN,2014,2018,304.1,60.8,460,92
ATL,2009,2013,303.8,60.8,456,91
LAN,2016,2020,300.9,60.2,436,87
ATL,2010,2014,300.9,60.2,449,90
LAN,2008,2012,298.4,59.7,427,85
ATL,1999,2003,296.9,59.4,488,98
LAN,2006,2010,294.9,59.0,429,86
LAN,2021,2025,294.8,59.0,508,102
WAS,2010,2014,292.8,58.6,429,86
SLN,2014,2018,292.0,58.4,447,89
HOU,1995,1999,291.0,58.2,441,88
SFN,1964,1968,290.9,58.2,457,91
SFN,2012,2016,289.5,57.9,429,86
CIN,1974,1978,287.8,57.6,488,98
SFN,1965,1969,287.4,57.5,457,91
PHI,2006,2010,286.9,57.4,456,91
PHI,2009,2013,286.5,57.3,446,89
PIT,2012,2016,285.8,57.2,437,87
NYN,1988,1992,285.8,57.2,427,85
CIN,1973,1977,284.4,56.9,495,99
SFN,2011,2015,283.2,56.6,428,86
SFN,2010,2014,282.8,56.6,436,87
ATL,1990,1994,282.4,56.5,429,86
NYA,2002,2006,282.2,56.4,497,99
