mlbam_id,lahman_id
605152,bradlje01
110625,barrima01
118336,martifr01
111603,brownby01
113051,darinro01
111880,caligfr01
115817,hernali01
818638,kellywh01
117263,korchst01
122501,snydepo01
122925,suckto01
117218,knudsma01
594987,sadleca02
115724,helfha01
219594,ohkato01
121937,scottja01
117827,littlla01
680911,milleow01
117740,lewisma01
407900,asencmi01
669242,edmanto01
123254,thomaki01
430655,vasqujo01
111361,bradyne01
121259,roachjo01
817576,reynobi02
703231,meekeja01
660636,castidi02
819385,gilesge01
116963,kellybi02
111391,brannmi01
110907,bergmal01
115869,hessege01
119255,montaed01
123267,thomabi01
110478,bakerje02
112952,currepe01
123168,tebeapu01
114307,fordto01
122469,smithbi04
123087,tannele01
112443,coffmsl01
112040,carrido01
121605,saboal01
124589,woulfji01
115153,griffto01
118729,mcgresl01
113525,doyleje02
118394,maskrle01
817402,russefr01
818695,jonesa03
122302,skopejo01
816448,xiquele01
818458,loganco01
137203,smithda05
570666,cessalu01
111852,cacekcr01
113320,dewalch01
123963,washihe01
123602,valdeju01
118928,meledu01
430963,penato03
123847,walkuji02
124296,willida03
-1,jeffebo01
116533,jenseja01
642239,zastrro01
117084,kingly01
124568,woodske01
113526,doyleje01
122044,shanagr01
122671,stanljo02
457826,mastnto01
676914,schneda03
819103,haynele01
120783,pruesea01
282562,pettyad01
434670,ramirha01
121701,santred01
121198,riggejo01
819113,hayesjo01
110472,bakerfl01
819859,davisg04
117951,lowfl01
121564,russere01
642094,smithty01
116497,jarviro01
819697,duffybi01
816518,wilsoel01
111982,cardele01
119805,nippeal01
118137,mageebi01
115849,herrihe01
114941,goochle01
448609,sippto01
346858,valener01
111399,brashki01
112566,conlojo01
117893,longje01
119053,mileymi01
118173,mailsdu01
421684,snellch02
150034,creekdo01
116617,johnsra03
119193,mitchjo02
434705,repkoja01
227495,durritr01
124538,woodjo03
446290,moskoda01
120848,quinnto01
119205,mittera01
122134,sherled01
501869,taylogr01
285064,vogelry01
117006,kepshku01
460621,spearna01
702332,durbica01
666674,colined01
132620,sadledo01
119257,montara01
124645,yankoge01
506627,brownra99
121848,schnepe01
596816,gomezro01
122363,smithpo01
124100,wertsjo01
117162,klingjo02
112438,cockmji01
817255,simps02
116091,hollyed01
118140,maglisa01
110525,bandoch01
120515,phillre01
701552,granian01
122443,smithpe02
820711,anderbu02
123056,swiglad01
492661,mccalja99
502593,petrija01
118683,mcganam01
664180,hallma02
114369,foytapa01
112157,cepedor01
112365,clarkbo02
621242,diazed04
400268,boscajc01
120053,o'roufr01
670032,lopezni01
122587,spencve01
820032,colemgi01
816468,wrigh05
110274,andrewa01
114017,farrst01
119411,morrimi01
115124,gremmed01
120958,rayfofl01
622270,mejiaal01
113674,dwyerjo01
118750,mcilrva01
115912,higgibo01
117534,lattibi01
113220,delahji01
644428,scribtr01
115312,haighed01
120361,pellaed01
819240,hackesp01
664040,lowebr01
121935,scottji02
121080,rescixa01
124590,wrighal01
121840,schmicr01
518883,kiekhde01
124005,weaveji02
122003,sentest01
114004,fanweha01
596001,junisja01
593576,nerishe01
110726,beamal01
467092,ramoswi01
457456,reyesjo03
657248,ottogl01
115333,haliced01
457574,pachejo01
819687,duncajo01
543744,satinjo01
124755,zeileto01
121820,schlibi01
502522,milleju02
445926,chaveje01
116199,howarch01
112126,castlro01
112339,clarkbo04
113285,derripa01
451109,hayesbr01
407870,pearcjo01
696100,goodmhu01
117668,lemkema01
819429,gardn03
115545,harriri01
118985,merulma01
117029,ketchfr01
117368,kurosry01
817020,taylobo02
121522,rozekdi01
112703,corrifr01
119800,nilanto01
115663,healyjo01
112027,carrch01
818445,longlre01
120992,reedhu01
608337,giolilu01
122069,shaugsh01
658668,olivaed02
111408,brazifr01
111470,brillfr01
113420,dohened01
110875,bennesh01
114717,gerkege01
683227,freemco01
112994,dailejo01
641796,locasti01
406723,barkean01
519455,zimmejo02
121675,sandero02
676886,beaslje01
111967,cantwto01
119141,millsja01
695670,fordha01
117415,lakeed01
613317,birdky01
819135,hartmga01
124205,whitegu01
118182,makosfr01
136270,baptitr01
820341,brownel02
118106,macwhke01
506648,herreyo01
117017,kerrjo01
112321,clarked01
115683,heatone01
455090,egberja01
121028,reidbi01
119732,nevinph01
124177,whiteja02
820802,jennith01
112475,colemje01
117537,laudnti01
817990,nearshe01
122710,steelji01
519096,oteroda01
118282,margojo01
665871,assadja01
112224,cheadda01
407053,johnsad01
608700,plaweke01
122370,smithda01
110634,barrysh01
116898,keenaji02
116058,holbeaa01
819595,face02
117356,kuheljo01
819686,duncafr01
117215,knoxcl01
113038,danieja02
451546,depauju01
694192,chourja01
116196,hovlijo01
122330,slusajo01
111262,bottari01
672569,campegu01
119051,milesji01
501255,ynoara01
819779,dewitsa01
110468,bakerde01
112260,chrismi01
628333,despaod01
817434,rossdi01
112096,cassaha01
120887,raglafr01
119197,mitchda01
119534,murakma01
124587,wortmch01
118676,mcfarho01
121224,ripleal01
116258,hudlere01
448276,carrobr01
117727,lewalde01
114115,figuebi01
120230,parkecl01
430944,jacobbu02
115485,harmobo01
817226,smith18
112900,cruzhe02
537953,navada01
123086,tanneje01
115114,greerru01
114844,glanvdo01
119136,millijo01
572119,schuspa01
117057,killied01
276913,turnbde01
572910,hassaal01
112227,cheekha01
118791,mclauba01
