mgr_id,name,seasons,first_year,last_year,games,wins,pyth_expected,one_run_games,one_run_wins,extra_inn_games,extra_inn_wins,bullpen_aggr,mgr_value_total,mgr_value_combined,mgr_value_per_season,close_residual_total,one_run_winpct,winpct
actam801,Manny Acta,3,2010,2012,480,214,206.20230777852333,134,76,37,16,3.9481639759417537,0.8471106708785143,0.9829774696149602,0.2823702236261714,6.5,0.5671641791044776,0.44583333333333336
ausmb001,Brad Ausmus,4,2014,2017,645,313,304.60406475604617,174,92,43,21,4.040199299325205,4.998696750988131,3.7690877256916924,1.2496741877470328,4.5,0.5287356321839081,0.48527131782945737
baked002,Dusty Baker,9,2010,2023,1435,824,837.0769139876081,430,233,130,69,4.013906967596008,0.8594604978845268,1.9216223485191692,0.09549561087605854,22.0,0.541860465116279,0.5742160278745645
baldr001,Rocco Baldelli,6,2019,2025,961,484,491.72308969291953,254,121,97,41,4.259949078862738,-13.621258592038458,-10.344881014426921,-2.270209765339743,-13.5,0.4763779527559055,0.5036420395421436
banij001,Jeff Banister,4,2015,2018,636,325,311.10138008570965,161,88,44,23,3.9897061809616634,14.249205613371785,10.484443929360248,3.5623014033429463,8.5,0.546583850931677,0.5110062893081762
belld002,David Bell,5,2019,2024,803,374,380.88960637884566,250,118,66,36,4.488984468339307,-0.7104419990105271,-0.7373093993073688,-0.14208839980210541,-4.0,0.472,0.4657534246575342
blacb001,Buddy Black,12,2010,2024,1933,897,888.8108832032439,559,299,150,75,4.200907103140727,3.8272394522074293,3.8490676165452,0.31893662101728576,19.5,0.5348837209302325,0.4640455250905329
bochb002,Bruce Bochy,13,2010,2025,2100,1067,1070.0077464532005,642,330,205,120,4.190756298183834,-3.364721501981009,-0.7653050513867061,-0.25882473092161606,26.5,0.514018691588785,0.508095238095238
boona001,Aaron Boone,7,2018,2025,1132,663,658.6619141341571,305,159,106,56,4.2015073340125095,-1.528050930929524,-0.4996356516506666,-0.21829299013278916,9.5,0.521311475409836,0.5856890459363958
cashk001,Kevin Cash,10,2015,2025,1619,856,864.7987732965225,487,232,144,68,4.321823479794494,8.049470297647119,4.7046292083529835,0.8049470297647119,-15.5,0.47638603696098564,0.5287214329833231
collt801,Terry Collins,7,2011,2017,1133,551,554.1749812102497,344,167,98,45,4.2048758311698275,-6.325900386887852,-4.968130270821496,-0.9037000552696932,-9.0,0.48546511627906974,0.48631950573698146
coraa001,Alex Cora,7,2018,2025,1127,608,605.8804834256978,298,156,111,56,4.424532391923696,-1.6081725726932916,-0.6757208008853038,-0.22973893895618452,7.5,0.5234899328859061,0.5394853593611357
counc001,Craig Counsell,10,2015,2025,1594,852,846.7506248413363,452,249,142,71,4.286058558401484,11.542148308571356,9.459503815999948,1.1542148308571356,23.0,0.5508849557522124,0.534504391468005
farrj001,John Farrell,7,2011,2017,1073,553,559.4587941722355,307,150,102,66,3.9563409763757145,8.315566991142369,6.510896893799657,1.187938141591767,11.5,0.48859934853420195,0.5153774464119292
