mgr_id,mgr_name,games,wins,runs_for,runs_against,one_run_games,one_run_wins,extra_inn_games,extra_inn_wins,blowout_games,blowout_wins,total_pitchers,years_of_postseason,winpct,one_run_winpct,extra_inn_winpct,blowout_winpct,bullpen_aggr,pyth_winpct,pyth_expected_W,pyth_residual,close_games,close_wins,close_winpct,close_residual,blowout_residual
baked002,Dusty Baker,72,40,327,281,20,10,3,1,23,16,356,9,0.5555555555555556,0.5,0.3333333333333333,0.6956521739130435,4.944444444444445,0.5689180205583662,40.96209748020236,-0.9620974802023596,23,11,0.4782608695652174,-0.5,4.5
baldr001,Rocco Baldelli,11,3,27,51,1,0,0,0,3,0,58,3,0.2727272727272727,0.0,0.0,0.0,5.2727272727272725,0.2379667116973641,2.6176338286710052,0.38236617132899475,1,0,0.0,-0.5,-1.5
bochb002,Bruce Bochy,77,50,329,259,23,17,7,6,23,16,338,7,0.6493506493506493,0.7391304347826086,0.8571428571428571,0.6956521739130435,4.3896103896103895,0.607732385086008,46.79539365162262,3.204606348377382,30,23,0.7666666666666667,8.0,4.5
boona001,Aaron Boone,52,25,237,226,12,4,5,1,12,7,261,7,0.4807692307692308,0.3333333333333333,0.2,0.5833333333333334,5.019230769230769,0.5217290576580009,27.129910998216047,-2.1299109982160473,17,5,0.29411764705882354,-3.5,1.0
cashk001,Kevin Cash,34,15,124,141,8,3,2,0,8,3,171,5,0.4411764705882353,0.375,0.0,0.375,5.029411764705882,0.44149044861807735,15.01067525301463,-0.01067525301463057,10,3,0.3,-2.0,-1.0
collt801,Terry Collins,15,8,62,56,2,1,2,0,5,3,65,2,0.5333333333333333,0.5,0.0,0.6,4.333333333333333,0.5464314205602172,8.196471308403257,-0.19647130840325744,4,1,0.25,-1.0,0.5
coraa001,Alex Cora,28,18,150,118,6,3,2,1,9,4,147,3,0.6428571428571429,0.5,0.5,0.4444444444444444,5.25,0.6080468757027864,17.025312519678018,0.9746874803219825,8,4,0.5,0.0,-0.5
counc001,Craig Counsell,27,11,76,86,8,4,2,1,4,3,141,6,0.4074074074074074,0.5,0.5,0.75,5.222222222222222,0.44368655254736744,11.979536918778921,-0.9795369187789209,10,5,0.5,0.0,1.0
farrj001,John Farrell,23,12,97,83,9,3,0,0,7,4,105,3,0.5217391304347826,0.3333333333333333,0.0,0.5714285714285714,4.565217391304348,0.5708310894856488,13.129115058169921,-1.129115058169921,9,3,0.3333333333333333,-1.5,0.5
frant001,Terry Francona,66,33,277,291,20,12,7,3,20,10,289,11,0.5,0.6,0.42857142857142855,0.5,4.378787878787879,0.4774579059030242,31.5122217895996,1.4877782104003998,27,15,0.5555555555555556,1.5,0.0
garnp001,Phil Garner,14,7,61,57,6,3,2,1,2,1,60,1,0.5,0.5,0.5,0.5,4.285714285714286,0.5309890668005279,7.4338469352073915,-0.4338469352073915,8,4,0.5,0.0,0.0
