season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,592122,Tyler Austin,Christopher,Austin,Tyler,T Austin,1B/RF,70,309,266,85,22,5,14,54,17,2,37,1,68,159,37,7,0,3,3,41,71,45,35,5,5,0,121,21,34,0,30,887,461,150,201,5,1,0.32,0.139,0.598,0.737,0.278,0.38,1.578
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,431171,Casey McGehee,Casey,McGehee,Casey,C McGehee,3B,7,27,25,9,3,0,0,8,0,0,2,0,4,12,4,0,0,0,0,3,3,9,4,5,0,0,9,2,1,0,6,74,39,6,21,0,0,0.36,0.074,0.48,0.554,0.12,0.429,0.333
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,596142,Gary Sanchez,Gary,Sanchez,Gary,G Sánchez,C,68,289,263,78,19,0,13,56,11,4,22,0,65,136,45,11,0,2,2,32,64,58,40,12,6,0,122,23,22,0,33,854,460,144,200,5,0,0.297,0.09,0.517,0.607,0.221,0.348,1.103
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,570716,Anderson Feliz,Anderson,Feliz,Anderson,A Feliz,3B/DH,22,84,73,23,6,1,1,11,6,1,9,0,23,34,16,0,1,0,1,8,20,8,5,1,2,0,26,10,3,0,10,224,126,48,51,2,1,0.315,0.12,0.466,0.586,0.151,0.449,2.5
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,592863,Mason Williams,Mason,Williams,Mason,M Williams,CF,69,311,276,84,19,4,8,28,19,9,21,1,34,135,33,1,7,3,4,31,92,76,56,11,9,0,100,25,22,0,37,780,459,88,252,4,0,0.304,0.092,0.489,0.581,0.185,0.321,1.211
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,542419,Ali Castillo,Ali,Castillo,Ali,A Castillo,2B,86,325,283,87,20,1,5,28,17,13,27,0,33,124,52,6,5,2,8,26,95,75,55,9,11,0,112,29,16,0,42,798,437,69,257,9,0,0.307,0.116,0.438,0.554,0.131,0.332,1.267
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,548361,Casey Stevenson,Casey,Stevenson,Casey,C Stevenson,2B/1B,67,256,230,69,10,3,5,37,4,2,18,0,39,100,45,6,1,2,5,18,62,63,39,17,7,0,95,25,12,0,32,733,366,90,194,2,0,0.3,0.098,0.435,0.533,0.135,0.34,0.984
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,592365,Angelo Gumbs,Angelo,Gumbs,Angelo,A Gumbs,2B,67,278,257,70,14,3,7,36,26,3,18,1,61,111,30,6,0,2,1,24,75,53,34,11,8,0,117,20,19,0,31,714,418,152,198,4,0,0.272,0.076,0.432,0.508,0.16,0.33,1.415
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,539615,Tyson Blaser,Tyson,Blaser,Tyson,T Blaser,C,22,91,82,24,5,0,1,14,0,0,7,0,20,32,13,2,0,1,1,6,20,19,12,5,2,0,34,7,4,0,13,253,129,39,63,1,0,0.293,0.099,0.39,0.489,0.098,0.371,1.053
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,592325,Ben Gamel,Benjamin,Gamel,Ben,B Gamel,LF/CF,110,476,444,136,23,5,2,61,19,10,23,0,71,175,75,10,0,5,4,30,124,118,75,19,24,0,182,49,23,0,64,1193,655,141,378,10,1,0.306,0.067,0.394,0.461,0.088,0.356,1.051
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,516472,Francisco Arcia,Francisco,Arcia,Francisco,F Arcia,C,68,256,224,55,14,1,5,46,2,3,21,0,45,86,45,5,2,4,5,20,65,65,34,15,16,0,105,19,14,0,22,610,353,103,185,0,2,0.246,0.118,0.384,0.502,0.138,0.281,1.0
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,623220,Saxon Butler,Saxon,Butler,Saxon,S Butler,1B,25,96,85,20,4,0,3,9,0,0,6,0,19,33,12,4,0,2,3,7,24,24,14,6,4,0,38,8,4,0,8,231,146,53,68,1,0,0.235,0.115,0.388,0.503,0.153,0.262,1.0
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,608701,Rob Refsnyder,Robert,Refsnyder,Rob,R Refsnyder,LF/RF,46,182,162,39,8,0,4,22,11,1,16,0,25,59,33,7,0,1,3,12,56,43,31,6,6,0,67,8,7,0,24,440,216,44,138,2,0,0.241,0.11,0.364,0.474,0.123,0.261,1.302
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,595319,Nick McCoy,Nicholas,McCoy,Nick,N McCoy,C,17,57,52,15,2,0,0,2,0,1,5,0,8,17,5,2,0,0,0,2,21,8,5,3,0,0,24,7,5,0,3,123,76,19,44,0,0,0.288,0.088,0.327,0.415,0.038,0.341,2.625
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,458731,Brett Gardner,Brett,Gardner,Brett,B Gardner,LF,1,3,3,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16,8,1,2,1,0,0.333,0.0,0.333,0.333,0.0,0.5,
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,605142,Dante Bichette,Alphonse,Bichette,Dante,D Bichette,3B,122,522,471,117,24,3,3,46,3,4,44,1,94,156,72,20,0,0,7,30,159,101,60,20,21,0,203,46,18,0,53,1419,780,231,377,5,1,0.248,0.098,0.331,0.429,0.083,0.305,1.574
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,527037,Kelvin De Leon,Kelvin,De Leon,Kelvin,K De Leon,RF,84,319,283,68,17,0,4,34,5,4,25,0,77,97,39,8,1,5,4,21,80,64,39,14,11,1,119,22,16,0,30,940,511,177,212,5,0,0.24,0.107,0.343,0.45,0.102,0.309,1.25
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,527052,Eduardo Sosa,Eduardo,Sosa,Eduardo,E Sosa,CF/LF,42,165,148,34,3,4,2,8,2,4,14,1,42,51,14,2,1,1,1,9,40,34,20,7,7,0,59,11,4,0,19,425,268,109,108,3,0,0.23,0.098,0.345,0.443,0.115,0.305,1.176
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,542428,Reymond Nunez,Reymond,Nunez,Reymond,R Nunez,1B,104,405,378,90,21,0,5,47,3,2,20,1,108,126,62,13,0,1,6,26,127,54,28,12,14,0,158,37,22,1,30,1091,701,273,271,8,1,0.238,0.067,0.333,0.4,0.095,0.32,2.352
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,592237,Cito Culver,Christopher,Culver,Cito,C Culver,SS,122,550,466,100,14,6,2,40,22,11,71,1,104,132,66,5,4,5,4,22,155,116,77,17,22,0,183,33,18,0,49,1591,771,221,371,12,0,0.215,0.147,0.283,0.43,0.069,0.268,1.336
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,605256,Cody Grice,Cody,Grice,Cody,C Grice,LF,31,106,99,21,2,0,1,8,6,0,5,0,33,26,15,0,0,0,2,3,26,19,9,5,5,0,42,6,1,0,14,268,170,78,66,0,0,0.212,0.066,0.263,0.329,0.051,0.308,1.368
2012,233,CSC,Charleston RiverDogs,116,SAL,14,A,593469,Jamiel Orozco,Jamiel,Orozco,Jamiel,J Orozco,SS/2B,9,29,27,5,2,0,0,1,0,1,1,0,7,7,1,0,1,0,0,2,8,8,6,1,1,0,9,4,0,0,1,57,38,15,21,0,0,0.185,0.036,0.259,0.295,0.074,0.25,1.0
2012,420,BUR,Burlington Bees,118,MID,14,A,594947,Chad Oberacker,Chad,Oberacker,Chad,C Oberacker,CF/RF,16,74,63,20,5,1,2,7,5,1,9,0,9,33,10,2,2,0,0,8,21,15,9,3,3,0,19,10,5,0,5,137,80,21,56,3,0,0.317,0.125,0.524,0.649,0.206,0.346,1.4
