season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2013,1174,SC,State College Spikes,127,NYP,15,A-,622269,Brett Wiley,Brett,Wiley,Brett,B Wiley,2B/DH,25,103,89,30,2,4,2,18,7,0,9,0,13,46,22,2,1,3,1,8,24,26,22,4,0,0,37,8,8,0,14,170,117,34,80,2,1,0.337,0.127,0.517,0.644,0.18,0.364,0.923
2013,1174,SC,State College Spikes,127,NYP,15,A-,621560,Bruce Caldwell,Bruce,Caldwell,Bruce,B Caldwell,2B,36,157,131,42,9,0,1,15,6,1,22,0,29,54,23,0,1,2,1,10,23,40,26,10,4,0,52,14,11,0,17,292,174,67,105,1,0,0.321,0.16,0.412,0.572,0.092,0.398,0.575
2013,1174,SC,State College Spikes,127,NYP,15,A-,593380,Ronald Castillo,Ronald,Castillo,Ronald,R Castillo,LF,37,146,138,47,6,2,2,28,4,1,7,1,23,63,21,2,0,1,0,10,48,21,10,7,4,0,58,16,7,0,24,232,168,52,116,4,1,0.341,0.055,0.457,0.512,0.116,0.395,2.286
2013,1174,SC,State College Spikes,127,NYP,15,A-,643228,Jimmy Bosco,James,Bosco,Jimmy,J Bosco,LF/RF,65,266,240,72,18,6,3,27,3,6,21,1,54,111,27,0,2,1,2,27,50,67,41,17,9,0,85,26,17,0,29,466,306,116,189,2,1,0.3,0.091,0.462,0.553,0.162,0.375,0.746
2013,1174,SC,State College Spikes,127,NYP,15,A-,594971,Steven Ramos,Steven,Ramos,Steven,S Ramos,CF,67,275,252,86,12,3,2,24,22,4,15,0,47,110,40,6,4,2,2,17,75,50,32,13,5,0,80,37,18,0,31,435,335,119,211,1,1,0.341,0.07,0.437,0.507,0.095,0.41,1.5
2013,1174,SC,State College Spikes,127,NYP,15,A-,572241,David Washington,David,Washington,David,D Washington,1B,72,310,261,68,17,0,10,50,4,2,40,8,76,115,39,7,0,4,5,27,52,69,50,13,6,0,118,14,20,0,34,618,364,167,189,2,1,0.261,0.158,0.441,0.599,0.18,0.324,0.754
2013,1174,SC,State College Spikes,127,NYP,15,A-,617367,Adam Lewis,Adam,Lewis,Adam,A Lewis,C,3,12,10,3,1,0,0,2,0,0,1,0,2,4,1,0,0,1,0,1,2,4,2,1,1,0,3,1,0,0,2,20,12,3,9,0,0,0.3,0.167,0.4,0.567,0.1,0.333,0.5
2013,1174,SC,State College Spikes,127,NYP,15,A-,608348,Carson Kelly,Carson,Kelly,Carson,C Kelly,C/3B,70,299,271,75,16,1,4,32,1,0,20,1,31,105,58,15,2,0,6,21,98,69,41,19,9,0,140,30,16,0,29,452,316,67,242,6,0,0.277,0.088,0.387,0.475,0.111,0.301,1.42
2013,1174,SC,State College Spikes,127,NYP,15,A-,551750,Cesar Valera,Cesar,Valera,Cesar,C Valera,SS,67,301,268,71,13,4,2,27,13,3,19,0,45,98,40,9,2,1,11,19,100,55,36,10,9,0,111,29,10,0,32,476,329,96,226,7,3,0.265,0.104,0.366,0.47,0.101,0.311,1.818
2013,1174,SC,State College Spikes,127,NYP,15,A-,641742,Mason Katz,Mason,Katz,Mason,M Katz,2B,56,229,197,49,13,1,2,23,2,1,21,1,49,70,28,5,0,2,9,16,45,56,41,13,2,0,97,17,11,0,21,415,275,122,150,8,0,0.249,0.14,0.355,0.495,0.107,0.318,0.804
