season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,642321,Ronald Soto,Ronald,Soto,Ronald,R Soto,C,29,111,91,26,6,1,3,14,2,3,16,1,19,43,16,2,0,1,3,10,15,32,24,8,0,0,41,2,11,0,13,206,119,46,73,1,0,0.286,0.18,0.473,0.653,0.187,0.329,0.469
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,642724,Guillermo Salas,Guillermo,Salas,Guillermo,G Salas,SS,12,54,47,16,2,1,0,2,4,1,3,0,4,20,10,2,2,0,2,3,20,9,4,5,0,0,10,6,7,0,3,76,55,10,45,4,0,0.34,0.096,0.426,0.522,0.085,0.372,2.222
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,621519,Phildrick Llewellyn,Phildrick,Llewellyn,Phildrick,P Llewellyn,1B/C,30,111,92,26,5,1,2,14,6,3,14,0,14,39,21,5,4,0,1,8,41,15,8,6,1,0,40,4,6,0,16,186,118,36,82,3,1,0.283,0.14,0.424,0.564,0.141,0.316,2.733
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,658730,Ramon Ramirez,Ramon,Ramirez,Ramon,R Ramirez,2B/SS,32,144,126,36,5,2,0,14,8,4,15,0,20,45,25,2,0,0,3,7,37,33,15,13,5,0,54,13,12,1,10,242,157,51,106,4,0,0.286,0.125,0.357,0.482,0.071,0.34,1.121
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,656037,Angel Adames,Angel,Adames,Angel,A Adames,DH/2B,34,133,117,29,6,0,2,15,3,2,13,2,35,41,17,4,1,1,1,8,31,24,16,7,1,0,53,4,14,0,11,251,166,82,84,3,0,0.248,0.114,0.35,0.464,0.103,0.333,1.292
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,650186,Carlos Diaz,Carlos,Diaz,Carlos,C Diaz,1B,50,211,174,42,8,0,1,16,1,1,32,3,49,53,23,3,0,2,3,9,42,43,31,8,4,0,80,13,15,0,14,429,236,109,127,2,0,0.241,0.175,0.305,0.48,0.063,0.325,0.977
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,642482,Carlos Jean,Carlos,Jean,Carlos,C Jean,CF,64,274,226,52,6,5,1,12,14,8,39,0,69,71,37,6,4,1,4,12,57,53,36,11,6,0,96,15,18,0,19,547,287,125,162,5,0,0.23,0.163,0.314,0.477,0.084,0.325,1.075
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,642292,Yeridolfo Lizardo,Yeridolfo,Lizardo,Yeridolfo,Y Lizardo,3B,57,228,194,43,16,1,0,21,2,4,23,0,55,61,31,6,1,1,8,17,49,49,34,14,1,1,119,12,18,0,13,416,277,135,141,3,0,0.222,0.142,0.314,0.456,0.093,0.307,1.0
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,650375,Juan Montes,Juan,Montes,Juan,J Montes,OF/LF,44,178,148,32,5,1,1,19,1,5,22,0,35,42,30,3,1,1,6,7,49,34,23,8,3,0,78,7,9,0,16,327,182,67,115,6,0,0.216,0.164,0.284,0.448,0.068,0.274,1.441
2014,3130,DSL OR2,DSL Orioles2,130,DSL,16,RK,622454,Sergio Lamas,Sergio,Lamas,Sergio,S Lamas,2B,42,124,99,19,4,3,0,13,2,2,15,0,34,29,20,0,3,1,5,7,29,21,12,5,4,1,38,4,10,0,5,243,150,80,69,4,0,0.192,0.175,0.293,0.468,0.101,0.288,1.381
