season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,G,batting_PA,batting_AB,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_IBB,batting_SO,batting_TB,batting_GiDP_Opp,batting_GiDP,batting_SH,batting_SF,batting_HBP,batting_XBH,batting_GO,batting_AO,batting_FO,batting_PO,batting_LO,batting_CI,batting_LOB,batting_ground_hits,batting_fly_hits,batting_pop_hits,batting_line_hits,batting_pitches_faced,batting_swings,batting_whiffs,batting_balls_in_play,batting_reached_on_error,batting_walkoffs,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_ISO,batting_BABiP,batting_GO/AO
2020,1191,DR,Dominican Republic,162,CS,17,WIN,570639,Yefri Pérez,Yefri,Pérez,Yefri,Y Pérez,SS/X,4,1,1,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0,1.0,
2020,1191,DR,Dominican Republic,162,CS,17,WIN,593527,Ramón Torres,Ramón,Torres,Ramón,R Torres,2B/X,5,15,11,5,1,0,0,0,1,0,3,0,1,6,4,0,1,0,0,1,3,3,0,2,1,0,3,1,0,0,4,62,19,1,11,0,0,0.455,0.214,0.545,0.759,0.091,0.5,1.0
2020,1191,DR,Dominican Republic,162,CS,17,WIN,501571,Juan Lagares,Juan,Lagares,Juan,J Lagares,RF/CF,6,24,19,6,1,0,2,8,0,0,4,0,4,13,5,1,0,1,0,3,3,7,5,0,2,0,6,1,1,0,4,101,38,8,16,1,0,0.316,0.208,0.684,0.892,0.368,0.286,0.429
2020,1191,DR,Dominican Republic,162,CS,17,WIN,596825,Robel García,Robel,García,Robel,R García,2B,3,12,10,3,3,0,0,2,0,0,2,0,4,6,2,0,0,0,0,3,1,2,2,0,0,0,3,0,1,0,2,61,28,10,6,0,0,0.3,0.167,0.6,0.767,0.3,0.5,0.5
2020,1191,DR,Dominican Republic,162,CS,17,WIN,429664,Robinson Canó,Robinson,Canó,Robinson,R Canó,2B,6,25,19,7,0,0,0,1,0,0,6,1,1,7,3,0,0,0,0,0,7,4,2,1,1,0,9,2,2,0,3,104,49,7,18,0,0,0.368,0.24,0.368,0.608,0.0,0.389,1.75
2020,1191,DR,Dominican Republic,162,CS,17,WIN,466320,Melky Cabrera,Melky,Cabrera,Melky,M Cabrera,LF/RF,6,27,24,8,2,0,0,5,0,0,2,0,2,10,5,1,0,1,0,2,9,6,4,2,0,0,10,2,1,0,5,104,51,7,23,0,0,0.333,0.111,0.417,0.528,0.083,0.348,1.5
2020,1191,DR,Dominican Republic,162,CS,17,WIN,608597,Ronald Guzmán,Ronald,Guzmán,Ronald,R Guzmán,P/1B,6,26,23,6,1,0,1,5,1,0,3,0,7,10,4,0,0,0,0,2,8,2,1,1,0,0,9,2,1,0,3,100,46,11,16,1,0,0.261,0.115,0.435,0.55,0.174,0.333,4.0
2020,1191,DR,Dominican Republic,162,CS,17,WIN,516809,Junior Lake,Junior,Lake,Junior,J Lake,OF/LF,7,30,25,4,1,0,0,1,1,0,4,0,5,5,3,1,0,0,1,1,12,4,1,1,2,0,13,2,0,0,2,136,54,14,20,0,0,0.16,0.167,0.2,0.367,0.04,0.2,3.0
2020,1191,DR,Dominican Republic,162,CS,17,WIN,544827,Carlos Paulino,Carlos,Paulino,Carlos,C Paulino,C,3,4,4,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,9,5,2,3,0,1,0.25,0.0,0.25,0.25,0.0,0.333,1.0
2020,1191,DR,Dominican Republic,162,CS,17,WIN,622666,Johan Camargo,Johan,Camargo,Johan,J Camargo,3B,7,24,22,3,0,0,1,2,0,0,2,1,5,6,4,0,0,0,0,1,3,11,5,4,2,0,7,2,1,0,0,98,44,12,17,2,0,0.136,0.083,0.273,0.356,0.136,0.125,0.273
2020,1191,DR,Dominican Republic,162,CS,17,WIN,543633,Juan Carlos Perez,Juan Carlos,Perez,Juan Carlos,J Perez,RF,6,9,7,1,0,0,0,0,0,0,1,0,2,1,2,0,0,0,1,0,0,4,2,1,1,0,8,1,0,0,0,33,11,1,5,0,0,0.143,0.222,0.143,0.365,0.0,0.2,0.0
2020,1191,DR,Dominican Republic,162,CS,17,WIN,542340,Jonathan Villar,Jonathan,Villar,Jonathan,J Villar,2B/SS,6,25,22,3,1,0,0,0,0,0,3,0,6,4,1,0,0,0,0,1,6,7,2,2,3,0,7,1,0,0,2,104,43,7,16,1,0,0.136,0.12,0.182,0.302,0.045,0.188,0.857
2020,1191,DR,Dominican Republic,162,CS,17,WIN,592660,Rangel Ravelo,Rangel,Ravelo,Rangel,R Ravelo,1B/DH,5,21,19,2,0,0,0,1,0,0,1,0,3,2,1,0,0,0,1,0,11,3,1,2,0,0,17,2,0,0,0,81,38,6,16,0,1,0.105,0.095,0.105,0.2,0.0,0.125,3.667
2020,1191,DR,Dominican Republic,162,CS,17,WIN,506747,Francisco Peña,Francisco,Peña,Francisco,F Peña,C,6,22,21,2,1,0,0,3,0,0,0,0,7,3,4,2,0,0,1,1,5,7,2,3,2,0,9,1,1,0,0,104,55,20,14,1,0,0.095,0.045,0.143,0.188,0.048,0.143,0.714
2020,1192,MEX,Mexico,162,CS,17,WIN,624645,Julian Leon,Julian,Leon,Julian,J Leon,C,3,7,6,2,0,0,1,5,0,0,1,0,2,5,0,0,0,0,0,1,0,2,1,1,0,0,2,0,0,0,2,22,7,3,4,0,0,0.333,0.143,0.833,0.976,0.5,0.333,0.0
2020,1192,MEX,Mexico,162,CS,17,WIN,652999,Jesus Fabela,Jesus,Fabela,Jesus,J Fabela,RF/LF,4,13,11,4,1,0,0,2,0,0,2,1,2,5,0,0,0,0,0,1,2,3,2,1,0,0,0,3,0,0,1,47,19,2,9,0,0,0.364,0.154,0.455,0.609,0.091,0.444,0.667
2020,1192,MEX,Mexico,162,CS,17,WIN,608841,Joey Meneses,Joey,Meneses,Joey,J Meneses,1B/LF,6,26,23,6,5,0,0,5,1,0,2,0,6,11,4,0,0,0,1,5,5,6,4,0,2,0,10,0,0,0,6,109,56,16,17,1,0,0.261,0.115,0.478,0.593,0.217,0.353,0.833
2020,1192,MEX,Mexico,162,CS,17,WIN,477399,Jesse Castillo,Jesus,Castillo,Jesse,J Castillo,3B/DH,6,23,19,5,0,0,1,5,0,1,4,0,5,8,3,1,0,0,0,1,2,7,4,3,0,0,6,1,2,0,2,102,39,9,14,0,0,0.263,0.174,0.421,0.595,0.158,0.308,0.286
2020,1192,MEX,Mexico,162,CS,17,WIN,455369,Ramiro Pena,Ramiro,Pena,Ramiro,R Pena,2B,5,22,20,6,1,0,0,1,1,0,0,0,4,7,2,0,1,0,1,1,4,7,6,1,0,0,7,5,0,0,1,66,37,8,17,0,0,0.3,0.048,0.35,0.398,0.05,0.375,0.571
2020,1192,MEX,Mexico,162,CS,17,WIN,656029,Alexis Wilson,Irving,Wilson,Alexis,A Wilson,C,5,14,10,2,0,0,0,1,0,0,4,0,3,2,3,0,0,0,0,0,2,3,1,1,1,0,6,1,0,0,1,64,21,6,7,0,0,0.2,0.286,0.2,0.486,0.0,0.286,0.667
2020,1192,MEX,Mexico,162,CS,17,WIN,590271,Sebastián Elizalde,Sebastián,Elizalde,Sebastián,S Elizalde,OF/RF,6,27,24,6,1,0,0,2,1,0,2,0,1,7,5,1,0,0,1,1,10,7,3,3,1,0,8,3,1,0,2,98,47,3,23,1,0,0.25,0.111,0.292,0.403,0.042,0.261,1.429
2020,1192,MEX,Mexico,162,CS,17,WIN,628013,Victor Mendoza,Victor,Mendoza,Victor,V Mendoza,1B/X,5,10,7,1,0,0,0,1,0,0,3,1,1,1,0,0,0,0,0,0,1,4,3,0,1,0,3,0,1,0,0,44,16,3,6,0,0,0.143,0.3,0.143,0.443,0.0,0.167,0.25
2020,1192,MEX,Mexico,162,CS,17,WIN,606580,Jose Cardona,Jose,Cardona,Jose,J Cardona,CF,5,12,12,3,0,0,0,2,0,1,0,0,2,3,2,0,0,0,0,0,4,3,2,0,1,0,6,3,0,0,0,36,18,4,10,0,0,0.25,0.0,0.25,0.25,0.0,0.3,1.333
2020,1192,MEX,Mexico,162,CS,17,WIN,585251,Juan Carlos Gamboa,Juan,Gamboa,Juan Carlos,J Gamboa,SS/3B,5,11,10,2,0,0,0,2,0,0,1,1,1,2,2,0,0,0,0,0,2,5,5,0,0,0,9,0,0,0,2,29,14,1,9,1,1,0.2,0.091,0.2,0.291,0.0,0.222,0.4
2020,1192,MEX,Mexico,162,CS,17,WIN,453575,Jose Guadalupe Chavez,Jose,Chavez,Jose Guadalupe,J Chavez,2B/SS,6,24,22,4,0,0,0,0,0,1,1,0,5,4,3,1,0,0,1,0,8,5,3,2,0,0,9,3,0,0,1,91,42,9,17,1,0,0.182,0.083,0.182,0.265,0.0,0.235,1.6
2020,1192,MEX,Mexico,162,CS,17,WIN,519068,Efren Navarro,Efren,Navarro,Efren,E Navarro,1B,5,22,21,4,0,0,0,0,0,0,1,0,4,4,4,0,0,0,0,0,7,6,5,1,0,0,14,3,0,0,1,79,40,4,17,0,0,0.19,0.045,0.19,0.235,0.0,0.235,1.167
