season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_SO/PA,pitching_BB/PA,pitching_PI/IP
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,542429.0,Victor Beriguete,Victor,Beriguete,Victor,V Beriguete,P,0.0,1.0,0.0,108.108,135.135,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1,0.333,6.0,4.0,5.0,3.0,0.0,0.0,5.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,9.0,1.0,4.0,12.0,14.0,2.0,15.015,81.081,0.0,54.054,0.0,0.75,0.0,0.75,0.833,0.75,0.0,,4.333,0.0,0.0,0.333,78.078
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,592118.0,Zach Arneson,Zachary,Arneson,Zach,Z Arneson,P,0.0,0.0,,5.625,5.625,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,39.0,27.0,5.0,7.0,2.0,0.0,5.0,5.0,0.0,9.0,11.0,0.0,10.0,1.0,0.0,3.0,9.0,0.0,5.0,2.0,5.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,5.0,2.0,5.0,5.0,2.0,1.0,157.0,66.0,22.0,17.0,85.0,72.0,4.0,2.25,7.875,0.0,12.375,11.25,0.412,0.909,0.259,0.487,0.407,0.256,1.1,4.026,0.0,0.256,0.282,19.625
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,592709.0,Evan Rutckyj,Evan,Rutckyj,Evan,E Rutckyj,P,10.0,9.0,0.526,5.034,5.797,25.0,19.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,118.0,118.0,541.0,463.0,76.0,128.0,27.0,4.0,76.0,66.0,10.0,193.0,60.0,0.0,102.0,10.0,2.0,13.0,83.0,0.0,3.0,1.0,19.0,4.0,79.0,2.0,26.0,7.0,2.0,22.0,0.0,61.0,74.0,134.0,107.0,24.0,9.0,1494.0,789.0,225.0,369.0,938.0,556.0,22.0,1.593,9.763,0.763,4.576,7.78,0.338,1.7,0.276,0.37,0.505,0.189,0.588,2.762,0.018,0.189,0.111,12.661
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,585691.0,Luis Niebla,Luis,Niebla,Luis Alberto,L Niebla,P,5.0,6.0,0.455,4.612,5.738,18.0,12.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,80.0,80.0,354.0,321.0,51.0,99.0,30.0,0.0,51.0,41.0,9.0,156.0,20.0,0.0,60.0,7.0,1.0,8.0,55.0,0.0,1.0,0.0,4.0,1.0,35.0,4.0,9.0,5.0,0.0,23.0,0.0,46.0,39.0,93.0,75.0,20.0,16.0,1109.0,611.0,155.0,267.0,755.0,354.0,8.0,1.488,11.138,1.012,2.25,6.75,0.363,3.0,0.308,0.358,0.607,0.169,0.333,3.133,0.025,0.169,0.056,13.862
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,547176.0,Daniel Camarena,Daniel,Camarena,Daniel,D Camarena,P,4.0,6.0,0.4,4.42,5.384,25.0,21.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,112.0,112.0,465.0,435.0,67.0,109.0,25.0,5.0,67.0,55.0,11.0,177.0,19.0,0.0,83.0,4.0,1.0,4.0,59.0,0.0,2.0,0.0,8.0,5.0,66.0,3.0,16.0,11.0,8.0,31.0,0.0,48.0,83.0,112.0,138.0,34.0,21.0,1261.0,732.0,197.0,359.0,925.0,336.0,4.0,1.143,8.759,0.884,1.527,6.67,0.29,4.368,0.251,0.286,0.501,0.178,0.229,2.712,0.024,0.178,0.041,11.259
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,605154.0,John Brebbia,John,Brebbia,John,J Brebbia,P,0.0,2.0,0.0,4.135,4.622,18.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,37.0,37.0,155.0,147.0,19.0,40.0,7.0,5.0,19.0,17.0,2.0,63.0,4.0,0.0,29.0,1.0,0.0,1.0,17.0,0.0,6.0,1.0,0.0,0.0,15.0,1.0,7.0,2.0,0.0,7.0,0.0,17.0,24.0,43.0,38.0,8.0,6.0,421.0,251.0,76.0,121.0,309.0,112.0,1.0,1.189,9.73,0.486,0.973,7.054,0.33,7.25,0.272,0.294,0.524,0.187,0.138,2.716,0.013,0.187,0.026,11.378
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,622663.0,Luis Severino,Luis,Severino,Luis,L Severino,P,1.0,1.0,0.5,4.075,4.585,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,17.667,77.0,72.0,9.0,21.0,3.0,1.0,9.0,8.0,1.0,29.0,4.0,0.0,21.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,1.0,1.0,0.0,5.0,0.0,9.0,6.0,17.0,14.0,2.0,6.0,236.0,126.0,38.0,52.0,168.0,68.0,2.0,1.415,10.698,0.509,2.038,10.698,0.408,5.25,0.292,0.325,0.472,0.273,0.19,3.065,0.013,0.273,0.052,13.358
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,572021.0,James Pazos,James,Pazos,James,J Pazos,P,3.0,1.0,0.75,4.05,4.05,24.0,0.0,13.0,0.0,0.0,0.0,4.0,1.0,5.0,3.0,33.1,33.333,137.0,123.0,15.0,27.0,3.0,2.0,15.0,15.0,3.0,43.0,8.0,0.0,32.0,3.0,0.0,2.0,16.0,0.0,11.0,3.0,0.0,0.0,14.0,2.0,4.0,1.0,0.0,11.0,0.0,10.0,12.0,46.0,21.0,5.0,4.0,366.0,227.0,85.0,94.0,260.0,106.0,2.0,1.05,7.29,0.81,2.16,8.64,0.279,4.0,0.22,0.279,0.415,0.234,0.25,2.672,0.022,0.234,0.058,10.98
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,543789.0,Adam Smith,Adam,Smith,Adam,A Smith,P,5.0,2.0,0.714,4.021,4.979,27.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,201.0,171.0,26.0,41.0,8.0,2.0,26.0,21.0,4.0,65.0,21.0,0.0,39.0,1.0,0.0,4.0,27.0,0.0,10.0,7.0,2.0,2.0,26.0,5.0,4.0,2.0,4.0,9.0,0.0,23.0,31.0,51.0,48.0,13.0,4.0,592.0,309.0,95.0,140.0,368.0,224.0,7.0,1.319,7.851,0.766,4.021,7.468,0.301,1.857,0.24,0.318,0.462,0.194,0.538,2.945,0.02,0.194,0.104,12.596
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,643778.0,Tyler Webb,Jon,Webb,Tyler,T Webb,P,3.0,1.0,0.75,3.857,4.154,16.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,30.1,30.333,119.0,111.0,14.0,24.0,5.0,1.0,14.0,13.0,4.0,43.0,6.0,0.0,40.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,2.0,2.0,8.0,2.0,8.0,12.0,23.0,25.0,7.0,6.0,335.0,205.0,74.0,72.0,253.0,82.0,0.0,0.989,7.121,1.187,1.78,11.868,0.303,6.667,0.216,0.261,0.477,0.336,0.15,2.815,0.034,0.336,0.05,11.044
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,605516.0,Derek Varnadore,Derek,Varnadore,Derek,D Varnadore,P,2.0,7.0,0.222,3.771,4.827,32.0,3.0,14.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,59.2,59.667,259.0,230.0,32.0,59.0,12.0,2.0,32.0,25.0,4.0,87.0,19.0,0.0,45.0,6.0,2.0,4.0,42.0,0.0,9.0,1.0,4.0,1.0,23.0,0.0,8.0,1.0,0.0,13.0,1.0,29.0,29.0,72.0,58.0,15.0,14.0,721.0,388.0,94.0,189.0,483.0,238.0,5.0,1.307,8.899,0.603,2.866,6.788,0.304,2.368,0.257,0.329,0.457,0.174,0.422,2.784,0.015,0.174,0.073,12.084
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,571699.0,Brett Gerritse,Brett,Gerritse,Brett,B Gerritse,P,8.0,7.0,0.533,3.564,4.188,30.0,9.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,101.0,101.0,426.0,384.0,47.0,93.0,23.0,3.0,47.0,40.0,2.0,128.0,31.0,0.0,108.0,5.0,0.0,3.0,43.0,0.0,3.0,0.0,6.0,3.0,47.0,4.0,16.0,5.0,2.0,20.0,0.0,38.0,62.0,92.0,97.0,23.0,12.0,1285.0,700.0,224.0,282.0,881.0,404.0,10.0,1.228,8.287,0.178,2.762,9.624,0.337,3.484,0.242,0.304,0.406,0.254,0.287,3.016,0.005,0.254,0.073,12.723
2013.0,233.0,CSC,Charleston RiverDogs,116.0,SAL,14.0,A,553883.0,Vicente Campos,Jose,Campos,Vicente,V Campos,P,4.0,2.0,0.667,3.414,3.828,26.0,19.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,87.0,87.0,357.0,329.0,37.0,82.0,16.0,2.0,37.0,33.0,5.0,117.0,16.0,0.0,77.0,3.0,1.0,5.0,41.0,0.0,0.0,0.0,5.0,1.0,68.0,3.0,17.0,1.0,1.0,26.0,1.0,26.0,55.0,101.0,78.0,14.0,9.0,1042.0,604.0,158.0,261.0,755.0,287.0,4.0,1.126,8.483,0.517,1.655,7.966,0.316,4.812,0.249,0.288,0.426,0.216,0.208,2.919,0.014,0.216,0.045,11.977
