season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_SO/PA,pitching_BB/PA,pitching_PI/IP
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,519393.0,Marcus Walden,Marcus,Walden,Marcus,M Walden,P,0.0,1.0,0.0,12.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,16.0,13.0,5.0,7.0,1.0,0.0,5.0,4.0,0.0,8.0,3.0,0.0,2.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,63.0,24.0,4.0,11.0,32.0,31.0,0.0,3.333,21.0,0.0,9.0,6.0,0.636,0.667,0.538,0.625,0.692,0.125,1.5,3.938,0.0,0.125,0.188,21.0
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,607219.0,Sal Romano,Salvatore,Romano,Sal,S Romano,P,0.0,4.0,0.0,10.957,10.957,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,114.0,99.0,28.0,35.0,11.0,2.0,28.0,28.0,4.0,62.0,12.0,0.0,9.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,8.0,4.0,13.0,1.0,5.0,1.0,0.0,9.0,1.0,14.0,16.0,33.0,25.0,2.0,7.0,442.0,184.0,22.0,93.0,261.0,181.0,0.0,2.043,13.696,1.565,4.696,3.522,0.365,0.75,0.354,0.42,0.798,0.079,1.333,3.877,0.035,0.079,0.105,19.217
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,543023.0,Nick Christiani,Nicholas,Christiani,Nick,N Christiani,P,0.0,0.0,,7.714,7.714,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.2,4.667,26.0,21.0,4.0,8.0,3.0,0.0,4.0,4.0,0.0,11.0,4.0,0.0,5.0,1.0,0.0,1.0,5.0,0.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,7.0,1.0,0.0,0.0,95.0,37.0,8.0,16.0,54.0,41.0,0.0,2.571,15.427,0.0,7.714,9.642,0.5,1.25,0.381,0.5,0.667,0.192,0.8,3.654,0.0,0.192,0.154,20.356
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,502432.0,Blaine Howell,Blaine,Howell,Blaine,B Howell,P,1.0,2.0,0.333,6.48,7.02,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.2,16.667,73.0,63.0,13.0,17.0,1.0,2.0,13.0,12.0,3.0,31.0,7.0,0.0,11.0,1.0,1.0,1.0,7.0,0.0,2.0,1.0,7.0,4.0,7.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,9.0,20.0,17.0,3.0,5.0,284.0,118.0,21.0,54.0,169.0,115.0,0.0,1.44,9.18,1.62,3.78,5.94,0.292,1.571,0.27,0.347,0.587,0.151,0.636,3.89,0.041,0.151,0.096,17.04
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,621238.0,Ben Klimesh,Bennett,Klimesh,Ben,B Klimesh,P,0.0,1.0,0.0,6.158,6.632,19.0,0.0,10.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,19.0,19.0,88.0,68.0,14.0,16.0,2.0,1.0,14.0,13.0,2.0,26.0,15.0,0.0,21.0,2.0,0.0,1.0,9.0,0.0,3.0,1.0,9.0,2.0,1.0,3.0,7.0,0.0,1.0,2.0,0.0,8.0,9.0,18.0,16.0,3.0,4.0,326.0,129.0,42.0,50.0,174.0,152.0,9.0,1.632,7.579,0.947,7.105,9.947,0.333,1.4,0.235,0.375,0.456,0.239,0.714,3.705,0.023,0.239,0.17,17.158
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,592120.0,Barrett Astin,Barrett,Astin,Barrett,B Astin,P,4.0,6.0,0.4,5.635,5.87,14.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,76.2,76.667,337.0,293.0,50.0,85.0,21.0,5.0,50.0,48.0,9.0,143.0,39.0,0.0,61.0,2.0,0.0,11.0,51.0,0.0,0.0,0.0,11.0,4.0,56.0,1.0,5.0,1.0,1.0,14.0,0.0,39.0,29.0,93.0,57.0,13.0,15.0,1177.0,538.0,146.0,235.0,713.0,464.0,2.0,1.617,9.978,1.057,4.578,7.161,0.342,1.564,0.29,0.376,0.608,0.181,0.639,3.493,0.027,0.181,0.116,15.352
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,572090.0,Chad Rogers,Chad,Rogers,Chad,C Rogers,P,0.0,1.0,0.0,5.25,6.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,60.0,53.0,8.0,18.0,4.0,0.0,8.0,7.0,2.0,28.0,6.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,8.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,8.0,7.0,18.0,5.0,5.0,212.0,96.0,20.0,43.0,137.0,75.0,1.0,2.0,13.5,1.5,4.5,8.25,0.4,1.833,0.34,0.407,0.642,0.183,0.545,3.533,0.033,0.183,0.1,17.667
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,593974.0,Wandy Peralta,Wandy,Peralta,Wandy,W Peralta,P,7.0,7.0,0.5,5.091,5.709,29.0,20.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,116.2,116.667,524.0,448.0,74.0,129.0,22.0,6.0,74.0,66.0,7.0,184.0,60.0,0.0,80.0,7.0,1.0,21.0,92.0,0.0,5.0,1.0,11.0,2.0,47.0,4.0,2.0,2.0,1.0,18.0,0.0,61.0,63.0,135.0,113.0,25.0,25.0,1932.0,879.0,210.0,377.0,1176.0,756.0,8.0,1.62,9.951,0.54,4.629,6.171,0.342,1.333,0.288,0.378,0.489,0.153,0.75,3.687,0.013,0.153,0.115,16.56
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,592139.0,Joel Bender,Joel,Bender,Joel,J Bender,P,0.0,0.0,,4.909,4.909,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.1,18.333,84.0,66.0,10.0,20.0,2.0,2.0,10.0,10.0,1.0,29.0,12.0,1.0,16.0,3.0,1.0,3.0,13.0,0.0,6.0,4.0,9.0,3.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,7.0,23.0,10.0,0.0,3.0,293.0,118.0,32.0,53.0,168.0,125.0,1.0,1.745,9.818,0.491,5.891,7.855,0.396,1.333,0.303,0.427,0.515,0.19,0.75,3.488,0.012,0.19,0.143,15.982
2015.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,571819.0,Jacob Johnson,Harold,Johnson,Jacob,J Johnson,P,5.0,2.0,0.714,4.751,4.983,33.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,77.2,77.667,345.0,312.0,43.0,89.0,15.0,3.0,43.0,41.0,8.0,134.0,28.0,1.0,47.0,3.0,0.0,9.0,57.0,0.0,24.0,8.0,12.0,4.0,44.0,1.0,5.0,0.0,0.0,15.0,0.0,51.0,45.0,100.0,78.0,17.0,16.0,1184.0,591.0,124.0,267.0,769.0,415.0,4.0,1.506,10.313,0.927,3.245,5.446,0.316,1.679,0.285,0.349,0.513,0.136,0.596,3.432,0.023,0.136,0.081,15.245
