season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_SO/PA,pitching_BB/PA,pitching_PI/IP
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,664177.0,Anthony Ciavarella,Anthony,Ciavarella,Anthony,A Ciavarella,P,0.0,1.0,0.0,8.437,8.437,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.667,59.0,45.0,10.0,17.0,6.0,1.0,10.0,10.0,1.0,28.0,11.0,0.0,13.0,2.0,0.0,1.0,12.0,0.0,2.0,2.0,8.0,0.0,6.0,1.0,2.0,1.0,0.0,5.0,0.0,8.0,5.0,6.0,10.0,2.0,3.0,230.0,91.0,21.0,33.0,129.0,101.0,1.0,2.625,14.343,0.844,9.281,10.968,0.533,1.182,0.378,0.508,0.8,0.22,0.846,3.898,0.017,0.22,0.186,21.562
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,670322.0,Robert Calvano,Robert,Calvano,Robert,R Calvano,P,0.0,0.0,,6.75,6.75,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.333,29.0,23.0,4.0,8.0,2.0,0.0,4.0,4.0,0.0,10.0,4.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,6.0,6.0,3.0,0.0,119.0,52.0,9.0,20.0,68.0,51.0,1.0,2.25,13.501,0.0,6.75,5.063,0.4,0.75,0.348,0.483,0.522,0.103,1.333,4.103,0.0,0.103,0.138,22.314
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,676817.0,Paul Balestrieri,Paul,Balestrieri,Paul,P Balestrieri,P,3.0,4.0,0.429,6.494,7.861,14.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.2,52.667,254.0,217.0,46.0,68.0,8.0,4.0,46.0,38.0,1.0,87.0,28.0,0.0,40.0,7.0,0.0,10.0,47.0,0.0,0.0,0.0,15.0,5.0,46.0,0.0,3.0,2.0,0.0,5.0,0.0,35.0,23.0,76.0,35.0,6.0,6.0,910.0,391.0,83.0,179.0,534.0,376.0,4.0,1.823,11.62,0.171,4.785,6.835,0.381,1.429,0.313,0.409,0.461,0.157,0.7,3.583,0.004,0.157,0.11,17.278
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,641562.0,Steven Farinaro,Steven,Farinaro,Steven,S Farinaro,P,2.0,1.0,0.667,4.93,6.104,18.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,38.1,38.333,177.0,148.0,26.0,38.0,6.0,3.0,26.0,21.0,3.0,59.0,25.0,1.0,25.0,3.0,1.0,6.0,26.0,0.0,13.0,4.0,11.0,5.0,31.0,1.0,8.0,1.0,0.0,8.0,0.0,19.0,24.0,48.0,38.0,6.0,8.0,604.0,277.0,64.0,124.0,364.0,240.0,2.0,1.643,8.922,0.704,5.87,5.87,0.294,1.0,0.257,0.373,0.48,0.141,1.0,3.412,0.017,0.141,0.141,15.757
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,659259.0,Jason Zgardowski,Jason,Zgardowski,Jason,J Zgardowski,P,0.0,2.0,0.0,4.61,5.268,11.0,0.0,6.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,13.2,13.667,61.0,55.0,8.0,15.0,3.0,0.0,8.0,7.0,1.0,21.0,2.0,0.0,11.0,3.0,0.0,0.0,6.0,0.0,5.0,1.0,4.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,10.0,11.0,15.0,15.0,1.0,3.0,185.0,97.0,25.0,45.0,119.0,66.0,5.0,1.244,9.878,0.659,1.317,7.244,0.333,5.5,0.273,0.328,0.455,0.18,0.182,3.033,0.016,0.18,0.033,13.536
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,670912.0,Johan Oviedo,Johan,Oviedo,Johan,J Oviedo,P,2.0,2.0,0.5,4.563,5.704,8.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.1,47.333,208.0,186.0,30.0,53.0,8.0,2.0,30.0,24.0,3.0,74.0,18.0,0.0,39.0,1.0,1.0,4.0,29.0,0.0,0.0,0.0,7.0,4.0,22.0,2.0,4.0,2.0,1.0,8.0,0.0,24.0,24.0,66.0,31.0,2.0,5.0,687.0,318.0,71.0,150.0,423.0,264.0,6.0,1.5,10.078,0.57,3.423,7.416,0.352,2.167,0.285,0.348,0.468,0.188,0.462,3.303,0.014,0.188,0.087,14.514
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,670344.0,Jonathon Mulford,Jonathon,Mulford,Jonathon,J Mulford,P,2.0,5.0,0.286,3.945,4.932,15.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,339.0,284.0,40.0,87.0,22.0,6.0,40.0,32.0,4.0,133.0,45.0,3.0,61.0,5.0,0.0,7.0,43.0,0.0,0.0,0.0,15.0,1.0,26.0,3.0,12.0,7.0,0.0,20.0,0.0,33.0,50.0,64.0,77.0,9.0,18.0,1294.0,533.0,114.0,228.0,752.0,542.0,7.0,1.808,10.726,0.493,5.548,7.521,0.384,1.356,0.306,0.407,0.581,0.18,0.738,3.817,0.012,0.18,0.133,17.726
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,642135.0,Sam Tewes,Samuel,Tewes,Sam,S Tewes,P,3.0,3.0,0.5,3.827,5.315,7.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,42.1,42.333,184.0,170.0,25.0,51.0,7.0,1.0,25.0,18.0,3.0,69.0,9.0,0.0,31.0,2.0,0.0,4.0,38.0,0.0,0.0,0.0,8.0,3.0,25.0,3.0,2.0,1.0,0.0,11.0,0.0,17.0,25.0,48.0,43.0,8.0,10.0,586.0,314.0,69.0,142.0,397.0,189.0,2.0,1.417,10.843,0.638,1.913,6.591,0.361,3.444,0.3,0.337,0.471,0.168,0.29,3.185,0.016,0.168,0.049,13.843
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,670651.0,Anthony Shew,Anthony,Shew,Anthony,A Shew,P,2.0,2.0,0.5,3.375,3.375,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,91.0,88.0,9.0,20.0,5.0,0.0,9.0,9.0,1.0,28.0,2.0,0.0,27.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,1.0,5.0,1.0,4.0,0.0,10.0,10.0,21.0,20.0,6.0,4.0,330.0,170.0,50.0,61.0,224.0,106.0,1.0,0.917,7.5,0.375,0.75,10.125,0.317,13.5,0.227,0.253,0.386,0.297,0.074,3.626,0.011,0.297,0.022,13.75
2017.0,1174.0,SC,State College Spikes,127.0,NYP,15.0,A-,670331.0,Robbie Gordon,Robert,Gordon,Robbie,R Gordon,P,1.0,6.0,0.143,2.856,3.894,20.0,0.0,11.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,34.2,34.667,148.0,127.0,15.0,26.0,8.0,2.0,15.0,11.0,2.0,44.0,15.0,2.0,47.0,4.0,0.0,2.0,16.0,0.0,16.0,4.0,5.0,0.0,6.0,1.0,2.0,0.0,0.0,7.0,0.0,16.0,23.0,25.0,31.0,6.0,2.0,549.0,266.0,79.0,82.0,349.0,200.0,4.0,1.183,6.75,0.519,3.894,12.202,0.312,3.133,0.205,0.306,0.441,0.318,0.319,3.709,0.014,0.318,0.101,15.836
