season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_SO/PA,pitching_BB/PA,pitching_PI/IP
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,684485.0,Benjamin Arias,Benjamin,Arias,Benjamin,B Arias,P,0.0,1.0,0.0,10.801,10.801,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.1,3.333,18.0,14.0,4.0,4.0,1.0,0.0,4.0,4.0,0.0,5.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,4.0,0.0,34.0,20.0,9.0,11.0,21.0,13.0,0.0,2.1,10.801,0.0,8.101,8.101,0.364,1.0,0.286,0.444,0.429,0.167,1.0,1.889,0.0,0.167,0.167,10.201
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,684239.0,Jesus Jaquez,Jesus,Jaquez,Jesus,J Jaquez,P,0.0,0.0,,8.837,10.8,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,18.333,93.0,78.0,22.0,24.0,4.0,1.0,22.0,18.0,3.0,39.0,11.0,0.0,11.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,3.0,0.0,0.0,5.0,0.0,12.0,12.0,0.0,23.0,7.0,4.0,151.0,99.0,30.0,69.0,104.0,47.0,3.0,1.909,11.782,1.473,5.4,5.4,0.339,1.0,0.308,0.398,0.603,0.118,1.0,1.624,0.032,0.118,0.118,8.237
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,684041.0,Diorys Guerrero,Diorys,Guerrero,Diorys,D Guerrero,P,0.0,3.0,0.0,6.509,7.714,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,37.333,176.0,150.0,32.0,40.0,7.0,3.0,32.0,27.0,0.0,53.0,21.0,0.0,36.0,4.0,3.0,1.0,19.0,0.0,0.0,0.0,0.0,3.0,25.0,1.0,12.0,5.0,2.0,4.0,0.0,25.0,19.0,0.0,36.0,12.0,5.0,336.0,227.0,112.0,115.0,231.0,105.0,18.0,1.634,9.643,0.0,5.063,8.679,0.354,1.714,0.267,0.369,0.42,0.205,0.583,1.909,0.0,0.205,0.119,9.0
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,682901.0,Ramon Fernandez,Ramon,Fernandez,Ramon,R Fernandez,P,3.0,3.0,0.5,6.067,8.494,19.0,0.0,11.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,29.2,29.667,141.0,114.0,28.0,31.0,3.0,1.0,28.0,20.0,2.0,42.0,21.0,0.0,25.0,2.0,2.0,2.0,26.0,0.0,0.0,0.0,2.0,3.0,20.0,3.0,6.0,3.0,0.0,5.0,0.0,18.0,20.0,4.0,30.0,7.0,3.0,265.0,169.0,76.0,93.0,171.0,94.0,8.0,1.753,9.404,0.607,6.371,7.584,0.345,1.19,0.272,0.386,0.421,0.177,0.84,1.879,0.014,0.177,0.149,8.932
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,691322.0,Hansel Marcelino,Hansel,Marcelino,Hansel,H Marcelino,P,0.0,0.0,,6.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,9.0,53.0,38.0,7.0,11.0,3.0,0.0,7.0,6.0,1.0,17.0,11.0,0.0,8.0,3.0,2.0,0.0,7.0,0.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0,10.0,1.0,14.0,3.0,1.0,104.0,50.0,19.0,31.0,55.0,49.0,5.0,2.444,11.0,1.0,11.0,8.0,0.357,0.727,0.289,0.472,0.553,0.151,1.375,1.962,0.019,0.151,0.208,11.556
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,678904.0,Miguel Yedis,Miguel,Yedis,Miguel,M Yedis,P,2.0,3.0,0.4,6.0,7.909,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,33.0,154.0,126.0,29.0,37.0,6.0,2.0,29.0,22.0,1.0,50.0,18.0,0.0,18.0,7.0,1.0,2.0,25.0,0.0,0.0,3.0,0.0,1.0,20.0,3.0,10.0,3.0,1.0,5.0,1.0,21.0,28.0,0.0,53.0,19.0,6.0,262.0,167.0,56.0,111.0,171.0,91.0,10.0,1.667,10.091,0.273,4.909,4.909,0.346,1.0,0.294,0.403,0.468,0.117,1.0,1.701,0.006,0.117,0.117,7.939
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,680601.0,Augusto Calderon,Augusto,Calderon,Augusto,A Calderon,P,4.0,4.0,0.5,5.538,7.269,18.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,26.0,26.0,126.0,99.0,21.0,24.0,3.0,2.0,21.0,16.0,1.0,34.0,19.0,1.0,34.0,6.0,1.0,1.0,11.0,0.0,3.0,5.0,0.0,2.0,21.0,2.0,13.0,1.0,0.0,4.0,0.0,15.0,12.0,1.0,23.0,8.0,3.0,263.0,165.0,98.0,67.0,173.0,90.0,12.0,1.654,8.308,0.346,6.577,11.769,0.371,1.789,0.242,0.389,0.404,0.27,0.559,2.087,0.008,0.27,0.151,10.115
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,683851.0,Oliver Lopez,Oliver,Lopez,Oliver,O Lopez,P,2.0,2.0,0.5,5.464,8.679,18.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,28.0,28.0,133.0,102.0,27.0,30.0,4.0,0.0,27.0,17.0,3.0,43.0,25.0,1.0,13.0,3.0,0.0,5.0,21.0,0.0,0.0,5.0,3.0,3.0,21.0,3.0,9.0,2.0,0.0,9.0,0.0,11.0,19.0,0.0,32.0,9.0,4.0,243.0,133.0,40.0,92.0,135.0,108.0,8.0,1.964,9.643,0.964,8.036,4.179,0.325,0.52,0.294,0.436,0.49,0.098,1.923,1.827,0.023,0.098,0.188,8.679
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,681648.0,Miguel Maiz,Miguel,Maiz,Miguel,M Maiz,P,1.0,2.0,0.333,5.4,5.4,10.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,15.0,68.0,58.0,9.0,16.0,2.0,0.0,9.0,9.0,1.0,21.0,8.0,0.0,13.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,11.0,14.0,0.0,23.0,5.0,4.0,121.0,84.0,38.0,46.0,86.0,35.0,1.0,1.6,9.6,0.6,4.8,7.8,0.349,1.625,0.276,0.368,0.414,0.191,0.615,1.779,0.015,0.191,0.118,8.067
2019.0,2097.0,DSL CARR,DSL Cardinals Red,130.0,DSL,16.0,RK,686736.0,Hemerson Cordero,Hemerson,Cordero,Hemerson,H Cordero,P,2.0,1.0,0.667,5.116,6.253,18.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,31.2,31.667,150.0,125.0,22.0,34.0,3.0,0.0,22.0,18.0,5.0,52.0,20.0,1.0,26.0,2.0,0.0,2.0,21.0,0.0,3.0,2.0,0.0,3.0,40.0,0.0,5.0,2.0,2.0,11.0,0.0,16.0,20.0,7.0,42.0,18.0,4.0,266.0,178.0,76.0,102.0,184.0,82.0,3.0,1.705,9.663,1.421,5.684,7.389,0.309,1.3,0.272,0.381,0.48,0.173,0.769,1.773,0.033,0.173,0.133,8.4
