season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_SO/PA,pitching_BB/PA,pitching_PI/IP
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,678921.0,Raul Alcantara,Raul,Alcantara,Raul,R Alcantara,P,0.0,0.0,,27.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,6.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,41.0,17.0,5.0,5.0,25.0,16.0,0.0,5.0,27.0,0.0,18.0,9.0,0.6,0.5,0.5,0.625,1.0,0.125,2.0,5.125,0.0,0.125,0.25,41.0
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,676803.0,Connor Hoover,Connor,Hoover,Connor,C Hoover,1B,0.0,0.0,,18.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,13.0,4.0,8.0,0.0,1.0,4.0,4.0,3.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,36.0,24.0,2.0,13.0,30.0,6.0,0.0,4.0,36.0,13.5,0.0,4.5,0.556,,0.615,0.615,1.769,0.071,0.0,2.571,0.214,0.071,0.0,18.0
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,678620.0,Blake Townsend,Blake,Townsend,Blake,B Townsend,P,0.0,1.0,0.0,16.197,16.197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.667,11.0,6.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,3.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,14.0,6.0,2.0,27.0,26.0,1.0,2.4,10.798,0.0,10.798,21.596,1.0,2.0,0.333,0.636,0.667,0.364,0.5,4.818,0.0,0.364,0.182,31.794
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,686802.0,Michael Limoncelli,Michael,Limoncelli,Michael,M Limoncelli,P,0.0,2.0,0.0,10.801,13.501,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.333,19.0,14.0,5.0,5.0,2.0,0.0,5.0,4.0,0.0,7.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,7.0,1.0,1.0,89.0,34.0,7.0,14.0,47.0,42.0,2.0,2.7,13.501,0.0,10.801,2.7,0.417,0.25,0.357,0.474,0.643,0.053,4.0,4.684,0.0,0.053,0.211,26.703
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,688230.0,Peyton Alford,Peyton,Alford,Peyton,P Alford,P,2.0,1.0,0.667,9.257,10.028,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.2,11.667,57.0,50.0,13.0,18.0,2.0,1.0,13.0,12.0,6.0,40.0,4.0,0.0,18.0,1.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,11.0,1.0,1.0,0.0,1.0,5.0,0.0,7.0,7.0,5.0,11.0,2.0,2.0,226.0,115.0,42.0,34.0,144.0,82.0,0.0,1.886,13.885,4.628,3.086,13.885,0.48,4.5,0.36,0.411,0.98,0.316,0.222,3.965,0.105,0.316,0.07,19.371
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,681391.0,Holden Laws,Holden,Laws,Holden,H Laws,P,1.0,0.0,1.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,10.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,45.0,22.0,2.0,8.0,29.0,16.0,0.0,1.5,13.5,4.5,0.0,9.0,0.286,,0.3,0.3,0.9,0.2,0.0,4.5,0.1,0.2,0.0,22.5
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,679933.0,Igor Januario,Igor,Januario,Igor,I Januario,P,0.0,3.0,0.0,7.794,11.412,29.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,32.1,32.333,164.0,134.0,41.0,41.0,8.0,0.0,41.0,28.0,1.0,52.0,25.0,0.0,28.0,5.0,1.0,2.0,23.0,0.0,13.0,4.0,22.0,14.0,16.0,0.0,11.0,2.0,0.0,3.0,0.0,21.0,16.0,34.0,31.0,7.0,8.0,676.0,304.0,76.0,106.0,411.0,265.0,4.0,2.041,11.412,0.278,6.959,7.794,0.381,1.12,0.306,0.433,0.455,0.171,0.893,4.122,0.006,0.171,0.152,20.907
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,669651.0,Tim Elliott,Timothy,Elliott,Tim,T Elliott,P,5.0,4.0,0.556,6.777,7.543,19.0,10.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,82.1,82.333,386.0,336.0,69.0,93.0,18.0,2.0,69.0,62.0,20.0,175.0,42.0,0.0,90.0,5.0,1.0,3.0,44.0,0.0,0.0,0.0,12.0,3.0,69.0,3.0,7.0,1.0,0.0,31.0,1.0,37.0,48.0,77.0,79.0,16.0,15.0,1453.0,689.0,190.0,249.0,904.0,549.0,11.0,1.64,10.166,2.186,4.591,9.838,0.327,2.143,0.277,0.363,0.64,0.233,0.467,3.764,0.052,0.233,0.109,17.648
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,686593.0,Tyler Driver,Tyler,Driver,Tyler,T Driver,P,3.0,4.0,0.429,6.75,8.1,11.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,26.2,26.667,129.0,101.0,24.0,28.0,6.0,1.0,24.0,20.0,3.0,45.0,16.0,0.0,26.0,8.0,2.0,2.0,16.0,0.0,4.0,1.0,6.0,2.0,22.0,4.0,8.0,2.0,0.0,6.0,0.0,12.0,15.0,22.0,29.0,7.0,7.0,508.0,230.0,62.0,79.0,298.0,210.0,6.0,1.65,9.45,1.012,5.4,8.775,0.368,1.625,0.277,0.403,0.545,0.202,0.615,3.938,0.023,0.202,0.124,19.05
2021.0,403.0,EVE,Everett AquaSox,126.0,A+ W,13.0,A+,689852.0,Bernie Martinez,Bernie,Martinez,Bernie,B Martinez,P,4.0,2.0,0.667,6.703,7.262,25.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.1,48.333,220.0,189.0,39.0,54.0,8.0,1.0,39.0,36.0,13.0,103.0,21.0,0.0,44.0,6.0,0.0,3.0,31.0,0.0,17.0,4.0,9.0,5.0,50.0,4.0,12.0,3.0,2.0,18.0,1.0,21.0,33.0,41.0,54.0,9.0,12.0,812.0,384.0,98.0,149.0,520.0,292.0,3.0,1.552,10.055,2.421,3.91,8.193,0.32,2.095,0.286,0.368,0.661,0.2,0.477,3.691,0.059,0.2,0.095,16.8
