season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_SO/PA,pitching_BB/PA,pitching_PI/IP
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,657027.0,Nick Tanielu,Nicklaus,Tanielu,Nick,N Tanielu,3B,0.0,0.0,,13.501,21.602,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.333,21.0,16.0,8.0,7.0,3.0,0.0,8.0,5.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,62.0,32.0,2.0,17.0,37.0,25.0,0.0,3.0,18.902,0.0,8.101,0.0,0.467,0.0,0.438,0.524,0.812,0.0,,2.952,0.0,0.0,0.143,18.602
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,670401.0,Tyree Thompson,Tyree,Thompson,Tyree,T Thompson,P,0.0,0.0,,13.493,40.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.667,7.0,5.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,11.0,4.0,3.0,15.0,13.0,0.0,5.997,26.987,13.493,26.987,26.987,0.5,1.0,0.4,0.571,1.2,0.286,1.0,4.0,0.143,0.286,0.286,41.979
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,676644.0,Stephen Villines,Stephen,Villines,Stephen,S Villines,P,0.0,0.0,,12.375,14.625,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,42.0,35.0,13.0,12.0,2.0,2.0,13.0,11.0,4.0,30.0,6.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,6.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,12.0,4.0,19.0,4.0,3.0,166.0,66.0,9.0,35.0,93.0,73.0,1.0,2.25,13.5,4.5,6.75,1.125,0.276,0.167,0.343,0.429,1.086,0.024,6.0,3.952,0.095,0.024,0.143,20.75
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,642271.0,Fernery Ozuna,Fernery,Ozuna,Fernery,F Ozuna,P,1.0,0.0,1.0,9.311,9.311,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,19.1,19.333,93.0,75.0,20.0,25.0,7.0,0.0,20.0,20.0,2.0,38.0,13.0,0.0,23.0,3.0,0.0,4.0,21.0,0.0,8.0,4.0,4.0,2.0,11.0,1.0,4.0,2.0,1.0,8.0,1.0,7.0,4.0,18.0,11.0,5.0,2.0,363.0,166.0,53.0,54.0,223.0,140.0,1.0,1.966,11.638,0.931,6.052,10.707,0.469,1.769,0.333,0.446,0.627,0.247,0.565,3.903,0.022,0.247,0.14,18.776
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,572070.0,Garrett Richards,Garrett,Richards,Garrett,G Richards,P,1.0,0.0,1.0,9.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,26.0,15.0,5.0,5.0,18.0,8.0,0.0,3.0,27.0,0.0,0.0,9.0,0.6,,0.5,0.5,0.5,0.167,0.0,4.333,0.0,0.167,0.0,26.0
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,641416.0,Hever Bueno,Hever,Bueno,Hever,H Bueno,P,3.0,1.0,0.75,7.816,9.237,30.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,38.0,38.0,187.0,150.0,39.0,41.0,9.0,4.0,39.0,33.0,7.0,79.0,30.0,0.0,54.0,2.0,0.0,1.0,24.0,0.0,17.0,4.0,16.0,4.0,18.0,4.0,13.0,1.0,0.0,12.0,0.0,19.0,23.0,25.0,35.0,3.0,9.0,775.0,318.0,111.0,101.0,452.0,323.0,6.0,1.868,9.711,1.658,7.105,12.789,0.4,1.8,0.273,0.392,0.66,0.289,0.556,4.144,0.037,0.289,0.16,20.395
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,667463.0,John King,John,King,John,J King,P,2.0,1.0,0.667,7.269,8.308,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,17.1,17.333,80.0,71.0,16.0,20.0,2.0,0.0,16.0,14.0,5.0,37.0,7.0,0.0,18.0,1.0,1.0,0.0,15.0,0.0,4.0,3.0,2.0,0.0,19.0,1.0,1.0,0.0,0.0,5.0,0.0,7.0,5.0,23.0,11.0,2.0,4.0,311.0,139.0,29.0,54.0,198.0,113.0,2.0,1.558,10.385,2.596,3.635,9.346,0.319,2.571,0.282,0.35,0.62,0.225,0.389,3.888,0.062,0.225,0.088,17.943
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,669618.0,Joe Barlow,Joseph,Barlow,Joe,J Barlow,P,0.0,0.0,,6.752,6.752,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.333,7.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,34.0,16.0,5.0,4.0,21.0,13.0,0.0,2.251,13.503,0.0,6.752,13.503,1.0,2.0,0.4,0.429,1.0,0.286,0.5,4.857,0.0,0.286,0.143,25.506
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,676699.0,Seth Nordlin,Seth,Nordlin,Seth,S Nordlin,P,0.0,0.0,,6.75,6.75,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,20.0,16.0,3.0,6.0,1.0,1.0,3.0,3.0,0.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,6.0,1.0,2.0,75.0,38.0,5.0,15.0,50.0,25.0,0.0,2.0,13.5,0.0,4.5,6.75,0.545,1.5,0.375,0.4,0.688,0.15,0.667,3.75,0.0,0.15,0.1,18.75
2022.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,668390.0,Cole Winn,Cole,Winn,Cole,C Winn,P,9.0,8.0,0.529,6.51,6.953,28.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,121.2,121.667,573.0,471.0,94.0,125.0,34.0,2.0,94.0,88.0,13.0,202.0,87.0,0.0,123.0,5.0,0.0,10.0,98.0,1.0,0.0,0.0,21.0,5.0,108.0,9.0,16.0,3.0,0.0,22.0,1.0,61.0,83.0,102.0,130.0,20.0,27.0,2263.0,995.0,271.0,357.0,1336.0,927.0,12.0,1.742,9.247,0.962,6.436,9.099,0.344,1.414,0.265,0.379,0.533,0.215,0.707,3.949,0.023,0.215,0.152,18.6
