season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_BB/PA,pitching_PI/IP
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,676249.0,Adisyn Coffey,Adisyn,Coffey,Adisyn,A Coffey,P,0.0,2.0,0.0,24.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,6.0,39.0,28.0,16.0,10.0,2.0,0.0,16.0,16.0,1.0,15.0,11.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,5.0,7.0,0.0,8.0,0.0,0.0,1.0,0.0,5.0,5.0,4.0,6.0,0.0,1.0,153.0,57.0,18.0,20.0,74.0,79.0,0.0,3.5,15.0,1.5,16.5,12.0,0.474,0.727,0.357,0.538,0.643,0.205,1.375,3.923,0.026,0.282,25.5
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,676508.0,Ben Casparius,Benjamin,Casparius,Ben,B Casparius,P,0.0,2.0,0.0,10.432,10.432,8.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,14.2,14.667,69.0,57.0,17.0,17.0,3.0,1.0,17.0,17.0,5.0,37.0,9.0,0.0,20.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,5.0,1.0,0.0,6.0,0.0,7.0,12.0,6.0,16.0,3.0,1.0,280.0,130.0,34.0,39.0,177.0,103.0,0.0,1.773,10.432,3.068,5.523,12.272,0.4,2.222,0.298,0.391,0.807,0.29,0.45,4.058,0.072,0.13,19.09
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,814300.0,Josimar Cousin,Josimar,Cousin,Josimar,J Cousin,P,0.0,2.0,0.0,8.617,9.191,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.2,15.667,75.0,69.0,16.0,25.0,1.0,1.0,16.0,15.0,6.0,46.0,5.0,0.0,12.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,6.0,1.0,0.0,6.0,0.0,9.0,8.0,15.0,18.0,5.0,5.0,285.0,144.0,28.0,58.0,182.0,103.0,1.0,1.915,14.361,3.447,2.872,6.893,0.38,2.4,0.362,0.4,0.783,0.16,0.417,3.8,0.08,0.067,18.191
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,703105.0,Malik Barrington,Malik,Barrington,Malik,M Barrington,P,0.0,0.0,,8.527,9.948,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.1,6.333,30.0,23.0,7.0,3.0,1.0,0.0,7.0,6.0,1.0,7.0,7.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,7.0,2.0,0.0,138.0,49.0,22.0,13.0,69.0,69.0,1.0,1.579,4.263,1.421,9.948,14.211,0.167,1.429,0.13,0.333,0.391,0.333,0.7,4.6,0.033,0.233,21.791
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,805998.0,Ben Ethridge,Benjamin,Ethridge,Ben,B Ethridge,P,1.0,0.0,1.0,8.1,8.1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.667,32.0,28.0,6.0,7.0,3.0,0.0,6.0,6.0,1.0,13.0,2.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,8.0,5.0,12.0,3.0,1.0,120.0,45.0,8.0,24.0,65.0,55.0,0.0,1.35,9.45,1.35,2.7,5.4,0.261,2.0,0.25,0.344,0.607,0.125,0.5,3.75,0.031,0.062,17.999
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,667356.0,Bryan Mata,Bryan,Mata,Bryan,B Mata,P,0.0,1.0,0.0,8.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,9.0,42.0,36.0,9.0,11.0,3.0,0.0,9.0,8.0,0.0,14.0,2.0,0.0,11.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,6.0,9.0,7.0,1.0,0.0,158.0,80.0,22.0,27.0,99.0,59.0,2.0,1.444,11.0,0.0,2.0,11.0,0.478,5.5,0.306,0.357,0.472,0.262,0.182,3.762,0.0,0.048,17.556
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,678743.0,Felix Cepeda,Felix,Cepeda,Felix,F Cepeda,P,1.0,1.0,0.5,6.75,9.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,8.0,36.0,32.0,8.0,11.0,1.0,0.0,8.0,6.0,0.0,12.0,3.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,4.0,8.0,8.0,0.0,4.0,128.0,59.0,17.0,27.0,80.0,48.0,2.0,1.75,12.375,0.0,3.375,6.75,0.44,2.0,0.344,0.389,0.406,0.167,0.5,3.556,0.0,0.083,16.0
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,682132.0,Brendan Hardy,Brendan,Hardy,Brendan,B Hardy,P,0.0,1.0,0.0,6.353,6.353,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.667,30.0,23.0,4.0,5.0,1.0,1.0,4.0,4.0,1.0,11.0,5.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,6.0,1.0,1.0,143.0,61.0,18.0,19.0,81.0,62.0,1.0,1.765,7.941,1.588,7.941,6.353,0.222,0.8,0.217,0.4,0.609,0.133,1.25,4.767,0.033,0.167,25.234
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,671220.0,Christopher Troye,Christopher,Troye,Christopher,C Troye,P,0.0,0.0,,6.231,6.231,8.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,8.2,8.667,42.0,36.0,6.0,10.0,3.0,0.0,6.0,6.0,1.0,16.0,6.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,5.0,10.0,2.0,4.0,172.0,73.0,22.0,25.0,103.0,69.0,1.0,1.846,10.384,1.038,6.231,11.423,0.375,1.833,0.278,0.381,0.556,0.262,0.545,4.095,0.024,0.143,19.845
2023.0,454.0,GDD,Glendale Desert Dogs,119.0,AFL,17.0,WIN,671109.0,Jake Eder,Jacob,Eder,Jake,J Eder,P,1.0,1.0,0.5,6.113,6.113,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,17.667,83.0,68.0,12.0,18.0,4.0,0.0,12.0,12.0,2.0,28.0,15.0,0.0,16.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,9.0,1.0,0.0,5.0,0.0,9.0,12.0,19.0,15.0,2.0,1.0,323.0,148.0,40.0,52.0,191.0,132.0,4.0,1.868,9.17,1.019,7.641,8.151,0.32,1.067,0.265,0.398,0.5,0.193,0.938,3.892,0.024,0.181,18.283
