season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_BB/PA,pitching_PI/IP
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,821182.0,Dalvin Bodre,Dalvin,Bodre,Dalvin,D Bodre,P,1.0,1.0,0.5,14.211,15.632,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.333,37.0,29.0,11.0,11.0,3.0,0.0,11.0,10.0,0.0,14.0,4.0,0.0,8.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,5.0,3.0,1.0,73.0,47.0,24.0,23.0,48.0,25.0,2.0,2.369,15.632,0.0,5.685,11.369,0.55,2.0,0.379,0.472,0.586,0.216,0.5,1.973,0.0,0.108,11.527
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,823650.0,Miqueas Mercedes,Miqueas,Mercedes,Miqueas,M Mercedes,P,0.0,0.0,,10.126,10.126,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.333,25.0,21.0,6.0,5.0,3.0,0.0,6.0,6.0,1.0,11.0,2.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,7.0,4.0,2.0,44.0,32.0,17.0,15.0,33.0,11.0,1.0,1.313,8.438,1.688,3.375,10.126,0.286,3.0,0.238,0.36,0.714,0.24,0.333,1.76,0.04,0.08,8.251
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,821177.0,Jean Rodriguez,Jean,Rodriguez,Jean,J Rodriguez,P,0.0,3.0,0.0,8.196,9.643,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,18.667,94.0,70.0,20.0,20.0,5.0,2.0,20.0,17.0,1.0,32.0,14.0,0.0,14.0,6.0,2.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,19.0,3.0,4.0,3.0,0.0,4.0,0.0,9.0,11.0,20.0,20.0,8.0,1.0,180.0,98.0,38.0,60.0,103.0,77.0,7.0,1.821,9.643,0.482,6.75,6.75,0.365,1.0,0.286,0.43,0.571,0.149,1.0,1.915,0.011,0.149,9.643
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,821125.0,Josue Toledo,Josue,Toledo,Josue,J Toledo,P,2.0,1.0,0.667,6.882,8.206,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,158.0,136.0,31.0,38.0,13.0,1.0,31.0,26.0,5.0,68.0,17.0,0.0,25.0,3.0,0.0,4.0,20.0,0.0,0.0,0.0,4.0,1.0,27.0,1.0,8.0,2.0,2.0,16.0,0.0,14.0,25.0,35.0,40.0,12.0,3.0,271.0,179.0,66.0,113.0,188.0,83.0,8.0,1.618,10.059,1.324,4.5,6.618,0.314,1.471,0.279,0.369,0.64,0.158,0.68,1.715,0.032,0.108,7.971
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,815215.0,Francisco Guevara,Francisco,Guevara,Francisco,F Guevara,P,0.0,1.0,0.0,6.75,8.679,9.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.1,9.333,48.0,31.0,9.0,4.0,2.0,0.0,9.0,7.0,1.0,9.0,13.0,0.0,5.0,4.0,0.0,0.0,3.0,0.0,5.0,2.0,9.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,6.0,13.0,9.0,3.0,0.0,104.0,39.0,13.0,26.0,41.0,63.0,5.0,1.821,3.857,0.964,12.536,4.822,0.12,0.385,0.129,0.438,0.387,0.104,2.6,2.167,0.021,0.271,11.143
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,808354.0,Linbel Jimenez,Linbel,Jimenez,Linbel,L Jimenez,P,0.0,0.0,,6.752,6.752,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.333,8.0,7.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,17.0,10.0,5.0,5.0,11.0,6.0,2.0,3.751,27.007,0.0,6.752,13.503,0.8,2.0,0.571,0.625,0.571,0.25,0.5,2.125,0.0,0.125,12.753
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,815216.0,Alejandro Parra,Alejandro,Parra,Alejandro,A Parra,P,1.0,0.0,1.0,6.75,6.75,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,38.0,27.0,6.0,7.0,0.0,1.0,6.0,6.0,0.0,9.0,9.0,0.0,9.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,5.0,0.0,12.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,8.0,2.0,0.0,92.0,45.0,26.0,19.0,47.0,45.0,3.0,2.0,7.875,0.0,10.125,10.125,0.412,1.0,0.259,0.447,0.37,0.237,1.0,2.421,0.0,0.237,11.5
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,809797.0,Yeferson Tales,Yeferson,Tales,Yeferson,Y Tales,P,1.0,0.0,1.0,6.75,10.125,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,8.0,45.0,32.0,9.0,8.0,1.0,0.0,9.0,6.0,0.0,9.0,9.0,0.0,12.0,4.0,0.0,1.0,5.0,0.0,8.0,5.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,10.0,4.0,1.0,104.0,55.0,35.0,20.0,56.0,48.0,4.0,2.125,9.0,0.0,10.125,13.5,0.4,1.333,0.25,0.467,0.312,0.267,0.75,2.311,0.0,0.2,13.0
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,695871.0,Jesus Broca,Jesus,Broca,Jesus,J Broca,P,1.0,1.0,0.5,6.353,7.941,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.667,28.0,27.0,5.0,12.0,2.0,2.0,5.0,4.0,0.0,18.0,1.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,56.0,50.0,35.0,15.0,51.0,5.0,0.0,2.294,19.058,0.0,1.588,19.058,0.8,12.0,0.444,0.464,0.815,0.429,0.083,2.0,0.0,0.036,9.882
2024.0,2101.0,D-BW2,DSL Brewers 2,130.0,DSL,16.0,RK,823783.0,Justin Lugo,Justin,Lugo,Justin,J Lugo,P,1.0,1.0,0.5,6.0,6.6,9.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0,66.0,48.0,11.0,5.0,2.0,1.0,11.0,10.0,0.0,9.0,15.0,0.0,22.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,5.0,14.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,6.0,10.0,11.0,5.0,0.0,165.0,86.0,60.0,26.0,92.0,73.0,14.0,1.333,3.0,0.0,9.0,13.2,0.192,1.467,0.104,0.348,0.25,0.333,0.682,2.5,0.0,0.227,11.0
