season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_BB/PA,pitching_PI/IP
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,688306.0,Tristan Stevens,Tristan,Stevens,Tristan,T Stevens,P,0.0,0.0,,7.714,7.714,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.2,4.667,20.0,18.0,4.0,4.0,0.0,1.0,4.0,4.0,2.0,12.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,4.0,0.0,3.0,80.0,39.0,13.0,13.0,51.0,29.0,0.0,1.071,7.714,3.857,1.928,9.642,0.182,5.0,0.222,0.3,0.833,0.25,0.2,4.0,0.1,0.05,17.142
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,672712.0,Luis Palacios,Luis,Palacios,Luis,L Palacios,P,1.0,2.0,0.333,5.04,5.76,8.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,25.0,25.0,106.0,94.0,16.0,25.0,3.0,0.0,16.0,14.0,3.0,37.0,10.0,0.0,16.0,1.0,0.0,3.0,17.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,6.0,2.0,0.0,3.0,0.0,13.0,17.0,25.0,29.0,7.0,5.0,393.0,187.0,46.0,79.0,251.0,142.0,2.0,1.4,9.0,1.08,3.6,5.76,0.297,1.6,0.266,0.34,0.457,0.151,0.625,3.708,0.028,0.094,15.72
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,689508.0,Orlando Ortiz-Mayr,Orlando,Ortiz-Mayr,Orlando,O Ortiz-Mayr,P,2.0,2.0,0.5,4.5,4.5,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,30.0,133.0,109.0,15.0,21.0,2.0,0.0,15.0,15.0,3.0,32.0,22.0,0.0,22.0,2.0,1.0,1.0,21.0,0.0,0.0,0.0,4.0,1.0,20.0,0.0,5.0,1.0,0.0,4.0,1.0,8.0,22.0,28.0,38.0,8.0,8.0,512.0,217.0,47.0,87.0,296.0,216.0,2.0,1.433,6.3,0.9,6.6,6.6,0.214,1.0,0.193,0.338,0.339,0.165,1.0,3.85,0.023,0.165,17.067
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,683740.0,Ricky DeVito,Fredrick,DeVito,Ricky,R DeVito,P,0.0,0.0,,4.2,5.4,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,15.0,73.0,50.0,9.0,9.0,1.0,0.0,9.0,7.0,0.0,10.0,13.0,0.0,20.0,8.0,0.0,0.0,14.0,0.0,3.0,2.0,4.0,2.0,5.0,0.0,11.0,1.0,0.0,2.0,0.0,3.0,4.0,11.0,12.0,3.0,5.0,305.0,123.0,48.0,32.0,167.0,138.0,0.0,1.467,5.4,0.0,7.8,12.0,0.3,1.538,0.18,0.423,0.22,0.274,0.65,4.178,0.0,0.178,20.333
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,702281.0,Robby Snelling,Robert,Snelling,Robby,R Snelling,P,2.0,3.0,0.4,4.026,4.737,8.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,164.0,147.0,20.0,35.0,6.0,0.0,20.0,17.0,3.0,50.0,16.0,0.0,50.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,9.0,2.0,13.0,0.0,5.0,3.0,0.0,6.0,0.0,14.0,17.0,36.0,26.0,4.0,5.0,659.0,314.0,98.0,97.0,426.0,233.0,2.0,1.342,8.289,0.711,3.789,11.842,0.34,3.125,0.238,0.317,0.401,0.305,0.32,4.018,0.018,0.098,17.342
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,669445.0,Adam Laskey,Adam,Laskey,Adam,A Laskey,P,2.0,3.0,0.4,3.927,4.418,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.2,36.667,152.0,140.0,18.0,35.0,9.0,0.0,18.0,16.0,0.0,44.0,9.0,0.0,35.0,2.0,2.0,3.0,12.0,0.0,0.0,0.0,1.0,1.0,13.0,1.0,8.0,2.0,0.0,3.0,0.0,16.0,11.0,49.0,22.0,5.0,6.0,560.0,265.0,64.0,106.0,372.0,188.0,4.0,1.2,8.591,0.0,2.209,8.591,0.337,3.889,0.25,0.303,0.379,0.23,0.257,3.684,0.0,0.059,15.273
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,683157.0,Evan Fitterer,Evan,Fitterer,Evan,E Fitterer,P,2.0,3.0,0.4,3.408,4.194,8.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.1,34.333,143.0,123.0,16.0,27.0,5.0,1.0,16.0,13.0,0.0,34.0,17.0,0.0,33.0,2.0,1.0,3.0,14.0,0.0,0.0,0.0,3.0,1.0,19.0,1.0,7.0,4.0,0.0,2.0,0.0,12.0,15.0,43.0,21.0,1.0,5.0,583.0,274.0,77.0,91.0,363.0,220.0,2.0,1.282,7.078,0.0,4.456,8.651,0.303,1.941,0.22,0.322,0.325,0.231,0.515,4.077,0.0,0.119,16.981
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,668724.0,M.D. Johnson,Michael,Johnson,M.D.,M Johnson,P,0.0,0.0,,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,13.0,10.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,60.0,18.0,2.0,7.0,31.0,29.0,3.0,1.667,6.0,3.0,9.0,9.0,0.167,1.0,0.2,0.385,0.6,0.231,1.0,4.615,0.077,0.231,20.0
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,659381.0,Justin King,Justin,King,Justin,J King,P,0.0,2.0,0.0,3.0,12.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,6.0,28.0,21.0,8.0,3.0,1.0,0.0,8.0,2.0,0.0,4.0,6.0,1.0,7.0,0.0,0.0,2.0,7.0,0.0,5.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,5.0,1.0,1.0,109.0,49.0,19.0,15.0,64.0,45.0,1.0,1.5,4.5,0.0,9.0,10.5,0.214,1.167,0.143,0.333,0.238,0.25,0.857,3.893,0.0,0.214,18.167
2025.0,4124.0,PNS,Pensacola Blue Wahoos,111.0,SOU,12.0,AA,690978.0,Dax Fulton,Daxton,Fulton,Dax,D Fulton,P,2.0,3.0,0.4,2.903,3.774,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,142.0,121.0,13.0,27.0,2.0,1.0,13.0,10.0,3.0,40.0,19.0,0.0,34.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,6.0,2.0,15.0,1.0,4.0,0.0,0.0,4.0,0.0,13.0,19.0,31.0,30.0,6.0,5.0,560.0,248.0,62.0,88.0,346.0,214.0,5.0,1.484,7.839,0.871,5.516,9.871,0.289,1.789,0.223,0.331,0.38,0.239,0.559,3.944,0.021,0.134,18.065
