season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_BB/PA,pitching_PI/IP
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,828244.0,Kruz Schoolcraft,Kruz,Schoolcraft,Kruz,K Schoolcraft,P,0.0,1.0,0.0,54.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,6.0,6.0,4.0,0.0,0.0,6.0,6.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,51.0,15.0,1.0,6.0,25.0,26.0,0.0,8.0,36.0,0.0,36.0,9.0,1.0,0.25,0.667,0.727,0.667,0.091,4.0,4.636,0.0,0.364,51.0
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,831683.0,Daichi Moriki,Daichi,Moriki,Daichi,D Moriki,P,0.0,0.0,,27.007,27.007,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.333,13.0,6.0,4.0,3.0,0.0,1.0,4.0,4.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,54.0,10.0,0.0,6.0,19.0,35.0,2.0,6.752,20.255,0.0,40.51,0.0,0.5,0.0,0.5,0.769,1.0,0.0,,4.154,0.0,0.462,40.51
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,820882.0,Rordy Mejia,Rordy,Mejia,Rordy,R Mejia,P,0.0,1.0,0.0,23.146,27.004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.333,16.0,10.0,7.0,3.0,0.0,0.0,7.0,6.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0,1.0,59.0,27.0,4.0,10.0,30.0,29.0,1.0,3.429,11.573,0.0,19.288,3.858,0.375,0.2,0.3,0.5,0.3,0.062,5.0,3.688,0.0,0.312,25.289
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,826141.0,Sean Barnett,Sean,Barnett,Sean,S Barnett,TWP,0.0,0.0,,21.596,26.995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.667,12.0,7.0,5.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,55.0,16.0,6.0,6.0,22.0,33.0,3.0,3.599,5.399,0.0,26.995,5.399,0.167,0.2,0.143,0.5,0.143,0.083,5.0,4.583,0.0,0.417,32.993
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,835236.0,Brandon Langley,Brandon,Langley,Brandon,B Langley,P,0.0,0.0,,20.247,23.622,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.667,16.0,14.0,7.0,6.0,0.0,1.0,7.0,6.0,0.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,56.0,22.0,5.0,10.0,30.0,26.0,1.0,3.0,20.247,0.0,6.749,13.498,0.6,2.0,0.429,0.5,0.643,0.25,0.5,3.5,0.0,0.125,20.997
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,800970.0,Landry Jurecka,Landry,Jurecka,Landry,L Jurecka,P,0.0,1.0,0.0,18.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,6.0,2.0,19.0,10.0,0.0,3.0,18.0,18.0,9.0,27.0,,3.0,0.4,0.5,2.0,0.5,0.333,4.833,0.333,0.167,29.0
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,695572.0,Will Koger,William,Koger,Will,W Koger,P,0.0,0.0,,16.197,16.197,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.667,10.0,8.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,48.0,23.0,5.0,6.0,27.0,21.0,1.0,2.4,16.197,5.399,5.399,10.798,0.4,2.0,0.375,0.5,1.125,0.2,0.5,4.8,0.1,0.1,28.794
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,822877.0,Luke Cantwell,Luke,Cantwell,Luke,L Cantwell,1B,0.0,0.0,,9.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,12.0,4.0,6.0,1.0,0.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,4.0,1.0,1.0,36.0,24.0,3.0,12.0,27.0,9.0,0.0,3.0,27.0,0.0,0.0,0.0,0.5,,0.5,0.5,0.667,0.0,,3.0,0.0,0.0,18.0
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,700274.0,Javier Chacon,Javier,Chacon,Javier,J Chacon,P,0.0,0.0,,6.752,13.503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.333,7.0,6.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,5.0,2.0,20.0,16.0,0.0,2.251,13.503,0.0,6.752,27.007,1.0,4.0,0.333,0.429,0.333,0.571,0.25,5.143,0.0,0.143,27.007
2026.0,103.0,LE,Lake Elsinore Storm,110.0,CAL,14.0,A,831325.0,Tyler Schmitt,Tyler,Schmitt,Tyler,T Schmitt,P,0.0,0.0,,5.401,5.401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.333,16.0,11.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0,4.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,70.0,28.0,10.0,4.0,37.0,33.0,0.0,1.5,2.7,2.7,10.801,18.902,0.0,1.75,0.091,0.375,0.455,0.438,0.571,4.375,0.062,0.25,21.002
