season,team_id,team_abv,team_name,team_league_id,team_league,team_level_id,team_level_abv,player_id,player_full_name,player_first_name,player_last_name,player_use_name,player_initial_name,player_position,pitching_W,pitching_L,pitching_W%,pitching_ERA,pitching_RA9,pitching_G,pitching_GS,pitching_GF,pitching_CG,pitching_QS,pitching_SHO,pitching_SVO,pitching_SV,pitching_HLD,pitching_BS,pitching_IP_str,pitching_IP,pitching_BF,pitching_AB,pitching_R,pitching_H,pitching_2B,pitching_3B,batting_R,pitching_ER,pitching_HR,pitching_TB,pitching_BB,pitching_IBB,pitching_SO,pitching_HBP,pitching_BK,pitching_GiDP,pitching_GiDP_opp,pitching_CI,pitching_IR,pitching_IRS,pitching_BqR,pitching_BqRS,pitching_RS,pitching_SF,pitching_SB,pitching_CS,pitching_PK,pitching_FH,pitching_PH,pitching_LH,pitching_FO,pitching_GO,pitching_AO,pitching_pop_outs,pitching_line_outs,pitching_PI,pitching_total_swings,pitching_swing_and_misses,pitching_balls_in_play,pitching_PI_strikes,pitching_PI_balls,pitching_WP,pitching_WHIP,pitching_H/9,pitching_HR/9,pitching_BB/9,pitching_SO/9,pitching_BABiP,pitching_SO/BB,pitching_BA,pitching_OBP,pitching_SLG,pitching_SO%,pitching_BB/SO,pitching_PI/PA,pitching_HR/PA,pitching_BB/PA,pitching_PI/IP
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,596295.0,Austin Gomber,Austin,Gomber,Austin,A Gomber,P,0.0,2.0,0.0,10.125,10.125,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,42.0,38.0,9.0,14.0,5.0,0.0,9.0,9.0,0.0,19.0,3.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,4.0,11.0,8.0,2.0,2.0,173.0,79.0,10.0,33.0,111.0,62.0,0.0,2.125,15.75,0.0,3.375,5.625,0.424,1.667,0.368,0.429,0.632,0.119,0.6,4.119,0.0,0.071,21.625
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,674003.0,Cody Bradford,Cody,Bradford,Cody,C Bradford,P,0.0,0.0,,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,8.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,27.0,15.0,5.0,8.0,17.0,10.0,0.0,1.5,13.5,9.0,0.0,0.0,0.167,,0.375,0.375,1.375,0.0,,3.375,0.25,0.0,13.5
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,615698.0,Cal Quantrill,Cal,Quantrill,Cal,C Quantrill,P,1.0,1.0,0.5,9.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,34.0,30.0,7.0,9.0,4.0,1.0,7.0,7.0,0.0,15.0,4.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,9.0,3.0,4.0,138.0,63.0,19.0,23.0,84.0,54.0,0.0,1.857,11.571,0.0,5.143,9.0,0.391,1.75,0.3,0.382,0.667,0.206,0.571,4.059,0.0,0.118,19.714
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,666168.0,Mason Thompson,Mason,Thompson,Mason,M Thompson,P,0.0,1.0,0.0,6.231,8.308,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,4.333,22.0,19.0,4.0,6.0,0.0,0.0,4.0,3.0,1.0,9.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,6.0,1.0,3.0,75.0,33.0,8.0,16.0,45.0,30.0,0.0,1.846,12.462,2.077,4.154,6.231,0.333,1.5,0.316,0.409,0.526,0.136,0.667,3.409,0.045,0.091,17.309
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,687847.0,Marc Church,Marc,Church,Marc,M Church,P,0.0,0.0,,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,20.0,16.0,2.0,7.0,2.0,0.0,2.0,2.0,0.0,9.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,1.0,81.0,40.0,11.0,12.0,51.0,30.0,0.0,3.667,21.0,0.0,12.0,12.0,0.583,1.0,0.438,0.55,0.688,0.2,1.0,4.05,0.0,0.2,27.0
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,681168.0,Luis Curvelo,Luis,Curvelo,Luis,L Curvelo,P,0.0,1.0,0.0,6.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,13.0,10.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,5.0,0.0,1.0,65.0,24.0,9.0,8.0,34.0,31.0,0.0,1.333,6.0,0.0,6.0,9.0,0.333,1.5,0.2,0.308,0.6,0.231,0.667,5.0,0.0,0.154,21.667
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,693713.0,Emiliano Teodo,Emiliano,Teodo,Emiliano,E Teodo,P,0.0,1.0,0.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,16.0,9.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,81.0,20.0,8.0,2.0,38.0,43.0,3.0,1.333,0.0,0.0,12.0,21.0,0.0,1.75,0.0,0.438,0.0,0.438,0.571,5.062,0.0,0.25,27.0
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,657022.0,Trey Supak,Treyson,Supak,Trey,T Supak,P,0.0,0.0,,5.906,5.906,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,10.667,49.0,41.0,7.0,11.0,4.0,0.0,7.0,7.0,2.0,21.0,8.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,3.0,1.0,0.0,3.0,0.0,4.0,6.0,10.0,13.0,5.0,2.0,226.0,98.0,23.0,34.0,129.0,97.0,0.0,1.781,9.281,1.687,6.75,5.906,0.281,0.875,0.268,0.388,0.659,0.143,1.143,4.612,0.041,0.163,21.187
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,695776.0,Josh Stephan,Joshua,Stephan,Josh,J Stephan,P,1.0,1.0,0.5,5.786,5.786,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,59.0,56.0,9.0,16.0,4.0,0.0,9.0,9.0,3.0,29.0,3.0,0.0,14.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,5.0,0.0,9.0,6.0,15.0,11.0,4.0,1.0,226.0,100.0,20.0,42.0,150.0,76.0,1.0,1.357,10.286,1.929,1.929,9.0,0.333,4.667,0.286,0.322,0.643,0.237,0.214,3.831,0.051,0.051,16.143
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,671305.0,Michel Otañez,Michel,Otañez,Michel,M Otañez,P,1.0,0.0,1.0,4.909,4.909,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2,3.667,16.0,12.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,76.0,25.0,9.0,5.0,40.0,36.0,0.0,1.364,2.454,0.0,9.817,17.18,0.2,1.75,0.083,0.312,0.083,0.438,0.571,4.75,0.0,0.25,20.725
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,689379.0,Aidan Anderson,Aidan,Anderson,Aidan,A Anderson,P,0.0,1.0,0.0,4.5,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,27.0,10.0,3.0,6.0,15.0,12.0,0.0,1.0,4.5,0.0,4.5,0.0,0.167,0.0,0.167,0.286,0.167,0.0,,3.857,0.0,0.143,13.5
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,666123.0,Austin Bergner,Austin,Bergner,Austin,A Bergner,P,0.0,0.0,,4.5,4.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,16.0,14.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,3.0,1.0,1.0,58.0,25.0,10.0,10.0,34.0,24.0,0.0,1.0,4.5,4.5,4.5,9.0,0.0,2.0,0.143,0.25,0.714,0.25,0.5,3.625,0.125,0.125,14.5
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,686560.0,Gavin Collyer,Gavin,Collyer,Gavin,G Collyer,P,1.0,0.0,1.0,3.176,3.176,5.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,5.2,5.667,23.0,21.0,2.0,5.0,1.0,0.0,2.0,2.0,1.0,9.0,1.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,6.0,2.0,0.0,0.0,82.0,46.0,19.0,13.0,64.0,18.0,0.0,1.059,7.941,1.588,1.588,14.293,0.364,9.0,0.238,0.273,0.524,0.391,0.111,3.565,0.043,0.043,14.47
2026.0,102.0,RR,Round Rock Express,112.0,PCL,11.0,AAA,641907.0,Patrick Murphy,Patrick,Murphy,Patrick,P Murphy,P,0.0,0.0,,2.842,2.842,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.333,23.0,22.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,11.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,5.0,1.0,0.0,91.0,41.0,14.0,16.0,58.0,33.0,0.0,0.79,5.685,2.842,1.421,8.527,0.143,6.0,0.182,0.217,0.636,0.261,0.167,3.957,0.087,0.043,14.369
