_name,_pid,projected_war,projection_std,total_pa,avg_woba,highest_level,_in_mlb
Peter O'Brien,598284,6.7,103.4,441.0,0.2993333333333334,-1,False
José Rondón,602922,5.2,37.8,519.0,0.4266666666666667,-1,True
José Martínez,500874,5.1,34.2,456.0,0.4215,-1,True
Yasmany Tomás,630111,5.1,33.6,531.0,0.349,-1,True
Jose Gerardo,805103,5.0,32.3,570.0,0.3253333333333333,0,False
Gorkys Hernández,491676,5.0,32.9,413.0,0.376,-1,True
Kelvin HIdalgo,800193,5.0,30.7,871.0,0.34349999999999997,2,False
Oswaldo Arcia,542455,5.0,32.1,368.0,0.3786666666666667,-1,True
Julian Ornelas,676140,5.0,31.8,600.0,0.317,-1,False
Josh H. Smith,669701,5.0,34.0,282.0,0.32,5,True
Jose Cardona,606580,5.0,31.6,607.0,0.31033333333333335,-1,False
Elis Cuevas,800433,5.0,31.2,617.0,0.3262,2,False
Kennys Vargas,573627,5.0,33.6,503.0,0.38599999999999995,-1,True
Santiago Gomez,801726,4.9,30.2,434.0,0.37366666666666665,0,False
Dashyll Tejeda,812158,4.9,30.5,251.0,0.311,0,False
Kelvin Diaz,692556,4.9,29.1,674.0,0.31299999999999994,2,False
Yeremi Cabrera,800393,4.9,28.6,769.0,0.3493333333333333,2,False
Derek Bernard,800204,4.9,29.6,580.0,0.37399999999999994,0,False
Roberto Valenzuela,672438,4.9,29.9,551.0,0.38066666666666665,-1,False
Eduardo Quintero,808234,4.9,29.9,637.0,0.3745,2,False
Christian Villanueva,570799,4.9,29.6,469.0,0.3335,-1,True
Javier Mogollon,808684,4.9,29.8,471.0,0.39633333333333337,2,False
Yasser Mercedes,703160,4.9,30.5,619.0,0.3114,2,False
Ramiro Pena,455369,4.9,30.2,486.0,0.3285,-1,True
Jerffson Pena,800011,4.9,29.5,525.0,0.33499999999999996,0,False
Karniel Pratt,805043,4.8,28.0,419.0,0.35433333333333333,0,False
Luis Pena,821270,4.8,28.9,250.0,0.4145,2,False
Luis Frias,801263,4.8,27.5,504.0,0.3233333333333333,0,False
Robert Perez,801265,4.8,27.3,525.0,0.33025000000000004,0,False
Juan Matheus,801276,4.8,27.4,485.0,0.37,2,False
Franyerber Montilla,800508,4.8,27.8,719.0,0.324,2,False
T.J. Bennett,666815,4.8,29.5,175.0,0.428,-1,False
Cherif Neymour,800578,4.8,27.9,419.0,0.31833333333333336,0,False
Asbel Gonzalez,808706,4.8,27.8,458.0,0.34975,2,False
Yasiel Puig,624577,4.8,29.7,202.0,0.38466666666666666,-1,True
Wilfredo Tovar,541600,4.8,27.0,554.0,0.32725,-1,True
Isaac Rodriguez,665455,4.8,27.0,576.0,0.3285,-1,False
Erick Bautista,805236,4.8,27.9,489.0,0.35733333333333334,0,False
Joendry Vargas,806959,4.8,27.7,415.0,0.37633333333333335,2,False
Andres Valor,808516,4.8,28.9,534.0,0.325,2,False
Robert Calaz,806978,4.8,29.1,456.0,0.42533333333333334,2,False
Alexi Amarista,506560,4.8,29.0,518.0,0.355,-1,True
Carlos Rivero,491640,4.8,28.5,364.0,0.31333333333333335,-1,False
Junior Caminero,691406,4.8,25.8,1304.0,0.4055,5,True
Efren Navarro,519068,4.8,27.6,496.0,0.3095,-1,True
Emilio Bonifácio,466988,4.8,28.8,383.0,0.347,-1,True
Emil Morales,815896,4.8,28.9,201.0,0.478,0,False
Javier Osorio,703157,4.8,28.4,493.0,0.3393333333333333,0,False
Carlos Pacheco,800149,4.8,27.3,556.0,0.32266666666666666,0,False
Juan Machado,696015,4.8,29.0,363.0,0.3586666666666667,0,False
Demetrio Nadal,702391,4.8,28.0,399.0,0.353,2,False
Ramón Flores,570717,4.8,27.5,501.0,0.36599999999999994,-1,True
Fidel Montero,700320,4.8,28.5,314.0,0.309,0,False
Luis Ogando,703902,4.8,28.8,366.0,0.3786666666666667,0,False
Toby Simmons,800524,4.8,28.9,418.0,0.33499999999999996,0,False
Enmanuel Tejeda,800285,4.8,28.3,590.0,0.381,2,False
Fernando Peguero,800387,4.8,27.9,685.0,0.3402,2,False
Rabel Colon,804521,4.7,25.7,489.0,0.30225,2,False
Miguel Tamares,800546,4.7,26.9,441.0,0.293,0,False
Wilton Lara,801258,4.7,25.9,447.0,0.29800000000000004,0,False
Erbin Jaque,801226,4.7,26.0,301.0,0.3105,0,False
Yeiker Reyes,807975,4.7,27.0,520.0,0.3395,2,False
Vladi Gomez,808082,4.7,25.9,372.0,0.3406666666666667,0,False
Jesse Castillo,477399,4.7,26.7,455.0,0.35450000000000004,-1,False
Rainel Rosario,501731,4.7,26.9,435.0,0.3615,-1,False
Gabriel Terrero,808239,4.7,26.6,320.0,0.37150000000000005,0,False
Julio Henriquez,802082,4.7,25.4,587.0,0.3174,2,False
Starlyn Caba,806965,4.7,26.4,556.0,0.318,2,False
Dervy Ventura,805319,4.7,25.2,627.0,0.35875,2,False
Joan Delgado,805062,4.7,26.9,460.0,0.3443333333333333,0,False
Braylin Morel,808281,4.7,27.4,386.0,0.427,0,False
Athanael Duarte,805744,4.7,25.7,531.0,0.3296666666666667,0,False
Arnaldo Lantigua,806984,4.7,27.2,312.0,0.388,0,False
Angel Guzman,808401,4.7,26.8,372.0,0.379,0,False
Carlos Batista,808251,4.7,26.4,278.0,0.2835,0,False
Elias Medina,808257,4.7,26.2,245.0,0.3825,0,False
Yadir Drake,660436,4.7,26.5,517.0,0.3415,-1,False
Edwin Amparo,800348,4.7,26.2,642.0,0.31399999999999995,2,False
Aroon Escobar,800169,4.7,26.3,513.0,0.381,2,False
Tomo Otosaka,678465,4.7,26.8,455.0,0.364,-1,False
Danny Ortiz,543611,4.7,25.6,476.0,0.2718,-1,False
Donald Lutz,544371,4.7,27.1,119.0,0.312,-1,True
Nomar Fana,694049,4.7,26.1,667.0,0.32639999999999997,2,False
Kashon Conliffe,800244,4.7,26.7,472.0,0.30533333333333335,0,False
Roinny Aguiar,800192,4.7,25.7,419.0,0.3356666666666667,0,False
Reylin Perez,800139,4.7,25.7,517.0,0.274,2,False
Mairoshendrick Martinus,800302,4.7,26.6,571.0,0.29900000000000004,0,False
Jesus Made,815908,4.7,27.7,297.0,0.4205,2,False
Angel Reyes,622580,4.7,26.5,449.0,0.36950000000000005,-1,False
Jose Alpuria,800434,4.7,25.7,611.0,0.3085,2,False
Darlyn De Leon,800391,4.7,25.8,429.0,0.31833333333333336,0,False
Nicandro Aybar,800384,4.7,25.1,639.0,0.28425,2,False
Isaias Dipre,692658,4.7,26.3,377.0,0.3865,0,False
Andrws Cruz,696081,4.7,27.0,402.0,0.3026666666666667,0,False
Jhonny Severino,703177,4.7,25.5,684.0,0.3326,2,False
Jose De Jesus,703183,4.7,25.5,818.0,0.27540000000000003,2,False
Jonathan Mejia,703158,4.7,25.4,674.0,0.3086,2,False
Renato Núñez,600524,4.7,26.3,272.0,0.3775,-1,True
Edwin Sanchez,703405,4.7,26.7,522.0,0.3813333333333333,0,False
Merphy Hernandez,821075,4.7,26.6,190.0,0.353,0,False
Israfell Bautista,820984,4.7,26.7,168.0,0.297,0,False
Godwin Bennett,700285,4.7,26.9,246.0,0.386,0,False
Felix Perez,591977,4.7,26.3,413.0,0.3025,-1,False
Alberth Martinez,594021,4.7,26.6,449.0,0.35350000000000004,-1,False
Keiner Delgado,700731,4.7,25.2,948.0,0.359,3,False
Reynaldo Rodriguez,471906,4.7,25.3,555.0,0.31066666666666665,-1,False
Felix Amparo,808118,4.7,26.2,400.0,0.33666666666666667,0,False
Javier Herrera,808223,4.7,26.4,347.0,0.379,0,False
Luis Alfonso Cruz,458501,4.7,26.5,370.0,0.246,-1,True
Niuman Romero,462962,4.7,26.1,371.0,0.34950000000000003,-1,False
Yamaico Navarro,501605,4.6,24.3,363.0,0.3383333333333334,-1,True
Denis Phipps,464426,4.6,25.6,154.0,0.4,-1,False
Jose Mejia,808090,4.6,25.7,212.0,0.387,0,False
Christopher Espinola,699053,4.6,24.1,484.0,0.314,2,False
Railin Tea,808038,4.6,24.4,349.0,0.3085,0,False
Quincy Latimore,518921,4.6,25.0,327.0,0.36150000000000004,-1,False
Agustin Murillo,473242,4.6,24.0,513.0,0.33266666666666667,-1,False
Jakey Josepha,699228,4.6,24.3,602.0,0.3226,2,False
Edgar Basabe,699205,4.6,25.2,387.0,0.31266666666666665,0,False
Elio Campos,699069,4.6,24.8,418.0,0.35600000000000004,0,False
Wilson Ramos,467092,4.6,25.7,335.0,0.288,-1,True
Aaron Altherr,571437,4.6,26.8,135.0,0.478,-1,True
Yancel Guerrero,699026,4.6,25.0,424.0,0.33466666666666667,0,False
Wilian Trinidad,808011,4.6,24.4,449.0,0.3255,0,False
