date,year,series_type,vis_team,home_team,vis_runs,home_runs,run_diff,length_outs,extra_innings,one_run_game,blowout,vis_pitchers_used,home_pitchers_used,vis_sb,vis_cs,home_sb,home_cs,vis_mgr_id,vis_mgr_name,home_mgr_id,home_mgr_name,home_won
20121005,2012,WC,BAL,TEX,5,1,4,54,0,0,0,4,4,12,2,6,0,showb801,Buck Showalter,washr001,Ron Washington,0
20121005,2012,WC,SLN,ATL,6,3,3,54,0,0,0,6,5,5,0,7,0,mathm001,Mike Matheny,gonzf801,Fredi Gonzalez,0
20131001,2013,WC,CIN,PIT,2,6,4,51,0,0,0,7,3,6,0,2,0,baked002,Dusty Baker,hurdc001,Clint Hurdle,1
20131002,2013,WC,TBA,CLE,4,0,4,54,0,0,0,4,6,11,0,9,0,maddj801,Joe Maddon,frant001,Terry Francona,0
20140930,2014,WC,OAK,KCA,8,9,1,71,1,1,0,6,7,15,0,8,7,melvb001,Bob Melvin,yoste001,Ned Yost,1
20141001,2014,WC,SFN,PIT,8,0,8,54,0,0,1,1,6,7,0,10,0,bochb002,Bruce Bochy,hurdc001,Clint Hurdle,0
20151006,2015,WC,HOU,NYA,3,0,3,54,0,0,0,4,4,9,2,10,0,hinca001,A.J. Hinch,giraj001,Joe Girardi,0
20151007,2015,WC,CHN,PIT,4,0,4,54,0,0,0,1,5,10,2,11,0,maddj801,Joe Maddon,hurdc001,Clint Hurdle,0
20161004,2016,WC,BAL,TOR,2,5,3,64,1,0,0,7,6,12,1,11,0,showb801,Buck Showalter,gibbj001,John Gibbons,1
20161005,2016,WC,SFN,NYN,3,0,3,54,0,0,0,1,3,12,1,6,0,bochb002,Bruce Bochy,collt801,Terry Collins,0
20171003,2017,WC,MIN,NYA,4,8,4,51,0,0,0,6,5,13,1,5,0,molip001,Paul Molitor,giraj001,Joe Girardi,1
20171004,2017,WC,COL,ARI,8,11,3,51,0,0,0,8,6,6,0,11,0,blacb001,Buddy Black,lovut001,Tony Lovullo,1
20181002,2018,WC,COL,CHN,2,1,1,78,1,1,0,6,9,13,0,16,2,blacb001,Buddy Black,maddj801,Joe Maddon,0
20181003,2018,WC,OAK,NYA,2,7,5,51,0,0,1,6,5,13,0,6,1,melvb001,Bob Melvin,boona001,Aaron Boone,1
20191001,2019,WC,MIL,WAS,3,4,1,51,0,1,0,4,3,11,0,7,0,counc001,Craig Counsell,martd002,Dave Martinez,1
20191002,2019,WC,TBA,OAK,5,1,4,54,0,0,0,4,5,12,1,12,0,cashk001,Kevin Cash,melvb001,Bob Melvin,0
20200929,2020,WC,CHA,OAK,4,1,3,54,0,0,0,4,5,11,0,9,0,rentr001,Rich Renteria,melvb001,Bob Melvin,0
20200929,2020,WC,NYA,CLE,12,3,9,54,0,0,1,2,5,10,0,14,0,boona001,Aaron Boone,frant001,Terry Francona,0
20200929,2020,WC,HOU,MIN,4,1,3,54,0,0,0,2,6,7,0,6,1,baked002,Dusty Baker,baldr001,Rocco Baldelli,0
20200929,2020,WC,TOR,TBA,1,3,2,51,0,0,0,5,4,12,0,9,1,montc001,Charlie Montoyo,cashk001,Kevin Cash,1
20200930,2020,WC,CIN,ATL,0,1,1,76,1,1,0,6,8,16,1,21,1,belld002,David Bell,snitb801,Brian Snitker,1
20200930,2020,WC,MIA,CHN,5,1,4,54,0,0,0,4,5,9,2,7,0,mattd001,Don Mattingly,rossd001,David Ross,0
20200930,2020,WC,MIL,LAN,2,4,2,51,0,0,0,5,4,15,0,5,0,counc001,Craig Counsell,robed001,Dave Roberts,1
20200930,2020,WC,SLN,SDN,7,4,3,54,0,0,0,6,8,10,1,5,2,shilm801,Mike Shildt,tingj801,Jayce Tingler,0
20200930,2020,WC,CHA,OAK,3,5,2,51,0,0,0,4,3,10,0,6,0,rentr001,Rich Renteria,melvb001,Bob Melvin,1
20200930,2020,WC,NYA,CLE,10,9,1,54,0,1,0,5,7,13,0,11,0,boona001,Aaron Boone,frant001,Terry Francona,0
20200930,2020,WC,HOU,MIN,3,1,2,54,0,0,0,4,5,6,0,8,0,baked002,Dusty Baker,baldr001,Rocco Baldelli,0
20200930,2020,WC,TOR,TBA,2,8,6,51,0,0,1,6,4,11,0,11,0,montc001,Charlie Montoyo,cashk001,Kevin Cash,1
20201001,2020,WC,CIN,ATL,0,5,5,51,0,0,1,4,4,12,0,14,1,belld002,David Bell,snitb801,Brian Snitker,1
20201001,2020,WC,MIL,LAN,0,3,3,51,0,0,0,3,2,13,0,12,0,counc001,Craig Counsell,robed001,Dave Roberts,1
20201001,2020,WC,SLN,SDN,9,11,2,51,0,0,0,8,9,9,0,10,0,shilm801,Mike Shildt,tingj801,Jayce Tingler,1
20201001,2020,WC,CHA,OAK,4,6,2,51,0,0,0,9,8,8,1,7,0,rentr001,Rich Renteria,melvb001,Bob Melvin,1
20201002,2020,WC,MIA,CHN,2,0,2,54,0,0,0,5,3,8,1,9,0,mattd001,Don Mattingly,rossd001,David Ross,0
20201002,2020,WC,SLN,SDN,0,4,4,51,0,0,0,2,9,8,0,11,1,shilm801,Mike Shildt,tingj801,Jayce Tingler,1
20211005,2021,WC,NYA,BOS,2,6,4,51,0,0,0,5,5,11,0,9,0,boona001,Aaron Boone,coraa001,Alex Cora,1
20211006,2021,WC,SLN,LAN,1,3,2,53,0,0,0,5,6,10,3,7,2,shilm801,Mike Shildt,robed001,Dave Roberts,1
20221007,2022,WC,SDN,NYN,7,1,6,54,0,0,1,3,5,11,0,5,3,melvb001,Bob Melvin,showb801,Buck Showalter,0
20221007,2022,WC,PHI,SLN,6,3,3,54,0,0,0,4,5,7,0,7,0,thomr801,Rob Thomson,marmo801,Oliver Marmol,0
20221007,2022,WC,TBA,CLE,1,2,1,51,0,1,0,2,2,9,1,7,0,cashk001,Kevin Cash,frant001,Terry Francona,1
20221007,2022,WC,SEA,TOR,4,0,4,54,0,0,0,2,6,6,0,7,0,servs002,Scott Servais,schnj801,John Schneider,0
