last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
League Average,,,2017,148565,0,47.0,16.2,35.0,16.0,65.4,66.6,33.9,48.9,28.1
Maldonado,Martín,455117.0,2017,3716,21,52.0,16.0,38.1,16.2,64.3,74.4,38.5,57.1,37.4
Flowers,Tyler,452095.0,2017,2400,16,54.3,14.8,31.4,15.1,65.0,82.2,38.0,62.2,46.2
Hedges,Austin,595978.0,2017,3118,11,51.8,17.0,37.2,13.3,70.2,64.5,40.4,60.3,33.8
Pérez,Roberto,547379.0,2017,2078,8,49.9,13.3,37.5,20.5,65.1,70.8,41.5,55.3,33.3
Molina,Yadier,425877.0,2017,3780,8,49.2,22.1,40.4,22.3,66.4,67.5,39.3,50.3,26.6
Grandal,Yasmani,518735.0,2017,3168,8,50.5,13.2,28.9,12.4,62.6,76.2,34.9,63.9,37.3
d'Arnaud,Travis,518595.0,2017,2772,7,49.9,21.4,47.1,20.1,67.7,67.0,39.3,48.5,30.3
Gomes,Yan,543228.0,2017,2737,7,49.5,23.2,29.3,12.6,73.0,58.5,46.2,60.7,24.0
Zunino,Mike,572287.0,2017,3324,7,47.4,15.2,35.6,18.1,62.7,67.0,31.8,54.5,26.7
Joseph,Caleb,543376.0,2017,2058,6,51.7,15.6,27.8,9.0,73.9,68.7,38.9,54.8,37.2
Vogt,Stephen,519390.0,2017,1984,6,50.6,16.3,32.6,19.7,58.4,71.7,38.7,53.0,39.3
Mathis,Jeff,425772.0,2017,1552,5,54.3,8.6,11.6,3.8,60.4,70.1,50.9,69.9,52.4
Vázquez,Christian,543877.0,2017,2716,5,49.9,14.1,38.9,23.8,68.5,72.7,37.6,49.3,33.6
Romine,Austin,519222.0,2017,1746,5,50.2,20.5,40.1,11.8,67.4,68.0,41.9,53.3,29.5
Phegley,Josh,572033.0,2017,1335,4,50.3,11.1,16.5,10.9,66.8,69.3,43.9,59.6,34.3
Realmuto,J.T.,592663.0,2017,3818,4,46.8,14.5,33.3,10.6,68.8,60.8,39.7,48.8,24.4
Sucre,Jesús,491696.0,2017,1571,4,49.3,8.0,32.1,15.5,72.8,66.7,43.2,54.3,28.8
Garneau,Dustin,572863.0,2017,1029,3,48.4,7.9,30.5,18.2,61.0,70.9,40.0,50.4,37.6
Martin,Russell,431145.0,2017,2271,3,49.5,23.8,38.0,26.6,63.6,70.7,28.0,49.7,32.5
Barnes,Austin,605131.0,2017,1732,3,49.6,14.6,24.4,8.7,57.1,71.3,42.2,63.8,45.7
Montero,Miguel,471083.0,2017,1458,3,48.2,10.2,42.5,14.8,60.1,68.9,27.6,55.1,31.8
Posey,Buster,457763.0,2017,2632,3,49.1,25.9,38.9,12.7,72.4,62.7,33.9,51.5,26.5
Rivera,René,425784.0,2017,2012,3,47.8,12.5,34.1,14.7,62.5,69.8,29.9,51.9,37.9
Fryer,Eric,518700.0,2017,517,2,53.0,28.6,44.4,12.5,71.5,74.7,18.9,50.4,27.9
Stewart,Chris,455755.0,2017,1150,1,48.3,17.2,33.1,11.1,63.2,67.1,42.1,54.9,30.9
Gimenez,Chris,460269.0,2017,1658,1,46.8,17.8,35.4,19.6,63.0,71.4,28.0,44.3,22.7
Lobatón,Jose,446653.0,2017,1331,1,47.0,18.3,33.6,7.9,66.7,62.4,34.1,48.6,33.0
Iannetta,Chris,455104.0,2017,2183,1,48.1,6.7,27.3,11.2,62.3,69.8,33.9,53.2,39.5
Norris,Derek,519083.0,2017,1570,1,47.6,7.6,32.0,16.1,64.1,72.1,43.0,55.2,27.9
Higashioka,Kyle,543309.0,2017,179,1,54.2,12.5,17.4,22.2,76.0,86.1,37.5,63.0,33.3
Graterol,Juan,492802.0,2017,768,1,47.4,19.4,32.9,21.2,61.5,75.5,36.1,49.2,26.9
Hicks,John,543308.0,2017,402,1,49.5,16.7,41.5,20.0,76.4,71.7,31.3,36.5,21.1
Castro,Jason,488771.0,2017,2911,1,47.3,10.6,38.6,22.2,63.3,74.1,27.6,44.2,25.9
Gattis,Evan,594828.0,2017,1423,1,49.2,2.0,36.5,27.9,65.6,70.2,37.5,58.8,23.6
Smith,Kevan,607345.0,2017,2175,0,46.5,21.7,46.0,19.2,69.9,67.6,25.6,36.8,22.7
Holaday,Bryan,592407.0,2017,211,0,38.4,0.0,38.9,0.0,58.3,62.5,16.7,35.3,5.9
Ramos,Wilson,467092.0,2017,1633,0,46.8,21.4,41.9,21.3,72.0,67.2,25.3,37.0,25.8
Gallagher,Cam,595956.0,2017,194,0,44.8,9.1,41.2,0.0,81.8,41.4,54.5,50.0,4.5
Stassi,Max,545358.0,2017,201,0,50.2,5.9,19.0,22.2,69.7,72.7,44.4,63.8,39.1
Ohlman,Mike,572000.0,2017,107,0,43.0,16.7,22.2,25.0,45.5,80.0,25.0,54.5,33.3
Brantly,Rob,542963.0,2017,132,0,42.4,25.0,26.7,0.0,81.0,84.6,16.7,20.0,21.4
Kelly,Carson,608348.0,2017,517,0,45.8,12.9,33.3,20.8,74.3,71.1,33.3,46.9,11.8
Sisco,Chance,642082.0,2017,123,0,38.2,27.3,6.3,0.0,69.2,43.8,28.6,43.3,25.0
Stallings,Jacob,607732.0,2017,135,0,35.6,9.1,0.0,20.0,71.4,37.5,30.0,40.0,0.0
Severino,Pedro,600474.0,2017,201,0,37.8,27.3,36.8,23.1,68.3,46.4,23.5,31.9,12.0
Lavarnway,Ryan,543432.0,2017,116,0,45.7,42.9,33.3,0.0,70.4,56.5,38.5,37.5,11.1
Cervelli,Francisco,465041.0,2017,2100,0,48.0,13.1,17.2,4.2,68.8,60.9,44.7,58.1,29.5
Caratini,Victor,605170.0,2017,238,0,40.3,8.3,22.2,11.1,55.0,62.0,42.9,39.6,24.2
Lopez,Raffy,607257.0,2017,597,0,47.7,17.4,33.3,15.8,60.2,79.1,24.6,41.9,41.1
Murphy,Tom,608596.0,2017,213,0,43.7,33.3,35.7,11.1,61.9,65.5,0.0,45.5,28.0
Gosewisch,Tuffy,488912.0,2017,253,0,46.6,0.0,28.0,0.0,51.0,54.3,45.5,66.2,25.0
