last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19,id,name,pitches,rv_tot,pct_tot,rv_11,pct_11,rv_12,pct_12,rv_13,pct_13,rv_14,pct_14,rv_16,pct_16,rv_17,pct_17,rv_18,pct_18,rv_19,pct_19
League Average,,,2015,143616.0,0.0,46.7,20.0,35.8,11.9,75.8,59.6,37.6,44.3,21.3,,,,,,,,,,,,,,,,,,,,,
Grandal,Yasmani,518735.0,2015,2843.0,25.0,52.3,32.2,50.8,20.4,74.0,74.8,38.1,37.0,35.1,,,,,,,,,,,,,,,,,,,,,
Cervelli,Francisco,465041.0,2015,3513.0,21.0,52.5,14.9,30.6,12.5,71.9,68.0,51.0,53.5,33.1,,,,,,,,,,,,,,,,,,,,,
Norris,Derek,519083.0,2015,3477.0,15.0,48.3,19.9,35.8,12.0,83.0,57.8,51.7,42.2,18.6,,,,,,,,,,,,,,,,,,,,,
Posey,Buster,457763.0,2015,2762.0,15.0,52.2,19.5,46.6,10.9,75.2,69.2,40.3,47.0,28.6,,,,,,,,,,,,,,,,,,,,,
Montero,Miguel,471083.0,2015,2799.0,13.0,51.2,16.1,32.1,10.7,78.2,65.6,46.7,54.6,28.1,,,,,,,,,,,,,,,,,,,,,
Castro,Jason,488771.0,2015,2916.0,10.0,51.4,24.1,35.1,16.4,75.1,74.0,37.7,46.2,28.5,,,,,,,,,,,,,,,,,,,,,
Iannetta,Chris,455104.0,2015,2456.0,9.0,48.9,28.3,44.1,14.8,75.1,63.3,37.6,45.7,23.3,,,,,,,,,,,,,,,,,,,,,
Flowers,Tyler,452095.0,2015,2876.0,9.0,50.4,9.6,35.3,11.9,69.8,67.6,41.6,54.8,32.1,,,,,,,,,,,,,,,,,,,,,
Molina,Yadier,425877.0,2015,3581.0,9.0,48.6,19.1,44.6,13.1,76.7,62.2,36.5,43.1,20.3,,,,,,,,,,,,,,,,,,,,,
d'Arnaud,Travis,518595.0,2015,2253.0,8.0,50.1,17.6,37.4,13.3,77.4,60.3,46.3,52.6,24.9,,,,,,,,,,,,,,,,,,,,,
Plawecki,Kevin,608700.0,2015,1831.0,8.0,51.9,11.8,41.8,6.2,76.5,69.2,41.7,53.4,29.1,,,,,,,,,,,,,,,,,,,,,
Zunino,Mike,572287.0,2015,2878.0,8.0,48.6,27.1,37.9,8.1,77.1,53.7,34.2,53.8,27.8,,,,,,,,,,,,,,,,,,,,,
Rivera,René,425784.0,2015,2507.0,7.0,49.3,23.7,35.3,5.7,80.2,59.3,48.0,50.4,21.7,,,,,,,,,,,,,,,,,,,,,
Hedges,Austin,595978.0,2015,1223.0,7.0,51.8,23.3,35.6,18.5,74.5,66.9,43.3,59.4,19.1,,,,,,,,,,,,,,,,,,,,,
Joseph,Caleb,543376.0,2015,2775.0,5.0,47.1,23.6,38.4,10.8,84.2,51.1,40.5,45.5,18.9,,,,,,,,,,,,,,,,,,,,,
Sucre,Jesús,491696.0,2015,1224.0,4.0,49.2,19.4,36.2,8.3,78.0,56.4,40.2,49.3,26.1,,,,,,,,,,,,,,,,,,,,,
Stewart,Chris,455755.0,2015,1133.0,4.0,51.1,4.1,39.1,13.7,72.1,63.0,47.7,55.3,31.1,,,,,,,,,,,,,,,,,,,,,
Maldonado,Martín,455117.0,2015,2066.0,3.0,48.5,15.8,30.6,16.7,77.7,62.8,37.6,48.6,29.7,,,,,,,,,,,,,,,,,,,,,
Lobatón,Jose,446653.0,2015,1099.0,3.0,52.0,20.0,28.0,13.7,80.0,61.3,49.4,51.8,35.9,,,,,,,,,,,,,,,,,,,,,
Ross,David,424325.0,2015,1326.0,3.0,52.3,22.4,30.2,6.0,76.0,68.2,39.3,49.1,32.9,,,,,,,,,,,,,,,,,,,,,
Wilson,Bobby,435064.0,2015,1293.0,3.0,47.2,23.9,38.3,14.8,79.7,56.9,30.9,50.3,22.7,,,,,,,,,,,,,,,,,,,,,
Corporán,Carlos,449786.0,2015,1004.0,2.0,48.2,25.0,41.0,8.2,78.7,54.5,48.6,46.5,19.1,,,,,,,,,,,,,,,,,,,,,
Barnhart,Tucker,571466.0,2015,2081.0,2.0,47.2,19.0,18.6,3.2,73.7,56.2,42.7,49.0,30.7,,,,,,,,,,,,,,,,,,,,,
