player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,sprint_speed,oaa,bat_speed,squared_up_rate,swing_length
"Ervin, Phillip",640447,2019,,,,,,,,,81,,,,,,,64,,,,
"Alford, Anthony",546990,2019,,,,,,,,,49,,,,,,,98,,,,
"Williams, Mason",592863,2019,,,,,,,,,38,,,,,,,53,,,,
"Yastrzemski, Mike",573262,2019,63.0,42.0,82.0,86.0,33.0,57.0,77.0,59.0,61,74.0,22.0,36.0,30.0,59.0,,65,85.0,,,
"Verdugo, Alex",657077,2019,57.0,92.0,57.0,33.0,67.0,22.0,29.0,55.0,79,52.0,93.0,29.0,90.0,47.0,,61,82.0,,,
"VanMeter, Josh",642165,2019,,,,,,,,,48,,,,,,,49,,,,
"Difo, Wilmer",594694,2019,,,,,,,,,27,,,,,,,72,,,,
"Clarke, Taylor",664199,2019,,,,,,,,,26,,,,,,,58,,,,
"Gutiérrez, Kelvin",642721,2019,,,,,,,,,75,,,,,,,63,,,,
"McCann, James",543510,2019,43.0,49.0,51.0,48.0,28.0,51.0,64.0,69.0,84,79.0,9.0,23.0,19.0,24.0,,36,,,,
"Peralta, David",444482,2019,20.0,29.0,16.0,18.0,34.0,19.0,24.0,67.0,90,60.0,59.0,45.0,52.0,14.0,,51,70.0,,,
"Avelino, Abiatal",623214,2019,,,,,,,,,27,,,,,,,69,,,,
"Gallen, Zac",668678,2019,,,,,,,,,24,,,,,,,3,,,,
"Stallings, Jacob",607732,2019,,,,,,,,,44,,,,,,,12,,,,
"Allen, Greg",656185,2019,,,,,,,,,43,,,,,,,92,,,,
"Bote, David",623520,2019,32.0,22.0,14.0,19.0,73.0,13.0,29.0,60.0,92,34.0,20.0,87.0,9.0,47.0,,66,72.0,,,
"Wieters, Matt",446308,2019,,,,,,,,,46,,,,,,,7,,,,
"Pérez, Hernán",541650,2019,,,,,,,,,82,,,,,,,57,29.0,,,
"Marte, Ketel",606466,2019,88.0,96.0,87.0,73.0,86.0,85.0,65.0,66.0,99,55.0,89.0,46.0,87.0,48.0,,73,22.0,,,
"Higashioka, Kyle",543309,2019,,,,,,,,,67,,,,,,,32,,,,
"Albies, Ozzie",645277,2019,68.0,86.0,71.0,57.0,69.0,67.0,36.0,41.0,76,23.0,80.0,36.0,65.0,17.0,,86,24.0,,,
"Torrens, Luis",620443,2019,,,,,,,,,28,,,,,,,29,,,,
"Knapp, Andrew",595284,2019,,,,,,,,,38,,,,,,,53,,,,
"Iglesias, Jose",578428,2019,6.0,63.0,8.0,4.0,13.0,11.0,7.0,2.0,55,4.0,91.0,2.0,93.0,1.0,,56,98.0,,,
"Kingery, Scott",664068,2019,32.0,29.0,42.0,47.0,18.0,43.0,51.0,32.0,79,48.0,8.0,27.0,13.0,33.0,,93,67.0,,,
"Wynns, Austin",642851,2019,,,,,,,,,43,,,,,,,17,,,,
"Gallo, Joey",608336,2019,,,,,,,,,97,,,,,,,69,,,,
"Spangenberg, Cory",605486,2019,,,,,,,,,45,,,,,,,93,,,,
"Braun, Ryan",460075,2019,57.0,65.0,65.0,61.0,49.0,65.0,66.0,90.0,82,84.0,58.0,25.0,48.0,15.0,,44,6.0,,,
"Peraza, José",606299,2019,13.0,65.0,9.0,4.0,30.0,1.0,2.0,3.0,66,7.0,86.0,4.0,89.0,20.0,,75,91.0,,,
"Segura, Jean",516416,2019,25.0,70.0,24.0,16.0,30.0,19.0,12.0,28.0,89,18.0,96.0,10.0,95.0,11.0,,65,8.0,,,
"Tauchman, Mike",643565,2019,,,,,,,,,70,,,,,,,72,,,,
"Berti, Jon",542932,2019,,,,,,,,,83,,,,,,,98,32.0,,,
"Márquez, Germán",608566,2019,,,,,,,,,36,,,,,,,11,,,,
"Davies, Zach",605200,2019,,,,,,,,,19,,,,,,,11,,,,
"Cozart, Zack",446359,2019,,,,,,,,,34,,,,,,,31,,,,
"Escobar, Eduardo",500871,2019,45.0,44.0,61.0,65.0,24.0,72.0,41.0,22.0,48,17.0,69.0,31.0,49.0,8.0,,67,17.0,,,
"Hilliard, Sam",656541,2019,,,,,,,,,93,,,,,,,93,,,,
