player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,xera,fb_velocity,fb_spin,curve_spin
"Speier, Gabe",642100,2024,,,,,,,,,57,,,,,,,,31.0,16.0,
"Payamps, Joel",606303,2024,47.0,55.0,24.0,12.0,62.0,54.0,16.0,32.0,2,12.0,67.0,53.0,63.0,51.0,,47.0,62.0,82.0,
"Gausman, Kevin",592332,2024,18.0,27.0,11.0,9.0,44.0,1.0,14.0,16.0,3,18.0,36.0,59.0,33.0,61.0,,18.0,47.0,57.0,
"O'Loughlin, Jack",672552,2024,,,,,,,,,58,,,,,,,,17.0,42.0,
"Jansen, Kenley",445276,2024,79.0,86.0,69.0,50.0,79.0,54.0,4.0,11.0,14,65.0,84.0,32.0,62.0,11.0,,79.0,35.0,55.0,
"Allen, Logan",663531,2024,,,,,,,,,77,,,,,,,,9.0,2.0,
"Gillaspie, Logan",670810,2024,,,,,,,,,29,,,,,,,,63.0,46.0,
"Gallegos, Giovanny",606149,2024,,,,,,,,,84,,,,,,,,21.0,67.0,
"Salazar, Eduardo",674285,2024,,,,,,,,,39,,,,,,,,56.0,9.0,
"Burr, Ryan",621114,2024,,,,,,,,,26,,,,,,,,51.0,32.0,
"Pérez, Cionel",672335,2024,68.0,75.0,93.0,97.0,24.0,91.0,89.0,65.0,5,84.0,21.0,8.0,35.0,14.0,,68.0,84.0,24.0,
"Megill, Tylor",656731,2024,39.0,55.0,49.0,43.0,39.0,38.0,12.0,47.0,58,17.0,79.0,27.0,74.0,67.0,,39.0,73.0,38.0,28.0
"Rodríguez, Joely",570257,2024,,,,,,,,,64,,,,,,,,5.0,2.0,
"Ashby, Aaron",676879,2024,,,,,,,,,41,,,,,,,,83.0,21.0,66.0
"Rainey, Tanner",663432,2024,3.0,53.0,3.0,1.0,7.0,36.0,1.0,3.0,68,15.0,19.0,4.0,54.0,25.0,,3.0,50.0,85.0,
"Koenig, Jared",657649,2024,66.0,67.0,66.0,64.0,55.0,61.0,43.0,81.0,26,75.0,56.0,39.0,24.0,29.0,,66.0,65.0,67.0,48.0
"Scherzer, Max",453286,2024,,,,,,,,,32,,,,,,,,26.0,63.0,73.0
"Soriano, George",666277,2024,,,,,,,,,26,,,,,,,,51.0,21.0,
"Fulmer, Carson",608334,2024,17.0,33.0,17.0,14.0,15.0,34.0,18.0,7.0,22,9.0,36.0,18.0,52.0,68.0,,17.0,31.0,51.0,71.0
"Gray, Josiah",680686,2024,,,,,,,,,74,,,,,,,,28.0,12.0,
