team,year,n_players,returning_count,new_count,current_war,returning_war,new_war,prev_returning_war,continuity_pct,war_continuity_pct,returner_delta,W,L,R,RA,pyth_winpct,pyth_exp_W,pyth_resid,prev_W,W_change,continuity_bin,avg_returner_delta
ANA,2001,16,9,7,13.6,17.9,-4.2,32.8,0.5625,1.310850439882698,-14.9,75,87,691.0,730.0,0.4749022057037149,76.93415732400182,-1.9341573240018164,82.0,-7.0,,-1.6555555555555557
ANA,2002,15,12,3,26.3,24.5,1.8,19.9,0.8,0.930117736422332,4.6,99,63,851.0,644.0,0.6248171468864459,101.22037779560422,-2.2203777956042217,75.0,24.0,>85% (stable),0.3833333333333333
ANA,2003,19,12,7,9.4,13.2,-3.8,26.8,0.631578947368421,1.397883597883598,-13.5,77,85,736.0,743.0,0.495669447150076,80.29845043831232,-3.298450438312315,99.0,-22.0,,-1.125
ANA,2004,18,12,6,19.4,14.1,5.3,13.8,0.6666666666666666,0.7262396694214877,0.3,92,70,836.0,734.0,0.5592500149096977,90.59850241537103,1.4014975846289701,77.0,15.0,70-85%,0.024999999999999998
ARI,2001,19,13,6,40.6,37.7,2.9,34.0,0.6842105263157895,0.9276396751169086,3.7,92,70,818.0,677.0,0.5857005538710865,94.88348972711601,-2.8834897271160145,85.0,7.0,>85% (stable),0.2846153846153846
ARI,2002,23,17,6,36.8,34.8,2.0,38.8,0.7391304347826086,0.9464091403699674,-4.0,98,64,819.0,674.0,0.5882129681852234,95.2905008460062,2.7094991539938036,92.0,6.0,>85% (stable),-0.23529411764705882
ARI,2003,21,13,8,30.9,19.5,11.4,27.7,0.6190476190476191,0.6314258001939864,-8.1,84,78,717.0,685.0,0.5208759354254583,84.38190153892424,-0.3819015389242395,98.0,-14.0,50-70%,-0.6230769230769231
ARI,2004,21,9,12,4.0,3.5,0.5,14.8,0.42857142857142855,0.8703241895261846,-11.3,51,111,615.0,899.0,0.3329707603822985,53.94126318193236,-2.9412631819323565,84.0,-33.0,>85% (stable),-1.2555555555555555
ARI,2005,17,7,10,33.5,14.0,19.5,4.0,0.4117647058823529,0.41841004184100417,10.0,77,85,696.0,856.0,0.4064489448715097,65.84472906918457,11.155270930815433,51.0,26.0,30-50%,1.4285714285714286
ARI,2006,19,7,12,30.0,15.9,14.1,18.2,0.3684210526315789,0.5306871247498333,-2.3,76,86,773.0,788.0,0.49120819488014283,79.57572757058314,-3.5757275705831404,77.0,-1.0,50-70%,-0.32857142857142857
ARI,2007,20,11,9,22.8,24.4,-1.7,21.1,0.55,1.0738137082601054,3.3,90,72,712.0,732.0,0.48732877303561095,78.94726123176898,11.052738768231023,76.0,14.0,,0.3
ARI,2008,21,15,6,40.1,26.4,13.7,26.7,0.7142857142857143,0.6581963129048332,-0.3,82,80,720.0,706.0,0.5089824918159174,82.4551636741786,-0.4551636741786069,90.0,-8.0,50-70%,-0.02
ARI,2009,21,14,7,20.9,21.7,-0.8,24.6,0.6666666666666666,1.0388489208633094,-2.9,70,92,720.0,782.0,0.4622806843975823,74.88947087240834,-4.889470872408339,82.0,-12.0,,-0.20714285714285713
ARI,2010,19,10,9,16.3,11.7,4.6,20.9,0.5263157894736842,0.7184049079754602,-9.2,65,97,713.0,836.0,0.42770047769735037,69.28747738697076,-4.287477386970764,70.0,-5.0,70-85%,-0.9199999999999999
ARI,2011,21,7,14,25.8,28.0,-2.2,14.8,0.3333333333333333,1.0868217054263565,13.2,94,68,731.0,662.0,0.5452361335456631,88.32825363439743,5.671746365602573,65.0,29.0,,1.8857142857142857
ARI,2012,21,10,11,31.2,24.6,6.6,23.1,0.47619047619047616,0.7890524967989757,1.6,81,81,734.0,688.0,0.5295749233458158,85.79113758202216,-4.791137582022159,94.0,-13.0,70-85%,0.16
ARI,2013,21,10,11,20.4,18.3,2.1,23.5,0.47619047619047616,0.8970083374203041,-5.2,81,81,685.0,695.0,0.4933698378075942,79.92591372483025,1.0740862751697478,81.0,0.0,>85% (stable),-0.52
ARI,2014,20,10,10,8.0,11.7,-3.7,16.5,0.5,1.458955223880597,-4.8,64,98,615.0,742.0,0.4149497372563035,67.22185743552117,-3.221857435521173,81.0,-17.0,,-0.48
ARI,2015,17,10,7,24.5,21.9,2.7,4.6,0.5882352941176471,0.8914728682170543,17.2,79,83,720.0,713.0,0.5044695605983238,81.72406881692847,-2.7240688169284653,64.0,15.0,>85% (stable),1.72
ARI,2016,19,10,9,27.0,17.0,10.0,12.5,0.5263157894736842,0.6288468668891362,4.5,69,93,752.0,890.0,0.42352295534092793,68.61071876523033,0.389281234769669,79.0,-10.0,50-70%,0.45
ARI,2017,23,11,12,44.2,29.0,15.3,22.3,0.4782608695652174,0.6549072817729534,6.7,93,69,812.0,659.0,0.5943702283954777,96.28797700006739,-3.287977000067386,69.0,24.0,50-70%,0.6090909090909091
ARI,2018,20,12,8,35.1,35.1,-0.0,31.0,0.6,1.0008556759840275,4.1,82,80,693.0,644.0,0.5334988002328822,86.42680563772691,-4.426805637726915,93.0,-11.0,,0.3416666666666666
ARI,2019,18,8,10,26.5,23.4,3.2,11.3,0.4444444444444444,0.8804675716440423,12.1,85,77,813.0,743.0,0.5410981092098549,87.65789369199649,-2.6578936919964917,82.0,3.0,>85% (stable),1.5125
ARI,2020,13,8,5,4.2,3.8,0.5,23.4,0.6153846153846154,0.8891509433962264,-19.6,25,35,269.0,295.0,0.45788922425466433,27.47335345527986,-2.4733534552798595,85.0,-60.0,>85% (stable),-2.45
ARI,2021,19,9,10,5.1,11.2,-6.0,4.6,0.47368421052631576,2.181996086105675,6.5,52,110,679.0,893.0,0.3772218735790169,61.10994351980074,-9.109943519800737,25.0,27.0,,0.7222222222222222
ARI,2022,20,8,12,-0.5,10.3,-10.8,10.5,0.4,0.0,-0.2,74,88,702.0,740.0,0.47590075980712004,77.09592308875345,-3.0959230887534517,52.0,22.0,,-0.025
ARI,2023,18,10,8,19.3,16.5,2.8,3.5,0.5555555555555556,0.8556647697878945,13.0,84,78,746.0,761.0,0.49089320808475034,79.52469970972956,4.4753002902704395,74.0,10.0,>85% (stable),1.3
ARI,2024,19,10,9,24.8,18.4,6.4,22.1,0.5263157894736842,0.7408303103587263,-3.7,89,73,886.0,788.0,0.5534229321031847,89.65451500071592,-0.654515000715918,84.0,5.0,70-85%,-0.37
ARI,2025,17,11,6,11.0,18.8,-7.7,14.5,0.6470588235294118,1.703266787658802,4.3,80,82,791.0,785.0,0.5034834630064319,81.56432100704197,-1.5643210070419684,89.0,-9.0,,0.3909090909090909
ATL,2001,21,12,9,28.5,31.1,-2.6,39.8,0.5714285714285714,1.0911002102312544,-8.6,88,74,729.0,643.0,0.5571782984590293,90.26288435036275,-2.2628843503627536,95.0,-7.0,,-0.7166666666666667
