team,year,total_war,bat_war,pit_war,actual_w
LAN,2021,80.5,48.6,32.0,106
SFN,2021,77.5,44.9,32.6,107
MIL,2021,64.7,32.8,31.9,95
ATL,2023,62.6,43.0,19.6,104
LAN,2022,61.6,31.6,30.0,111
TOR,2021,59.6,36.2,23.4,91
HOU,2022,59.1,23.8,35.3,106
TOR,2022,59.0,28.8,30.2,92
ATL,2021,58.2,34.9,23.3,88
PHI,2025,57.9,28.7,29.3,96
NYA,2022,57.7,27.1,30.6,99
NYN,2022,56.6,24.2,32.4,101
ATL,2022,55.6,19.5,36.1,101
NYA,2025,55.6,30.0,25.6,94
LAN,2025,55.5,27.2,28.3,93
TEX,2023,54.8,31.2,23.5,90
HOU,2021,53.1,27.9,25.2,95
BOS,2021,52.9,30.3,22.6,92
SEA,2025,52.4,27.3,25.1,90
SLN,2022,51.8,24.2,27.6,93
PHI,2021,51.4,28.9,22.4,82
SDN,2022,50.9,26.3,24.6,89
CHA,2021,49.9,17.9,32.0,93
CHN,2025,48.9,27.4,21.5,92
OAK,2021,48.8,24.9,23.9,86
LAN,2024,48.7,29.2,19.5,98
TBA,2021,48.6,25.8,22.7,100
LAN,2023,48.5,31.1,17.3,100
SDN,2021,48.4,31.5,16.9,79
PHI,2022,48.1,16.4,31.6,87
PHI,2024,47.7,19.3,28.4,95
ARI,2024,47.6,24.8,22.8,89
TBA,2023,47.3,20.6,26.7,99
NYN,2025,47.1,24.7,22.4,83
CIN,2021,46.8,32.4,14.4,83
BAL,2024,46.6,21.4,25.2,91
PHI,2023,46.2,21.6,24.6,90
SDN,2024,45.6,16.9,28.7,93
CHN,2023,45.6,26.0,19.6,83
TOR,2023,45.4,22.7,22.7,89
HOU,2023,43.8,24.3,19.5,90
NYA,2024,43.7,22.2,21.6,94
SEA,2023,43.1,18.2,24.9,88
KCA,2024,43.0,15.2,27.9,86
MIL,2025,42.8,18.6,24.2,97
SLN,2021,42.8,30.6,12.2,90
COL,2021,42.8,29.3,13.4,74
BAL,2023,42.7,18.7,23.9,101
ATL,2024,42.6,8.4,34.2,89
NYA,2021,42.5,16.1,26.4,92
HOU,2024,41.8,17.2,24.6,88
NYN,2021,41.4,18.4,23.0,77
SDN,2025,40.9,20.5,20.4,90
CLE,2022,40.9,11.3,29.6,92
TOR,2025,39.9,22.8,17.0,94
SEA,2024,39.7,12.8,26.9,85
MIL,2022,39.0,13.3,25.7,86
MIN,2023,39.0,13.6,25.4,87
MIL,2024,38.4,19.8,18.7,93
SDN,2023,37.7,15.6,22.1,82
NYN,2024,37.2,17.3,19.9,89
MIN,2024,37.1,13.6,23.4,82
DET,2025,36.8,14.7,22.1,87
SFN,2022,36.5,5.4,31.1,81
CHN,2024,36.3,17.3,19.0,83
ARI,2023,35.7,19.3,16.4,84
BOS,2025,35.6,11.9,23.7,89
TEX,2025,35.3,5.4,29.9,81
BOS,2024,34.5,13.8,20.7,81
SEA,2022,33.9,6.4,27.5,90
CHA,2022,33.7,8.8,24.9,81
SLN,2024,33.3,7.5,25.8,83
MIA,2023,31.3,10.8,20.6,84
MIN,2022,31.1,6.3,24.8,78
SFN,2025,31.0,9.5,21.6,81
HOU,2025,30.0,10.9,19.1,87
BOS,2022,29.6,12.3,17.3,78
KCA,2025,29.4,7.2,22.3,82
CLE,2024,29.0,10.0,19.0,92
TBA,2022,28.1,2.0,26.1,86
CIN,2025,27.8,6.4,21.4,83
ATL,2025,27.6,10.4,17.2,76
TBA,2025,27.2,6.5,20.7,77
KCA,2021,27.0,14.2,12.7,74
LAA,2021,26.6,8.6,18.0,77
SFN,2024,26.4,3.2,23.2,80
TEX,2024,25.7,10.7,15.1,78
MIL,2023,25.6,4.9,20.7,92
SLN,2025,24.6,8.5,16.1,78
BAL,2022,24.1,6.2,17.9,83
CLE,2025,23.8,2.4,21.4,88
BOS,2023,23.7,9.6,14.1,78
