team,year,total_war,bat_war,pit_war,actual_w
BRO,1950,32.940000000000005,31.980000000000004,0.9599999999999993,89
CIN,1950,15.089999999999998,14.45,0.6399999999999996,66
CHA,1950,4.96,4.59,0.37000000000000033,60
SLA,1950,11.120000000000003,15.070000000000002,-3.9499999999999997,58
PHI,1950,32.87,26.669999999999998,6.2,91
PHA,1950,2.2399999999999993,10.04,-7.8,52
CLE,1950,33.88,30.34,3.5399999999999996,92
BOS,1950,36.099999999999994,38.41,-2.3099999999999996,94
NYA,1950,37.03,34.77,2.26,98
PIT,1950,11.539999999999997,13.209999999999997,-1.6700000000000004,57
BSN,1950,27.640000000000004,26.380000000000003,1.26,83
CHN,1950,14.580000000000002,13.380000000000003,1.2000000000000002,64
SLN,1950,25.829999999999995,21.509999999999994,4.32,78
NY1,1950,30.110000000000003,28.310000000000002,1.7999999999999994,86
WS1,1950,18.21,18.42,-0.20999999999999996,67
DET,1950,34.1,31.92,2.18,95
BRO,1951,40.42,36.43,3.99,97
CIN,1951,17.22,9.379999999999999,7.84,68
BSN,1951,28.469999999999995,23.539999999999996,4.930000000000001,76
SLA,1951,-17.72,-9.25,-8.47,52
PHI,1951,28.52,21.35,7.169999999999999,73
PHA,1951,22.290000000000003,19.51,2.7800000000000002,70
CLE,1951,34.260000000000005,24.53,9.73,93
CHA,1951,32.98,25.019999999999996,7.96,81
PIT,1951,5.65,7.17,-1.5199999999999998,64
NYA,1951,36.52,26.01,10.51,98
CHN,1951,8.530000000000001,5.870000000000001,2.6600000000000006,62
SLN,1951,22.84,19.26,3.5799999999999996,81
DET,1951,22.14,17.54,4.6000000000000005,73
BOS,1951,32.51,24.899999999999995,7.61,87
WS1,1951,11.389999999999999,12.049999999999999,-0.6600000000000001,62
NY1,1951,33.13,28.46,4.67,98
CIN,1952,12.639999999999999,6.74,5.899999999999999,69
CHN,1952,22.020000000000003,12.93,9.090000000000002,77
BRO,1952,34.95,27.6,7.35,96
PHI,1952,44.620000000000005,30.25,14.370000000000001,87
PHA,1952,24.25,19.36,4.89,79
CLE,1952,39.230000000000004,28.89,10.34,93
WS1,1952,18.25,10.100000000000001,8.149999999999999,78
PIT,1952,-2.450000000000001,-1.8100000000000007,-0.6400000000000003,42
DET,1952,12.32,5.670000000000001,6.65,50
NYA,1952,37.36,28.810000000000002,8.55,95
SLA,1952,12.82,8.370000000000001,4.45,64
SLN,1952,28.550000000000004,20.67,7.880000000000001,88
BSN,1952,17.240000000000002,7.400000000000001,9.84,64
CHA,1952,32.620000000000005,20.850000000000005,11.77,81
NY1,1952,26.489999999999995,19.849999999999994,6.640000000000001,92
BOS,1952,12.25,8.64,3.6100000000000003,76
PIT,1953,4.09,5.7,-1.6099999999999999,50
CIN,1953,16.76,18.310000000000002,-1.55,68
ML1,1953,40.87,30.38,10.49,92
PHI,1953,33.160000000000004,25.42,7.740000000000001,83
PHA,1953,14.88,12.68,2.2000000000000006,59
CLE,1953,38.690000000000005,28.730000000000004,9.96,92
BOS,1953,23.18,15.29,7.89,84
DET,1953,18.37,17.75,0.6200000000000001,60
NYA,1953,39.78,30.21,9.57,99
CHN,1953,17.330000000000002,17.39,-0.059999999999999776,65
BRO,1953,48.480000000000004,42.89000000000001,5.59,105
CHA,1953,31.57,21.910000000000004,9.659999999999998,89
SLN,1953,40.040000000000006,34.17,5.870000000000001,83
WS1,1953,24.59,18.9,5.69,76
SLA,1953,10.64,8.040000000000001,2.5999999999999996,54
NY1,1953,25.66,25.73,-0.06999999999999995,70
ML1,1954,33.62,24.79,8.83,89
BAL,1954,9.93,4.29,5.640000000000001,54
CIN,1954,19.400000000000002,22.19,-2.79,74
BOS,1954,24.880000000000003,19.91,4.970000000000001,69
PIT,1954,13.149999999999999,11.159999999999998,1.99,53
SLN,1954,32.01,30.25,1.7599999999999993,72
BRO,1954,37.43000000000001,33.00000000000001,4.43,92
NY1,1954,33.18,27.189999999999998,5.989999999999999,97
PHI,1954,34.28,28.569999999999997,5.710000000000001,75
PHA,1954,-3.86,0.3100000000000008,-4.170000000000001,51
CLE,1954,46.779999999999994,31.609999999999996,15.17,111
CHN,1954,19.990000000000002,18.14,1.85,64
CHA,1954,37.459999999999994,25.029999999999998,12.43,94
NYA,1954,37.52,30.180000000000003,7.34,103
DET,1954,19.44,13.89,5.55,68
WS1,1954,29.53,21.110000000000003,8.42,66
ML1,1955,26.27,23.74,2.5300000000000002,85
BAL,1955,6.170000000000001,1.74,4.430000000000001,57
CHA,1955,33.6,22.970000000000002,10.629999999999999,91
BOS,1955,28.96,24.500000000000004,4.459999999999999,84
CLE,1955,36.7,24.950000000000003,11.75,93
BRO,1955,38.730000000000004,32.27,6.459999999999999,98
NY1,1955,17.12,13.99,3.130000000000001,80
SLN,1955,11.849999999999998,13.279999999999998,-1.4300000000000002,68
PHI,1955,27.29,21.27,6.0200000000000005,77
KC1,1955,-2.8400000000000007,5.55,-8.39,63
PIT,1955,5.300000000000001,1.6700000000000004,3.630000000000001,60
CHN,1955,6.549999999999998,7.329999999999998,-0.78,72
CIN,1955,28.990000000000002,24.180000000000003,4.81,75
NYA,1955,23.269999999999996,21.669999999999998,1.5999999999999994,96
DET,1955,27.479999999999997,22.409999999999997,5.07,79
WS1,1955,6.399999999999999,3.669999999999999,2.73,53
ML1,1956,30.530000000000005,23.400000000000006,7.129999999999999,92
BAL,1956,15.52,5.249999999999999,10.27,69
BRO,1956,32.36,25.919999999999998,6.4399999999999995,93
NY1,1956,17.630000000000003,11.680000000000001,5.949999999999999,67
CHA,1956,37.72,27.79,9.93,85
PHI,1956,23.629999999999995,17.839999999999996,5.79,71
CLE,1956,32.54,21.869999999999997,10.67,88
CIN,1956,39.55000000000001,31.850000000000005,7.700000000000003,91
CHN,1956,7.140000000000001,7.61,-0.47,60
NYA,1956,29.659999999999997,24.629999999999995,5.029999999999999,97
KC1,1956,-3.84,5.0,-8.84,52
DET,1956,31.560000000000002,28.770000000000003,2.79,82
WS1,1956,-1.0199999999999996,9.57,-10.59,59
SLN,1956,21.86,17.8,4.0600000000000005,76
BOS,1956,29.26,27.73,1.53,84
PIT,1956,16.830000000000002,9.950000000000001,6.88,66
ML1,1957,32.74,26.12,6.62,95
