inning,is_bot,outs,score_diff,bases_idx,wins,total,win_rate
1,0,0,0,0,11944,22794,0.5239975432131263
1,0,0,0,1,2955,5293,0.5582845267334215
1,0,0,0,2,638,1083,0.5891043397968606
1,0,0,0,3,775,1240,0.625
1,0,0,0,4,79,133,0.5939849624060151
1,0,0,0,5,314,505,0.6217821782178218
1,0,0,0,6,17,28,0.6071428571428571
1,0,0,0,7,165,238,0.6932773109243697
1,0,0,1,0,464,724,0.6408839779005525
1,0,0,1,1,327,480,0.68125
1,0,0,1,2,34,60,0.5666666666666667
1,0,0,1,3,157,213,0.7370892018779343
1,0,0,1,4,8,12,0.6666666666666666
1,0,0,1,5,93,127,0.7322834645669292
1,0,0,1,6,10,10,1.0
1,0,0,1,7,66,86,0.7674418604651163
1,0,0,2,0,153,197,0.7766497461928934
1,0,0,2,1,92,118,0.7796610169491526
1,0,0,2,2,12,14,0.8571428571428571
1,0,0,2,3,40,51,0.7843137254901961
1,0,0,2,4,2,3,0.6666666666666666
1,0,0,2,5,30,37,0.8108108108108109
1,0,0,2,6,4,5,0.8
1,0,0,2,7,20,25,0.8
1,0,0,3,0,58,75,0.7733333333333333
1,0,0,3,1,22,29,0.7586206896551724
1,0,0,3,2,5,5,1.0
1,0,0,3,3,16,18,0.8888888888888888
1,0,0,3,5,10,13,0.7692307692307693
1,0,0,3,7,8,8,1.0
1,0,0,4,0,28,29,0.9655172413793104
1,0,0,4,1,17,19,0.8947368421052632
1,0,0,4,2,2,2,1.0
1,0,0,4,3,7,10,0.7
1,0,0,4,5,1,1,1.0
1,0,0,4,7,2,2,1.0
1,0,0,5,0,5,5,1.0
1,0,0,5,1,2,2,1.0
1,0,0,5,3,2,2,1.0
1,0,0,6,0,1,1,1.0
1,0,0,7,0,1,1,1.0
1,0,0,7,1,2,2,1.0
1,0,1,0,0,7829,15601,0.501826805973976
1,0,1,0,1,3655,6914,0.5286375470060747
1,0,1,0,2,789,1491,0.5291750503018109
1,0,1,0,3,1237,2183,0.5666513971598718
1,0,1,0,4,215,357,0.6022408963585434
1,0,1,0,5,548,910,0.6021978021978022
1,0,1,0,6,62,113,0.5486725663716814
1,0,1,0,7,349,525,0.6647619047619048
1,0,1,1,0,618,1040,0.5942307692307692
1,0,1,1,1,735,1172,0.6271331058020477
1,0,1,1,2,102,166,0.6144578313253012
1,0,1,1,3,324,486,0.6666666666666666
1,0,1,1,4,28,39,0.717948717948718
1,0,1,1,5,238,347,0.6858789625360231
1,0,1,1,6,35,50,0.7
1,0,1,1,7,150,194,0.7731958762886598
1,0,1,2,0,335,470,0.7127659574468085
1,0,1,2,1,293,393,0.7455470737913485
1,0,1,2,2,49,62,0.7903225806451613
1,0,1,2,3,139,193,0.7202072538860104
1,0,1,2,4,4,6,0.6666666666666666
1,0,1,2,5,111,136,0.8161764705882353
1,0,1,2,6,19,22,0.8636363636363636
1,0,1,2,7,54,69,0.782608695652174
1,0,1,3,0,140,194,0.7216494845360825
1,0,1,3,1,115,143,0.8041958041958042
1,0,1,3,2,22,22,1.0
1,0,1,3,3,41,51,0.803921568627451
1,0,1,3,4,5,9,0.5555555555555556
1,0,1,3,5,40,47,0.851063829787234
1,0,1,3,6,2,2,1.0
1,0,1,3,7,19,25,0.76
1,0,1,4,0,53,60,0.8833333333333333
1,0,1,4,1,48,53,0.9056603773584906
1,0,1,4,2,13,13,1.0
1,0,1,4,3,11,21,0.5238095238095238
1,0,1,4,4,4,4,1.0
1,0,1,4,5,19,21,0.9047619047619048
1,0,1,4,6,1,1,1.0
1,0,1,4,7,8,9,0.8888888888888888
1,0,1,5,0,19,19,1.0
1,0,1,5,1,12,12,1.0
1,0,1,5,2,2,2,1.0
1,0,1,5,3,5,7,0.7142857142857143
1,0,1,5,5,5,5,1.0
1,0,1,5,7,4,4,1.0
1,0,1,6,0,6,7,0.8571428571428571
1,0,1,6,1,5,5,1.0
