inning,is_bot,outs,score_diff,bases_idx,wins,total,win_rate
1,0,0,0,0,10467,22407,0.4671308073369929
1,0,0,0,1,2647,5203,0.5087449548337497
1,0,0,0,2,571,1059,0.5391879131255902
1,0,0,0,3,682,1212,0.5627062706270627
1,0,0,0,4,74,131,0.5648854961832062
1,0,0,0,5,285,492,0.5792682926829268
1,0,0,0,6,16,28,0.5714285714285714
1,0,0,0,7,136,228,0.5964912280701754
1,0,0,1,0,415,707,0.5869872701555869
1,0,0,1,1,303,467,0.6488222698072805
1,0,0,1,2,31,60,0.5166666666666667
1,0,0,1,3,141,210,0.6714285714285714
1,0,0,1,4,7,12,0.5833333333333334
1,0,0,1,5,81,125,0.648
1,0,0,1,6,8,10,0.8
1,0,0,1,7,58,84,0.6904761904761905
1,0,0,2,0,134,192,0.6979166666666666
1,0,0,2,1,86,115,0.7478260869565218
1,0,0,2,2,10,14,0.7142857142857143
1,0,0,2,3,33,49,0.673469387755102
1,0,0,2,4,2,3,0.6666666666666666
1,0,0,2,5,27,37,0.7297297297297297
1,0,0,2,6,4,5,0.8
1,0,0,2,7,15,24,0.625
1,0,0,3,0,55,74,0.7432432432432432
1,0,0,3,1,20,29,0.6896551724137931
1,0,0,3,2,5,5,1.0
1,0,0,3,3,16,18,0.8888888888888888
1,0,0,3,5,10,13,0.7692307692307693
1,0,0,3,7,7,8,0.875
1,0,0,4,0,26,29,0.896551724137931
1,0,0,4,1,15,19,0.7894736842105263
1,0,0,4,2,2,2,1.0
1,0,0,4,3,6,10,0.6
1,0,0,4,5,0,1,0.0
1,0,0,4,7,2,2,1.0
1,0,0,5,0,5,5,1.0
1,0,0,5,1,2,2,1.0
1,0,0,5,3,2,2,1.0
1,0,0,6,0,1,1,1.0
1,0,0,7,0,1,1,1.0
1,0,0,7,1,2,2,1.0
1,0,1,0,0,6792,15347,0.4425620642470841
1,0,1,0,1,3275,6803,0.48140526238424225
1,0,1,0,2,707,1468,0.4816076294277929
1,0,1,0,3,1126,2149,0.5239646347138204
1,0,1,0,4,196,354,0.5536723163841808
1,0,1,0,5,496,896,0.5535714285714286
1,0,1,0,6,54,112,0.48214285714285715
1,0,1,0,7,305,506,0.6027667984189723
1,0,1,1,0,554,1023,0.541544477028348
1,0,1,1,1,682,1148,0.5940766550522648
1,0,1,1,2,84,162,0.5185185185185185
1,0,1,1,3,297,478,0.6213389121338913
1,0,1,1,4,27,39,0.6923076923076923
1,0,1,1,5,209,340,0.6147058823529412
1,0,1,1,6,30,48,0.625
1,0,1,1,7,133,188,0.7074468085106383
1,0,1,2,0,290,463,0.6263498920086393
1,0,1,2,1,268,389,0.6889460154241646
1,0,1,2,2,45,61,0.7377049180327869
1,0,1,2,3,126,188,0.6702127659574468
1,0,1,2,4,4,6,0.6666666666666666
1,0,1,2,5,103,133,0.7744360902255639
1,0,1,2,6,18,22,0.8181818181818182
1,0,1,2,7,46,67,0.6865671641791045
1,0,1,3,0,132,191,0.6910994764397905
1,0,1,3,1,113,141,0.8014184397163121
1,0,1,3,2,21,21,1.0
1,0,1,3,3,41,50,0.82
1,0,1,3,4,5,8,0.625
1,0,1,3,5,39,47,0.8297872340425532
1,0,1,3,6,2,2,1.0
1,0,1,3,7,19,25,0.76
1,0,1,4,0,51,59,0.864406779661017
1,0,1,4,1,47,52,0.9038461538461539
1,0,1,4,2,13,13,1.0
1,0,1,4,3,11,21,0.5238095238095238
1,0,1,4,4,3,4,0.75
1,0,1,4,5,15,21,0.7142857142857143
1,0,1,4,6,1,1,1.0
1,0,1,4,7,8,9,0.8888888888888888
1,0,1,5,0,17,18,0.9444444444444444
1,0,1,5,1,11,12,0.9166666666666666
