game_id,pit_mgr_id,pit_mgr_name,inning,bat_bot,outs,score_diff_bat,bases_idx,LI,mid_inning_change,pulled_pitcher,new_pitcher
ANA202404050,washr001,Ron Washington,5,0,2,4,5,0.9021398,True,canng001,suarj001
ANA202404050,coraa001,Alex Cora,5,1,2,-3,7,4.502531,True,crawk001,weisg001
ANA202404050,washr001,Ron Washington,6,0,2,4,3,0.6224168,True,suarj001,garcl005
ANA202404050,coraa001,Alex Cora,6,1,0,-4,0,0.7985382,False,weisg001,wincj001
ANA202404050,washr001,Ron Washington,7,0,0,-1,0,1.803161,False,garcl005,sorij002
ANA202404050,coraa001,Alex Cora,7,1,0,0,0,1.6750934,False,wincj001,martc007
ANA202404050,coraa001,Alex Cora,8,1,0,0,0,1.8515565,False,martc007,campi001
ANA202404050,coraa001,Alex Cora,9,1,0,-1,0,2.424624,False,campi001,jansk001
ANA202404060,coraa001,Alex Cora,5,1,1,-1,3,2.9910705,True,whitg002,weisg001
ANA202404060,coraa001,Alex Cora,6,1,2,-1,3,3.3185174,True,weisg001,campi001
ANA202404060,washr001,Ron Washington,7,0,0,-1,0,1.803161,False,detmr001,cimba001
ANA202404060,coraa001,Alex Cora,7,1,0,1,0,0.83222365,False,campi001,slatj002
ANA202404060,washr001,Ron Washington,8,0,0,-1,0,2.0514884,False,cimba001,moorm003
ANA202404060,washr001,Ron Washington,9,0,0,-1,0,2.0383484,False,moorm003,estec001
ANA202404070,washr001,Ron Washington,6,0,0,3,0,0.5663887,False,silsc001,cisnj001
ANA202404070,washr001,Ron Washington,6,0,1,4,3,0.6676045,True,cisnj001,suarj001
ANA202404070,coraa001,Alex Cora,7,1,0,-7,0,0.1957194,False,houct001,andec001
ANA202404070,washr001,Ron Washington,9,0,2,7,7,0.0335998,True,suarj001,zunig001
ANA202404070,washr001,Ron Washington,9,0,2,10,7,0.0,True,zunig001,sanom001
ANA202404080,cashk001,Kevin Cash,6,1,0,5,0,0.08699854,False,efliz001,waguj001
ANA202404080,washr001,Ron Washington,8,0,0,-6,1,0.34333533,True,andet002,cimba001
ANA202404080,washr001,Ron Washington,9,0,0,-7,0,0.0007814998,False,cimba001,strih001
ANA202404090,washr001,Ron Washington,6,0,0,1,0,0.78943825,False,sandp002,garcl005
ANA202404090,cashk001,Kevin Cash,6,1,0,-1,0,2.0770044,False,civaa001,matop002
ANA202404090,washr001,Ron Washington,7,0,0,1,0,1.143129,False,garcl005,cisnj001
ANA202404090,cashk001,Kevin Cash,7,1,0,-2,0,1.3018894,False,matop002,pochc001
ANA202404090,washr001,Ron Washington,8,0,0,2,0,0.5002836,False,cisnj001,strih001
ANA202404090,cashk001,Kevin Cash,8,1,0,-3,0,1.0514262,False,pochc001,adamj002
ANA202404090,washr001,Ron Washington,9,0,0,3,0,0.06654587,False,strih001,fulmc001
ANA202404090,cashk001,Kevin Cash,9,1,0,-3,0,0.73915297,False,adamj002,fairp001
ANA202404100,washr001,Ron Washington,5,0,0,1,0,0.8777502,False,sorij002,cimba001
