year,game_id,inning,is_home_batting,outs,score_diff_bat,bases_idx,wp_bat,wp_post,dWP,LI,batter_name,pitcher_name,event_raw,event_simple
2023,BOS202304010,9,1,2,-2,1,0.03715109,1.0,0.9628489,1.5344992,Adam Duvall,Felix Bautista,HR/L7D.1-H(UR);B-H(UR),HR
2016,TEX201607250,9,1,2,-2,1,0.03715109,1.0,0.9628489,1.5344992,Adrian Beltre,Ryan Madson,HR/F78XD+.1-H,HR
2018,CHN201808120,9,1,2,-3,7,0.06398817,1.0,0.93601185,2.4414957,David Bote,Ryan Madson,HR/F8LXD+.3-H;2-H;1-H,HR
2021,ARI202110030,9,1,2,-1,0,0.065521054,1.0,0.93447894,2.3680944,Josh VanMeter,Carlos Estevez,HR/F9LD,HR
2016,NYA201604230,9,1,2,-1,0,0.065521054,1.0,0.93447894,2.3680944,Brett Gardner,Erasmo Ramirez,HR/F9D+,HR
2016,NYA201609080,9,1,2,-1,0,0.065521054,1.0,0.93447894,2.3680944,Tyler Austin,Erasmo Ramirez,HR/F89D+,HR
2023,PHI202306090,9,1,2,-1,0,0.065521054,1.0,0.93447894,2.3680944,Kyle Schwarber,Caleb Ferguson,HR/F9LD,HR
2018,TBA201808070,9,1,2,-1,0,0.065521054,1.0,0.93447894,2.3680944,Willy Adames,Miguel Castro,HR/F7LD+,HR
2019,ANA201905260,9,0,2,1,4,0.9255085,0.0,-0.9255085,2.5607176,Hunter Pence,Justin Anderson,K,K
2015,MIN201508010,9,1,2,-2,3,0.075401366,1.0,0.92459863,2.7814302,Kurt Suzuki,Carson Smith,S7/G56.3-H,HIT
2022,OAK202205141,9,1,2,-2,3,0.075401366,1.0,0.92459863,2.7814302,Luis Barrera,Raisel Iglesias,HR/F9D.2-H;1-H,HR
2016,SEA201607180,9,1,2,-2,3,0.075401366,1.0,0.92459863,2.7814302,Adam Lind,David Robertson,HR/F89XD+.2-H;1-H,HR
2016,LAN201606220,9,1,1,-2,1,0.08449797,1.0,0.915502,1.8716083,Yasiel Puig,Shawn Kelley,S8/G6+.1-H(E8)(UR)(NR);B-H(UR)(NR),HIT
2023,SFN202304250,9,1,2,-2,2,0.10199936,1.0,0.89800066,2.6532102,Blake Sabol,Ryan Helsley,HR/F8XD.2-H,HR
2018,WAS201808220,9,1,2,-2,2,0.10199936,1.0,0.89800066,2.6532102,Ryan Zimmerman,Seranthony Dominguez,HR/F9D+.2-H,HR
2021,BOS202104060,12,1,2,-2,1,0.10514786,1.0,0.89485216,3.7219322,J. D. Martinez,Ryan Thompson,D9/L9D.3-H(UR);2-H,HIT
2018,COL201808110,9,1,2,-2,5,0.10645519,1.0,0.8935448,3.149481,Ryan McMahon,J. T. Chargois,HR/F9D+.3-H;1-H,HR
2015,ANA201508050,9,1,2,-2,7,0.11721992,1.0,0.8827801,5.3310127,C. J. Cron,Cody Allen,S8/L8RM+.3-H;2-H;1-3,HIT
2021,PIT202107170,9,1,2,-2,7,0.11721992,1.0,0.8827801,5.3310127,Jacob Stallings,Edwin Diaz,HR/F7LD.3-H;2-H;1-H,HR
2024,SEA202408080,9,1,2,-2,7,0.11721992,1.0,0.8827801,5.3310127,Mitch Haniger,Will Vest,D8/L89.3-H;2-H;1-H,HIT
2018,TBA201807220,9,1,2,-2,7,0.11721992,1.0,0.8827801,5.3310127,Daniel Robertson,Kyle Barraclough,HR/F78D+.3-H;2-H;1-H,HR
2018,ANA201807060,9,1,2,-1,1,0.1213998,1.0,0.8786002,4.16802,Ian Kinsler,Kenley Jansen,S9/F9LM.1-H(UR)(NR)(E9),HIT
2020,ATL202008170,9,1,2,-1,1,0.1213998,1.0,0.8786002,4.16802,Dansby Swanson,Daniel Hudson,HR/F8XD.1-H,HR
2017,BAL201709050,9,1,2,-1,1,0.1213998,1.0,0.8786002,4.16802,Manny Machado,Dellin Betances,HR/F8LXD+.1-H,HR
2019,BAL201908110,9,1,2,-1,1,0.1213998,1.0,0.8786002,4.16802,Rio Ruiz,Roberto Osuna,HR/F9D+.1-H,HR
