playerID,name,years,PA,WPA,clutch_WPA
harpebr03,Bryce Harper,10,5598,37.46701,18.558449
troutmi01,Mike Trout,10,4452,33.358936,14.287481
freemfr01,Freddie Freeman,10,6120,32.739952,14.057743
goldspa01,Paul Goldschmidt,10,6327,31.871786,11.227243
bettsmo01,Mookie Betts,10,6063,30.959448,13.229031
judgeaa01,Aaron Judge,9,4318,28.134876,10.945927
arenano01,Nolan Arenado,10,6093,26.65028,9.864924
rizzoan01,Anthony Rizzo,10,5507,24.268066,13.25142
sotoju01,Juan Soto,7,4088,23.475965,7.4832144
yelicch01,Christian Yelich,10,5443,22.150476,8.217467
ramirjo01,Jose Ramirez,10,5808,21.590631,7.122651
vottojo01,Joey Votto,9,4685,20.735806,8.317677
acunaro01,Ronald Acuña,7,3251,19.904459,6.6438966
ohtansh01,Shohei Ohtani,7,3593,19.696585,8.801723
seageco01,Corey Seager,10,4444,19.389511,7.6292815
donaljo02,Josh Donaldson,9,4167,19.047403,10.475471
lindofr01,Francisco Lindor,10,6117,18.420294,12.019253
blackch02,Charlie Blackmon,10,5694,18.10771,8.48434
olsonma02,Matt Olson,9,4474,17.933456,7.025475
abreujo02,Jose Abreu,10,5600,16.303095,3.8159955
alvaryo01,Yordan Alvarez,6,2667,16.267221,7.5575247
deverra01,Rafael Devers,8,4216,15.907623,4.202388
machama01,Manny Machado,10,6253,15.79581,5.3314843
turneju01,Justin Turner,10,5060,15.746188,4.3678703
altuvjo01,Jose Altuve,10,5800,15.392122,4.5300446
cruzne02,Nelson Cruz,9,4527,15.390774,4.839706
bregmal01,Alex Bregman,9,4832,14.933057,6.6527166
schwaky01,Kyle Schwarber,10,4661,14.918248,2.0638885
correca01,Carlos Correa,10,4758,14.448988,4.6372347
rendoan01,Anthony Rendon,10,3944,13.934991,8.274743
guerrvl02,Vladimir Guerrero,6,3540,13.747317,6.8990545
martijd02,J. D. Martinez,10,5401,13.268188,-0.3061086
ozunama01,Marcell Ozuna,10,5218,12.643193,2.3461626
stantmi03,Giancarlo Stanton,10,4254,12.343854,1.4950831
tatisfe02,Fernando Tatis,5,2249,12.325206,4.095936
bogaexa01,Xander Bogaerts,10,5875,12.260406,5.880983
lemahdj01,DJ LeMahieu,10,5396,12.082895,6.6144905
carpema01,Matt Carpenter,10,3988,11.925141,4.7907763
nimmobr01,Brandon Nimmo,9,3712,11.863712,6.0592732
suareeu01,Eugenio Suarez,10,5694,11.67977,2.260738
pederjo01,Joc Pederson,10,4259,11.494425,3.1943448
