playerID,name,years,BF,WPA,clutch_WPA
scherma01,Max Scherzer,10,6490,31.65637,13.378901
kershcl01,Clayton Kershaw,10,5322,27.462986,12.812177
degroja01,Jacob deGrom,10,4813,26.842113,9.813647
verlaju01,Justin Verlander,9,5719,24.412113,7.9606996
colege01,Gerrit Cole,10,6820,23.454659,14.211839
salech01,Chris Sale,9,5177,18.065641,5.8487606
wheelza01,Zack Wheeler,8,5279,16.375124,4.6177998
greinza01,Zack Greinke,9,6108,16.171425,8.566544
snellbl01,Blake Snell,9,4536,16.078217,11.813868
janseke01,Kenley Jansen,10,2301,15.2619705,12.293751
haderjo01,Josh Hader,8,1806,12.626663,9.755031
nolaaa01,Aaron Nola,10,6635,12.34359,5.3858457
melanma01,Mark Melancon,8,1758,12.175678,9.228376
grayso01,Sonny Gray,10,6036,11.806483,4.070875
burneco01,Corbin Burnes,7,3649,11.594274,3.5747604
biebesh01,Shane Bieber,7,3414,11.4611435,5.0429873
chapmar01,Aroldis Chapman,10,2117,11.30113,9.601212
friedma01,Max Fried,8,3613,11.2013645,6.221047
hendrky01,Kyle Hendricks,10,6195,11.160942,7.1274385
klubeco01,Corey Kluber,9,4824,11.069881,2.5151758
galleza01,Zac Gallen,6,3328,10.992693,4.426725
mortoch02,Charlie Morton,10,5804,10.839178,6.7061806
lestejo01,Jon Lester,7,4806,10.831603,8.26257
millean01,Andrew Miller,7,1375,10.763938,7.986187
riverfe01,Felipe Vazquez,5,1348,10.579232,10.295422
valdefr01,Framber Valdez,7,3680,10.549608,4.5172935
gausmke01,Kevin Gausman,10,6531,10.442306,8.51732
darviyu01,Yu Darvish,9,4745,10.431322,4.60019
brittza01,Zack Britton,8,1248,10.289255,7.7646155
bauertr01,Trevor Bauer,7,4644,10.068783,7.1895223
willide03,Devin Williams,6,951,9.671743,7.401125
strasst01,Stephen Strasburg,8,3348,9.648567,2.9878964
alcansa01,Sandy Alcantara,7,3680,9.506668,3.6272516
woodrbr01,Brandon Woodruff,7,2726,9.493833,3.9835086
watsoto01,Tony Watson,7,1646,9.397576,8.004438
martica04,Carlos Martinez,7,3608,9.0894375,8.525366
clevimi01,Mike Clevinger,8,3316,8.898869,6.093119
ohtansh01,Shohei Ohtani,5,1949,8.873149,4.995479
flaheja01,Jack Flaherty,8,3438,8.696714,4.659272
