playerID,year,name,BF,WPA,clutch_WPA,mean_LI
treinbl01,2018,Blake Treinen,314,6.6263256,6.3015623,1.9502447
janseke01,2017,Kenley Jansen,257,5.92442,5.054089,1.5286732
melanma01,2015,Mark Melancon,293,5.213795,5.042866,1.7421863
brittza01,2016,Zack Britton,254,5.721256,4.8291516,1.5853616
haderjo01,2021,Josh Hader,224,4.2324185,4.527109,1.6472121
helslry01,2024,Ryan Helsley,266,4.4552765,4.525929,1.8890432
smithwi04,2019,Will Smith,257,4.312188,4.2907925,1.7148882
daviswa01,2017,Wade Davis,242,3.7544186,4.141482,1.556601
duranjh01,2022,Jhoan Duran,266,4.0105815,4.057156,1.5173345
diazed04,2018,Edwin Diaz,280,4.466764,3.9551303,1.891515
jeffrje01,2018,Jeremy Jeffress,299,4.2384276,3.8920574,1.5714886
millean01,2015,Andrew Miller,246,4.6600895,3.8703415,1.6902356
bautife01,2023,Felix Bautista,237,4.0672593,3.746415,1.7831595
soriajo01,2015,Joakim Soria,271,3.6005943,3.6768427,1.5961672
knebeco01,2017,Corey Knebel,309,3.78137,3.675762,1.8318427
betande01,2015,Dellin Betances,332,3.9413517,3.6258967,1.7151188
kimbrcr01,2018,Craig Kimbrel,247,3.295117,3.6175063,1.6543367
millean01,2016,Andrew Miller,275,4.8022046,3.6154964,1.4726766
daviswa01,2015,Wade Davis,251,4.083993,3.4165506,1.3637457
riverfe01,2018,Felipe Vazquez,296,3.1509433,3.4069908,1.8657004
watsoto01,2015,Tony Watson,293,3.8306682,3.3819044,1.5868889
rondohe01,2015,Hector Rondon,281,3.9122133,3.3363447,1.8758304
claseem01,2024,Emmanuel Clase,270,4.6371274,3.2489834,1.4736373
dysonsa01,2016,Sam Dyson,285,3.2852585,3.175415,1.7986028
riverfe01,2019,Felipe Vazquez,236,2.9920874,3.162064,1.4808162
familje01,2015,Jeurys Familia,308,3.8933456,3.146512,1.5947137
hugheja02,2018,Jared Hughes,298,2.5467885,3.0971522,1.2166557
millema03,2024,Mason Miller,249,3.7636952,3.0628633,1.629323
claudal01,2017,Alex Claudio,323,3.3371067,3.0299866,1.110349
ramosaj01,2016,AJ Ramos,278,3.1398354,3.0277255,1.7031705
scottta01,2023,Tanner Scott,307,3.649538,3.0272777,1.643556
bednada01,2023,David Bednar,278,2.8218436,3.0227334,1.9255415
brittza01,2015,Zack Britton,253,3.297289,2.9982257,1.4141098
haderjo01,2019,Josh Hader,289,1.9995563,2.973745,1.8172214
