playerID,year,name,PA,WPA,clutch_WPA,mean_LI
escobal02,2015,Alcides Escobar,662,-3.0979338,-1.1665365,0.95274097
moustmi01,2015,Mike Moustakas,614,0.023929462,-1.2365599,1.0242733
cainlo01,2015,Lorenzo Cain,604,4.496902,3.5385704,0.97310615
hosmeer01,2015,Eric Hosmer,667,1.77581,1.3560498,1.054531
moralke01,2015,Kendrys Morales,639,3.552408,2.8068593,1.0591726
gordoal01,2015,Alex Gordon,422,1.4867649,0.31998977,0.98143995
calhoko01,2015,Kole Calhoun,686,-1.2104508,-0.75043017,1.0219114
troutmi01,2015,Mike Trout,683,5.4686584,2.9349663,0.98188174
pujolal01,2015,Albert Pujols,661,0.12344366,-0.3665232,1.0515956
riosal01,2015,Alex Rios,411,-1.5130129,-1.4193269,0.9487174
perezsa02,2015,Salvador Perez,553,-0.3858976,-0.3041327,0.9795409
infanom01,2015,Omar Infante,455,-1.3960605,0.2919355,0.9317692
freesda01,2015,David Freese,470,-0.14591269,0.24631813,0.9739575
croncj01,2015,C. J. Cron,403,0.36108798,0.7619997,0.9715967
aybarer01,2015,Erick Aybar,638,-2.1319544,-0.5475328,1.0222113
iannech01,2015,Chris Iannetta,317,-1.0123901,-0.14162847,1.0274931
cowgico01,2015,Collin Cowgill,74,-0.9233073,-0.773139,0.89422894
giavojo01,2015,Johnny Giavotella,502,0.019264221,0.45057672,1.0558158
joycema01,2015,Matt Joyce,284,-0.64778817,-0.73405445,0.974711
navaref01,2015,Efren Navarro,88,-1.1363825,-0.87239957,1.0374932
buterdr01,2015,Drew Butera,121,-0.6225704,-0.2826149,0.7722655
orlanpa01,2015,Paulo Orlando,251,-1.5177251,-0.6710674,0.9687757
feathta01,2015,Taylor Featherston,169,-1.4377276,-0.26796877,0.8423008
fuldsa01,2015,Sam Fuld,325,-2.9534428,-2.2896247,1.0132353
canhama01,2015,Mark Canha,486,0.055517256,-0.26796558,1.0878133
vogtst01,2015,Stephen Vogt,511,0.95012957,0.25145504,1.0965015
butlebi03,2015,Billy Butler,602,-0.70999986,-1.0562788,1.0593834
davisik02,2015,Ike Davis,239,-0.28867278,-0.31468633,1.0686926
reddijo01,2015,Josh Reddick,578,0.92608756,0.5669494,1.0667714
lawribr01,2015,Brett Lawrie,602,-1.1249958,-0.36902374,1.0620768
sogarer01,2015,Eric Sogard,401,-1.4208621,-0.43227106,0.97341585
semiema01,2015,Marcus Semien,601,-3.1678646,-2.2309093,1.1177602
gentrcr01,2015,Craig Gentry,56,-0.47175872,-0.17753845,1.0730952
rossco01,2015,Cody Ross,25,-0.55550134,-0.2286973,1.0626805
phegljo01,2015,Josh Phegley,245,0.6193347,0.8118705,1.0660158
zobribe01,2015,Ben Zobrist,535,0.5175267,1.3571317,1.0288824
martile01,2015,Leonys Martin,310,-2.1451552,-0.9504712,1.0236746
morelmi01,2015,Mitch Moreland,515,4.4660068,3.4425912,1.0741818
fieldpr01,2015,Prince Fielder,693,1.3937691,0.3696294,1.0068957
beltrad01,2015,Adrian Beltre,619,1.6397893,-0.16937345,1.0483125
choosh01,2015,Shin-Soo Choo,653,2.572199,1.2081145,0.9428836
andruel01,2015,Elvis Andrus,661,-0.7348641,0.46701944,0.96492565
odorro01,2015,Rougned Odor,470,0.2679727,0.86181504,0.92896646
smolija01,2015,Jake Smolinski,192,0.8842265,0.84124666,0.95153457
corpoca01,2015,Carlos Corporan,122,-1.3848145,-0.7402204,0.8904276
rosalad01,2015,Adam Rosales,125,-1.296617,-0.77788794,0.80883265
chiriro01,2015,Robinson Chirinos,273,0.7144979,0.73178256,0.9954064
greengr01,2015,Grant Green,44,-0.9089377,-0.3544637,0.8992344
pegueca01,2015,Carlos Peguero,90,-0.4933457,-0.4008758,1.0106804
deshide02,2015,Delino DeShields,493,0.18184721,0.5398183,0.9224008
smithse01,2015,Seth Smith,452,0.56111526,-0.98606324,1.0539562
ruggiju01,2015,Justin Ruggiano,141,-0.375031,-0.76508594,0.988744
canoro01,2015,Robinson Cano,674,0.54143685,-0.9534452,1.0726321
cruzne02,2015,Nelson Cruz,655,2.879935,1.8473835,1.0809002
seageky01,2015,Kyle Seager,686,-1.0867593,-1.9264848,1.0792222
morrilo01,2015,Logan Morrison,511,-0.23938847,-0.395405,1.0838854
zuninmi01,2015,Mike Zunino,386,-3.0190814,-1.986726,1.0855362
ackledu01,2015,Dustin Ackley,264,-0.91915387,-1.087459,1.0969238
tayloch03,2015,Chris Taylor,102,-1.2179261,-0.52370024,0.9875498
perezca02,2015,Carlos Perez,283,0.23081845,-0.12293635,0.96306825
weeksri01,2015,Rickie Weeks,95,-0.58516157,-0.1145017,1.1508622
bloomwi01,2015,Willie Bloomquist,72,-0.922626,-0.45508122,1.0581573
millebr02,2015,Brad Miller,497,-0.18449864,-0.71757615,0.99493057
altuvjo01,2015,Jose Altuve,689,1.3081608,0.6637301,1.1020103
valbulu01,2015,Luis Valbuena,493,-1.1183522,-0.6909592,1.0106376
gattiev01,2015,Evan Gattis,604,-0.48935452,-0.5209992,1.0900643
rasmuco01,2015,Colby Rasmus,485,-1.5880799,-1.5808043,1.0426238
cartech02,2015,Chris Carter,459,0.051766932,-0.47823885,0.9790956
castrja01,2015,Jason Castro,375,-2.1769977,-1.5712454,1.0012276
